,Year,Month,Australie,New Zealand,Caledonia,Europe,nan,North America,Japon,Chine,Countries,Total
0,2012,,65405,14430,13138,4313,5491,2094,705,623,1962,108161
1,2013,,65776,15068,12515,4874,5544,2614,659,1062,1997,110109
2,2014,,60808,16293,12756,6630,5591,2373,763,1563,2031,108808
3,2015,,46098,13422,10567,5953,5839,2962,633,2186,2292,89952
4,2016,,49752,10931,9681,5705,10067,2893,903,2736,2449,95117
5,2012,Dec,6833,1126,1758,543,361,173,68,56,152,11070
6,2013,Dec,6123,898,1358,466,430,243,53,97,185,9853
7,2014,Dec,6092,921,1380,870,454,185,102,144,167,10315
8,2015,Jan,4664,693,1487,619,470,201,59,154,177,8524
9,,Feb,2479,386,991,504,389,164,53,258,165,5389
10,,Mar,2335,495,540,482,348,234,74,120,209,4837
11,,Apr,2116,549,614,428,327,166,63,122,193,4578
12,,May,2655,870,639,435,589,213,26,158,202,5787
13,,Jun,4428,1243,816,583,537,296,33,149,204,8289
14,,Jul,4842,2454,845,418,694,336,75,185,182,10031
15,,Aug,4000,1758,946,483,468,263,52,239,181,8390
16,,Sep,5170,1656,677,419,496,235,62,206,250,9171
17,,Oct,4325,1429,1065,514,521,303,44,142,190,8533
18,,Nov,3865,1002,825,470,403,274,43,219,174,7275
19,,Dec,5219,887,1122,598,597,277,49,234,165,9148
20,2016,Jan,4495,724,1060,486,979,276,75,174,210,8479
21,,Feb,1714,310,200,396,1027,180,67,226,154,4274
22,,Mar,2060,325,313,267,664,168,44,175,139,4155
23,,Apr,2749,636,478,344,1160,178,53,262,223,6083
24,,May,2644,552,632,508,823,190,51,181,161,5742
25,,Jun,5170,1197,1143,402,495,306,70,217,158,9158
26,,Jul,5803,1600,1150,708,682,302,88,266,265,10864
27,,Aug,4842,1592,814,467,1136,317,126,259,266,9819
28,,Sep,5909,1201,753,444,654,216,106,184,205,9672
29,,Oct,5193,1047,820,565,1079,359,53,240,255,9611
30,,Nov,3936,782,804,473,750,192,92,323,159,7511
31,,Dec,5237,965,1514,645,618,209,78,229,254,9749
