,Year,Month,Australie,Zealand,Caledonia,Other PIC,Europe,America,Japon,Countries,Total
0,2007,Dec,4050,997,840,246,396.0,160,36,145,6869
1,2008,Dec,4914,1091,715,312,537.0,146,51,169,7936
2,2009,Dec,5631,688,1197,374,365.0,189,49,201,8693
3,2010,Jan,4656,708,1318,333,380.0,181,49,196,7821
4,,Feb,2778,435,942,640,369.0,192,50,199,5606
5,,Mar,4155,694,527,340,317.0,195,43,198,6470
6,,Apr,3865,851,777,326,341.0,202,34,225,6621
7,,May,3622,952,1078,323,410.0,201,24,257,6867
8,,June,5087,1343,517,317,322.0,195,43,210,8035
9,,July,6283,1657,1173,346,615.0,247,41,232,10594
10,,Aug,5458,1664,728,497,652.0,276,65,292,9632
11,,Sep,6013,1136,1126,352,269.0,161,31,199,9287
12,,Oct,5988,1039,858,308,433.0,194,31,150,9001
13,,Nov,4859,703,955,242,406.0,192,55,201,7613
14,,Dec,5995,746,1410,696,373.0,158,51,204,9633
15,2011,Jan,4425,621,836,179,329.0,116,35,131,6672
16,,Feb,2593,306,697,345,361.0,102,50,171,4625
17,,Mar,3293,475,491,363,316.0,132,54,179,5303
18,,Apr,4939,657,811,278,390.0,170,39,135,7419
19,,May,3676,655,973,336,405.0,192,41,166,6444
20,,Jun,4977,1162,1045,223,467.0,248,43,153,8318
21,,Jul,6222,2000,1151,320,540.0,214,75,207,10729
22,,Aug,5090,1835,1088,313,760.0,198,91,247,9622
23,,Sep,6549,1022,824,206,501.0,206,49,189,9546
24,,Oct,5558,994,1078,219,432.0,116,46,194,8637
25,,Nov,4736,913,922,282,424.0,119,55,204,7655
26,,Dec,5748,756,1458,248,335.0,106,52,151,8854
