,Year,Month,Australia,New Zealand,Caledonia,Other PIC,Europe,North America,Japon,Chine,Countries,Total
0,2017,,57387,11554,15880,7147,6806,3016,1076,3612,2692,109170
1,2018,,60616,13432,15105,6545,8023,3347,963,4007,3596,115634
2,2019,,63122,15085,14738,6560,8992,3120,1107,4671,3233,120628
3,2020,,11248,1819,3778,1241,1728,692,171,680,608,21965
4,2017,May,3647,737,1017,486,491,257,55,320,169,7179
5,2018,May,4456,996,1173,667,554,271,93,320,323,8853
6,2019,May,3919,868,1139,552,806,294,60,425,296,8359
7,2020,May,0,0,0,0,0,0,0,0,0,0
8,2021,Jan,0,0,0,0,0,0,0,0,0,0
9,,Feb,0,0,0,0,0,0,0,0,0,0
10,,Mar,0,0,0,0,0,0,0,0,0,0
11,,Apr[p],0,0,0,0,0,0,0,0,0,0
12,,May[p],0,0,0,0,0,0,0,0,0,0
13,,Jun[p],0,0,0,0,0,0,0,0,0,0
14,,Jul[p],0,0,0,0,0,0,0,0,0,0
15,,Aug[p],0,0,0,0,0,0,0,0,0,0
16,,Sep[p],0,0,0,0,0,0,0,0,0,0
17,,Oct[p],0,0,0,0,0,0,0,0,0,0
18,,Nov[p],0,0,0,0,0,0,0,0,0,0
19,,Dec[p],0,0,0,0,0,0,0,0,0,0
20,2022,Jan[p],0,0,0,0,0,0,0,0,0,0
21,,Feb[p],0,0,0,0,0,0,0,0,0,0
22,,Mar[p],0,0,0,0,0,0,0,0,0,0
23,,Apr[p],0,0,0,0,0,0,0,0,0,0
24,,May[p],0,0,0,0,0,0,0,0,0,0
