,Year,Month,Australia,New Zealand,Caledonia,Other PIC,Europe,North America,Japon,Chine,Countries,Total
0,2013,,65776,15068,12515,4874,5544,2614,659,1062,1997,110109
1,2014,,60808,16293,12756,6630,5591,2373,763,1563,2031,108808
2,2015,,46098,13422,10567,5953,5839,2962,633,2186,2292,89952
3,2016,,49752,10931,9681,5705,10067,2893,903,2736,2449,95117
4,2017,,57387,11554,15880,7147,6806,3016,1076,3612,2692,109170
5,2018,,60616,13432,15105,6545,8023,3347,963,4007,3596,115634
6,2013,Dec,6123,898,1358,466,430,243,53,97,185,9853
7,2014,Dec,6092,921,1380,870,454,185,102,144,167,10315
8,2015,Dec,5219,887,1122,598,597,277,49,234,165,9148
9,2016,Dec,5237,965,1514,645,618,209,78,229,254,9749
10,2017,Dec,6598,1098,1952,993,673,312,82,327,248,12283
11,2018,Jan,5206,804,2129,528,570,251,63,317,262,10130
12,,Feb,2606,381,1238,606,490,229,63,385,268,6266
13,,Mar,3819,523,1000,424,465,219,60,321,285,7116
14,,Apr,4878,820,1308,491,589,319,105,392,291,9193
15,,May,4456,996,1173,667,554,271,93,320,323,8853
16,,Jun,5563,1409,1398,524,631,372,56,299,321,10573
17,,Jul,7056,2135,1129,728,835,436,93,366,406,13184
18,,Aug,4071,1483,1195,424,737,278,102,385,297,8972
19,,Sep,6330,1658,888,491,1023,221,122,328,365,11426
20,,Oct,5731,1302,1246,551,679,273,65,292,270,10409
21,,Nov,4754,854,916,660,946,269,57,284,304,9044
22,,Dec,6146,1067,1485,451,504,209,84,318,204,10468
