,Year,Month,Australia,New Zealand,New Caledonia,Other PIC,Europe,North America,Japon,Chine,Countries,Total
0,2015,,46098,13422,10567,5953,5839,2962,633,2186,2292,89952
1,2016,,49752,10931,9681,5705,10067,2893,903,2736,2449,95117
2,2017,,57387,11554,15880,7147,6806,3016,1076,3612,2692,109170
3,2018,,60616,13432,15105,6545,8023,3347,963,4007,3596,115634
4,2019,[p],63122,15085,14738,6560,8992,3120,1107,4671,3233,120628
5,2015,Dec,5219,887,1122,598,597,277,49,234,165,9148
6,2016,Dec,5237,965,1514,645,618,209,78,229,254,9749
7,2017,Dec,6598,1098,1952,993,673,312,82,327,248,12283
8,2018,Dec,6146,1067,1485,451,504,209,84,318,204,10468
9,2019,Dec[p],6921,1330,1673,514,995,263,150,368,267,12481
10,2020,Jan[p],6425,943,2087,402,837,335,89,522,293,11933
11,,Feb[p],3015,525,1253,579,591,223,74,107,227,6594
12,,Mar[p],1808,351,438,260,300,134,8,51,88,3438
13,,Apr[p],0,0,0,0,0,0,0,0,0,0
14,,May[p],0,0,0,0,0,0,0,0,0,0
15,,Jun[p],0,0,0,0,0,0,0,0,0,0
16,,Jul[p],0,0,0,0,0,0,0,0,0,0
17,,Aug[p],0,0,0,0,0,0,0,0,0,0
18,,Sep[p],0,0,0,0,0,0,0,0,0,0
19,,Oct[p],0,0,0,0,0,0,0,0,0,0
20,,Nov[p],0,0,0,0,0,0,0,0,0,0
21,,Dec[p],0,0,0,0,0,0,0,0,0,0
