,Year,Month,Australie,Zealand,Caledonia,Other PIC,Europe,America,Japon,Countries,Stated,Total
0,2003,Dec,2938,580,646,136,201,88,42,103,0,4734
1,2004,Dec,3806,656,827,321,295,131,52,89,1,6178
2,2005,Dec,3924,596,818,219,309,160,49,101,1,6177
3,2006,Jan,3731,397,810,151,330,133,31,79,0,5662
4,,Feb,2482,4179,550,197,272,89,44,72,0,7885
5,,Mar,2913,327,286,181,217,96,59,100,0,4179
6,,Apr,2956,611,497,170,247,119,42,100,0,4742
7,,May,2580,731,577,229,243,129,50,114,0,4653
8,,Jun,3327,1176,449,245,236,196,38,82,0,5749
9,,Jul,3802,1132,652,198,477,260,72,119,0,6712
10,,Aug,2874,1171,565,338,429,219,91,130,0,5817
11,,Sep,4076,1312,888,234,384,175,55,107,0,7231
12,,Oct,3705,1020,542,235,443,149,50,95,0,6239
13,,Nov,3526,777,681,325,403,161,61,102,0,6036
14,,Dec,4413,925,983,178,340,170,63,139,0,7211
15,2007,Jan,4016,709,974,151,371,98,68,93,0,6479
16,,Feb,2604,298,592,168,290,124,47,111,0,4234
17,,Mar,3618,570,422,368,280,176,69,264,0,5768
18,,Apr,3876,912,615,168,287,259,79,132,0,6329
19,,May,3305,949,765,220,218,268,33,85,0,5842
20,,Jun,3986,1267,564,153,191,275,48,152,0,6636
21,,Jul,4361,2717,764,357,405,409,109,181,0,9302
22,,Aug,3785,1472,660,203,465,264,69,158,0,7076
23,,Sep,4889,1552,903,290,243,196,70,161,0,8304
24,,Oct,4175,1273,473,202,278,195,59,130,0,6786
25,,Nov,4050,997,840,246,396,160,36,145,0,6869
26,,Dec,4809,902,905,374,361,155,58,155,0,7720
