,Year,Month,Australie,New Zealand,Caledonia,Other PIC,Europe,North America,Japon,Countries,Total
0,2009,,64909,12607,9155,3708,4890,2549,642,2216,100675
1,2010,,58760,11927,11410,4719,4888,2395,517,2564,97180
2,2011,,57843,11399,11376,3397,5265,1922,630,2128,93960
3,2012,,65405,14430,13138,4313,5491,2094,705,2585,108161
4,2013,,65776,15068,12515,4874,5544,2614,659,3059,110109
5,2009,Dec,5631,688,1197,374,365,189,49,201,8693
6,2010,Dec,5995,746,1410,696,373,158,51,204,9633
7,2011,Dec,5785,759,1460,333,340,109,52,152,8990
8,2012,Jan,5653,757,1458,247,341,105,49,145,8755
9,,Feb,2387,354,814,403,367,130,59,186,4700
10,,Mar,3970,641,707,277,332,131,52,233,6343
11,,Apr,5021,838,991,270,335,133,58,214,7860
12,,May,4091,821,1198,454,410,219,59,222,7474
13,,Jun,6248,1690,726,310,523,203,52,224,9976
14,,Jul,6937,2032,1188,433,633,216,95,236,11770
15,,Aug,6043,2049,928,298,646,181,58,202,10405
16,,Sep,7640,1827,1227,451,462,231,59,285,12182
17,,Oct,5960,1505,1072,334,576,216,41,218,9922
18,,Nov,4622,790,1071,293,505,156,55,212,7704
19,,Dec,6833,1126,1758,543,361,173,68,208,11070
20,2013,Jan,4591,621,1428,231,364,135,32,210,7612
21,,Feb,2448,429,876,440,340,154,26,218,4931
22,,Mar,4405,718,720,344,388,135,36,231,6977
23,,Apr,4931,994,1126,522,533,222,58,276,8662
24,,May,4669,959,971,293,374,165,62,177,7670
25,,June,6911,1901,971,461,419,279,39,225,11206
26,,July,7091,2319,805,384,654,217,47,338,11855
27,,Aug,5781,2121,1167,444,672,245,88,279,10797
28,,Sep,7660,1664,790,458,399,269,67,289,11596
29,,Oct,6431,1614,1196,418,523,311,65,269,10827
30,,Nov,4735,830,1107,413,448,239,86,265,8123
31,,Dec,6123,898,1358,466,430,243,53,282,9853
