,Year,Month,Australie,Zealand,Caledonia,Other PIC,Europe,America,Japon,Countries,Stated,Total
0,2004,Dec,3806,656,827,321,295.0,131,52,89,1,6178
1,2005,Dec,3924,596,818,219,309.0,160,49,101,1,6177
2,2006,Dec,4413,925,983,178,340.0,170,63,139,0,7211
3,2007,Jan,4016,709,974,151,371.0,98,68,93,0,6479
4,,Feb,2604,298,592,168,290.0,124,47,111,0,4234
5,,Mar,3618,570,422,368,280.0,176,69,264,0,5768
6,,Apr,3876,912,615,168,287.0,259,79,132,0,6329
7,,May,3305,949,765,220,218.0,268,33,85,0,5842
8,,Jun,3986,1267,564,153,191.0,275,48,152,0,6636
9,,Jul,4361,2717,764,357,405.0,409,109,181,0,9302
10,,Aug,3785,1472,660,203,465.0,264,69,158,0,7076
11,,Sep,4889,1552,903,290,243.0,196,70,161,0,8304
12,,Oct,4175,1273,473,202,278.0,195,59,130,0,6786
13,,Nov,4050,997,840,246,396.0,160,36,145,0,6869
14,,Dec,4809,902,905,374,361.0,155,58,155,0,7720
15,2008,Jan,3955,715,945,250,295.0,229,51,126,0,6566
16,,Feb,2542,552,825,251,283.0,153,44,154,0,4804
17,,Mar,3877,776,514,263,317.0,179,53,169,0,6148
18,,Apr,3502,1049,580,295,297.0,206,76,166,0,6172
19,,May,3543,811,922,476,296.0,227,34,193,0,6502
20,,June,4579,1586,690,339,364.0,238,62,203,0,8060
21,,July,5250,1888,810,265,718.0,375,33,204,0,9543
22,,Aug,4635,1876,814,379,566.0,316,58,155,0,8799
23,,Sep,5678,1473,1014,295,459.0,191,54,118,0,9283
24,,Oct,5154,1393,746,325,390.0,193,25,193,0,8420
25,,Nov,4914,1091,715,312,537.0,146,51,169,0,7936
26,,Dec,5622,706,1073,308,364.0,125,48,178,0,8424
