,Year,Month,Australie,New Zealand,Caledonia,Other PIC,Europe,North America,Japon,Chine,Countries,Total
0,2011,,57843,11399,11376,3397,5265,1922,630,581,1547,93960
1,2012,,65405,14430,13138,4313,5491,2094,705,623,1962,108161
2,2013,,65776,15068,12515,4874,5544,2614,659,1062,1997,110109
3,2014,,60808,16293,12756,6630,5591,2373,763,1563,2031,108808
4,2015,,46098,13422,10567,5953,5839,2962,633,2186,2292,89952
5,2011,Dec,5090,1835,1088,313,760,198,91,74,173,9622
6,2012,Dec,6043,2049,928,298,646,181,58,52,150,10405
7,2013,Dec,5781,2121,1167,444,672,245,88,108,171,10797
8,2014,Jan,4898,679,1676,284,414,188,42,124,142,8447
9,,Feb,2608,310,968,357,304,207,33,101,121,5009
10,,Mar,3907,707,538,462,360,146,48,94,114,6376
11,,Apr*,4125,984,732,265,368,108,21,123,78,6804
12,,May,4162,1350,911,369,404,215,72,110,219,7812
13,,Jun,6123,1936,1191,411,453,306,82,228,187,10917
14,,Jul,6295,2513,975,526,544,198,61,126,208,11446
15,,Aug,5747,2645,1137,824,680,315,142,119,256,11865
16,,Sep,7052,1886,764,655,407,139,55,137,193,11288
17,,Oct,5652,1415,1483,725,659,209,52,130,208,10533
18,,Nov,4147,947,1001,882,544,157,53,127,138,7996
19,,Dec,6092,921,1380,870,454,185,102,144,167,10315
20,2015,Jan,4664,693,1487,619,470,201,59,154,177,8524
21,,Feb,2479,386,991,504,389,164,53,258,165,5389
22,,Mar,2335,495,540,482,348,234,74,120,209,4837
23,,Apr,2116,549,614,428,327,166,63,122,193,4578
24,,May,2655,870,639,435,589,213,26,158,202,5787
25,,Jun,4428,1243,816,583,537,296,33,149,204,8289
26,,Jul,4842,2454,845,418,694,336,75,185,182,10031
27,,Aug,4000,1758,946,483,468,263,52,239,181,8390
28,,Sep,5170,1656,677,419,496,235,62,206,250,9171
29,,Oct,4325,1429,1065,514,521,303,44,142,190,8533
30,,Nov,3865,1002,825,470,403,274,43,219,174,7275
31,,Dec,5219,887,1122,598,597,277,49,234,165,9148
