,Year,Month,Australie,Zealand,Caledonia,Other PIC,Europe,America,Japon,Countries,Stated,Total
0,2002,Dec,3073,474,551,164,215,74,43,43,0,4637
1,2003,Dec,2938,580,646,136,201,88,42,103,0,4734
2,2004,Dec,3806,656,827,321,295,131,52,89,1,6178
3,2005,Dec,3924,596,818,219,309,160,49,101,1,6177
4,2006,Jan,3731,397,810,151,330,133,31,79,0,5662
5,,Feb,2482,242,550,197,272,89,44,72,0,3948
6,,Mar,2913,327,286,181,217,96,59,100,0,4179
7,,Apr,2956,611,497,170,247,119,42,100,0,4742
8,,May,2580,731,577,229,243,129,50,114,0,4653
9,,Jun,3327,1176,449,245,236,196,38,82,0,5749
10,,Jul,3802,1132,652,198,477,260,72,119,0,6712
11,,Aug,2874,1171,565,338,429,219,91,130,0,5817
12,,Sep,4076,1312,888,234,384,175,55,107,0,7231
13,,Oct,3705,1020,542,235,443,149,50,95,0,6239
14,,Nov,3526,777,681,325,403,161,61,102,0,6036
15,,Dec,4413,925,983,178,340,170,63,139,0,7211
