,Year,Month,Australia,New Zealand,Caledonia,Other PIC,Europe,North America,Japon,Chine,Countries,Total
0,2017,,57387,11554,15880,7147,6806,3016,1076,3612,2692,109170
1,2018,,60616,13432,15105,6545,8023,3347,963,4007,3596,115634
2,2019,,63122,15085,14738,6560,8992,3120,1107,4671,3233,120628
3,2020,,11248,1819,3778,1241,1728,692,171,680,608,21965
4,2021,,0,0,0,0,0,0,0,0,0,0
5,2017,Jun,5104,1209,1302,492,433,324,97,317,222,9500
6,2018,Jun,5563,1409,1398,524,631,372,56,299,321,10573
7,2019,Jun,5525,1581,1101,607,808,256,52,390,287,10607
8,2020,Jun,0,0,0,0,0,0,0,0,0,0
9,2021,Jan,0,0,0,0,0,0,0,0,0,0
10,,Feb,0,0,0,0,0,0,0,0,0,0
11,,Mar,0,0,0,0,0,0,0,0,0,0
12,,Apr[p],0,0,0,0,0,0,0,0,0,0
13,,May[p],0,0,0,0,0,0,0,0,0,0
14,,Jun[p],0,0,0,0,0,0,0,0,0,0
15,,Jul[p],0,0,0,0,0,0,0,0,0,0
16,,Aug[p],0,0,0,0,0,0,0,0,0,0
17,,Sep[p],0,0,0,0,0,0,0,0,0,0
18,,Oct[p],0,0,0,0,0,0,0,0,0,0
19,,Nov[p],0,0,0,0,0,0,0,0,0,0
20,,Dec[p],0,0,0,0,0,0,0,0,0,0
21,2022,Jan[p],0,0,0,0,0,0,0,0,0,0
22,,Feb[p],0,0,0,0,0,0,0,0,0,0
23,,Mar[p],0,0,0,0,0,0,0,0,0,0
24,,Apr[p],0,0,0,0,0,0,0,0,0,0
25,,May[p],0,0,0,0,0,0,0,0,0,0
26,,Jun[p],0,0,0,0,0,0,0,0,0,0
