,Year,Month,Australia,New Zealand,Caledonia,Other PIC,Europe,America,Japon,Chine,Countries,Total
0,2017,,57387,11554,15880,7147,6806,3016,1076,3612,2692,109170
1,2018,,60616,13432,15105,6545,8023,3347,963,4007,3596,115634
2,2019,,63122,15085,14738,6560,8992,3120,1107,4671,3233,120628
3,2020,,11248,1819,3778,1241,1728,692,171,680,608,21965
4,2021,,0,0,0,0,0,0,0,0,0,0
5,2017,Jul,6470,1834,1214,816,715,289,112,410,195,12055
6,2018,Jul,7056,2135,1129,728,835,436,93,366,406,13184
7,2019,Jul,6533,2344,1019,578,939,295,97,477,330,12612
8,2020,Jul,0,0,0,0,0,0,0,0,0,0
9,2021,Jul,0,0,0,0,0,0,0,0,0,0
10,2022,Jan,0,0,0,0,0,0,0,0,0,0
11,,Feb,0,0,0,0,0,0,0,0,0,0
12,,Mar,0,0,0,0,0,0,0,0,0,0
13,,Ap,0,0,0,0,0,0,0,0,0,0
14,,May,0,0,0,0,0,0,0,0,0,0
15,,Jun,0,0,0,0,0,0,0,0,0,0
16,,Jul[p],1894,571,183,143,444,85,7,49,63,3439
