,Year,Month,Australie,Zealand,Caledonia,Other PIC,Europe,America,Japon,Countries,Total
0,2009,Dec,5631,688,1197,374,365,189,49,201,8693
1,2010,Dec,5995,746,1410,696,373,158,51,204,9633
2,2011,Jan,4425,621,836,179,329,116,35,131,6672
3,,Feb,2593,306,697,345,361,102,50,171,4625
4,,Mar,3293,475,491,363,316,132,54,179,5303
5,,Apr,4939,657,811,278,390,170,39,135,7419
6,,May,3676,655,973,336,405,192,41,166,6444
7,,Jun,4977,1162,1045,223,467,248,43,153,8318
8,,Jul,6222,2000,1151,320,540,214,75,207,10729
9,,Aug,5090,1835,1088,313,760,198,91,247,9622
10,,Sep,6549,1022,824,206,501,206,49,189,9546
11,,Oct,5558,994,1078,219,432,116,46,194,8637
12,,Nov,4736,913,922,282,424,119,55,204,7655
13,,Dec,5785,759,1460,333,340,109,52,152,8990
14,2012,Jan,5653,757,1458,247,341,105,49,145,8755
15,,Feb,2387,354,814,403,367,130,59,186,4700
16,,Mar,3970,641,707,277,332,131,52,233,6343
17,,Apr,5021,838,991,270,335,133,58,214,7860
18,,May,4091,821,1198,454,410,219,59,222,7474
19,,Jun,6248,1690,726,310,523,203,52,224,9976
20,,Jul,6937,2032,1188,433,633,216,95,236,11770
21,,Aug,6043,2049,928,298,646,181,58,202,10405
22,,Sep,7640,1827,1227,451,462,231,59,285,12182
23,,Oct,5960,1505,1072,334,576,216,41,218,9922
24,,Nov,4622,790,1071,293,505,156,55,212,7704
25,,Dec,6833,1126,1758,543,361,173,68,208,11070
