,date,total,sarimax,var,lf,mean_ensemble,rpw,ols,ols_lasso,cls
0,2019-01-01,9548.0,9990.796042959935,11797.752078510806,10923.776403237338,10904.108174902693,10136.677345169473,10765.678713862579,10711.667784072017,10586.933708518014
1,2019-02-01,5835.0,6356.252490605522,6617.708025930219,7834.160478298551,6936.040331611432,6475.835171418748,7282.514722860342,7003.411829750671,7057.323669539433
2,2019-03-01,7026.0,6628.01773256247,6957.926451297484,8853.78397422488,7479.909386028278,6787.061588991563,7924.5923878282065,7509.173041128489,7677.876706098838
3,2019-04-01,9445.0,7361.287613763026,12434.169469742346,10880.813055242765,10225.423379582711,9200.147634564655,9277.893237390188,9029.873181110928,9447.053490766477
4,2019-05-01,8359.0,8363.324224529895,11134.47423369966,10218.804303706926,9905.534253978827,9159.661942159992,9523.541748852638,9385.26315118274,9471.980267058349
5,2019-06-01,10607.0,11276.68676339956,12401.12032510452,9936.43343367469,11204.746840726257,11124.255273474837,10999.82975824187,11311.181957436438,10768.254923592158
6,2019-07-01,12612.0,12934.354905910744,12456.081145124965,11404.965709056092,12265.133920030601,12540.04160329327,12631.858669440355,12832.977691218855,12189.436160709714
7,2019-08-01,12275.0,10906.18181159643,12453.28993816646,11427.445085770552,11595.638945177814,11296.282435851486,11514.345623124724,11512.168728550443,11289.523750617522
8,2019-09-01,11700.0,11438.892462677326,11540.670621726056,11418.126555397845,11465.896546600408,11450.976370105476,11812.026197551148,11784.069748658141,11438.904392398692
9,2019-10-01,10880.0,10753.795232517576,12337.462464687138,9431.080268480702,10840.77932189514,10706.008577635073,10464.952156377623,10814.988158552202,10296.34359080374
10,2019-11-01,9860.0,9043.086686827335,10378.514304400089,9489.45605709335,9637.019016106924,9379.258096010832,9553.867394504678,9553.98559657697,9372.34274035602
11,2019-12-01,12481.0,10431.767286551569,12212.207211083023,11013.24319549016,11219.072564374917,10986.095657795036,11051.64406862849,11060.17112561501,10864.498691283941
12,2020-01-01,11933.0,9966.909712874383,12169.04795075298,11092.144600496324,11076.034088041228,10872.15952524093,10831.442025949984,10775.720581523414,10688.02584506636
13,2020-02-01,6594.0,6103.800334197142,8606.860595287162,4896.527266355853,6535.7293986133855,6334.7437778765025,5708.903666744896,6134.048516407429,5785.188564161726
14,2020-03-01,3438.0,4583.812128629281,8803.799046939688,4333.54926128587,5907.053478951613,5122.238216678566,4589.755666991521,4989.512260226667,4863.91922151017
15,2020-04-01,0.0,-0.6646337204493382,-0.617642217852159,-28.420285163555228,-9.900853700618908,-10.204652860345947,-14.108560725953637,-8.85682720553739,-13.367372150652326
16,2020-05-01,0.0,-0.47980265164712,-0.8219815537391035,0.0,-0.43392806846207455,-0.3654063940649713,-0.2617151429954162,-0.3805822182338526,-0.2921416655277192
17,2020-06-01,0.0,1.1600540904969487,0.3557653744057787,-5.660311379523076,-1.3814973048734496,-1.3049381270674596,-2.0939121978996855,-0.8794260765068314,-2.037678447448605
18,2020-07-01,0.0,0.6803428027163803,0.1210740009441881,30.67940603711142,10.493607613590664,10.915953652955427,15.212864338719509,9.492345327763793,14.362251567925583
19,2020-08-01,0.0,1.2720322402669018,-0.5470875377734388,43.60433888646321,14.776427862985557,15.56259850864352,21.79619857819211,13.632733042384041,20.482534640228806
20,2020-09-01,0.0,0.8620907945035057,1.227726674892044,76.42171573165736,26.17051106701764,26.90041724702346,37.42577005909162,23.175408314455233,35.48910690142487
21,2020-10-01,0.0,0.8594907409765713,-0.17724939744118,45.210573945393605,15.297605096309665,15.95716298505474,22.341022495750916,13.865894829303755,21.06740604912024
22,2020-11-01,0.0,0.000789330512767,0.190405052787481,102.80564675695484,34.33228038008503,35.371292027459035,49.71120038082234,30.299727073284732,47.08479544119067
23,2020-12-01,0.0,2.5267379416846816,1.7193736930283148,81.38696660624956,28.54435941365419,29.513437701987577,40.749752226606184,25.76719596312615,38.5551341212232
24,2021-01-01,0.0,1.0311217131920714,0.5307288340555376,-229.604500426537,-76.01421662642979,-78.21393453412765,-110.4556291583046,-66.9175614921601,-104.60562027379707
25,2021-02-01,0.0,-0.550402632226495,1.5622357096196025,-172.1037238707198,-57.03063026444223,-59.08338976568114,-83.53742391880438,-50.930716998821694,-78.89360918573051
26,2021-03-01,0.0,-0.6267812249961826,1.1801169481579472,-168.46552959327573,-55.970731290037996,-57.89009873347599,-81.81822761544147,-49.93994754759314,-77.29797149916776
27,2021-04-01,0.0,-0.0182657817245809,0.9062994236037668,-138.4303759560652,-45.847447438062005,-47.30295409910073,-66.95434324974836,-40.71638325876044,-63.2998309988992
28,2021-05-01,0.0,-0.1443055007967133,1.84138010737642,-112.70636894512522,-37.003098112848505,-38.40282601859908,-54.59149682745993,-33.14548872656299,-51.491920650195866
29,2021-06-01,0.0,0.2998315357751664,0.6616357922934286,-115.84376196917744,-38.294098213702945,-39.41293717231497,-55.85398553603597,-33.87464130005235,-52.83936179129374
30,2021-07-01,0.0,11.496504251241069,1.324601351517547,187.72713700180557,66.8494142015214,70.27386488454502,97.1638130320575,62.929838195806795,91.22732546779937
31,2021-08-01,0.0,-0.4610333610008622,0.0374704022136946,115.34704569435672,38.30782757852318,39.21682555537939,55.51966251648637,33.679484140208615,52.60501629142016
32,2021-09-01,0.0,-0.0504463757253983,-0.1340678915684618,30.209301001808644,10.008262244838262,10.285085973505744,14.58058268746144,8.854973371329633,13.795295063694239
33,2021-10-01,0.0,0.045411204813305,-0.199018185027993,164.5884198096771,54.81160427648748,56.24012685343937,79.61374527029162,48.49691626411625,75.3538740769281
