,date,ratio,total,seats_arrivals_intl,mean,mean_se,mean_ci_lower,mean_ci_upper,obs_ci_lower,obs_ci_upper,pred_mean
0,2019-01-01,0.514218009478673,9548.0,18568.0,0.5875346888723738,0.06617736802973344,0.4578294309424439,0.7172399468023037,0.39311344222520694,0.7819559355195407,10909.344102982237
1,2019-02-01,0.42653508771929827,5835.0,13680.0,0.5717101090790632,0.06853977056771726,0.43737462725769893,0.7060455909004274,0.3741697615817812,0.7692504565763452,7820.994292201584
2,2019-03-01,0.4755651820766211,7026.0,14774.0,0.5986340517452197,0.06466321957248918,0.4718964702587354,0.725371633231704,0.40617994871228336,0.791088154778156,8844.219480483875
3,2019-04-01,0.5532774881377776,9445.0,17071.0,0.6395577502734164,0.04612476105610762,0.5491548798079299,0.729960620738903,0.46882741845868475,0.8102880820881482,10917.890354917492
4,2019-05-01,0.49862801240753996,8359.0,16764.0,0.6114109625582906,0.04810069810576539,0.5171353266397565,0.7056865984768248,0.4385987444109246,0.7842231807056567,10249.693376327185
5,2019-06-01,0.6593112879164594,10607.0,16088.0,0.6195681599797604,0.04739216002042178,0.5266812331901747,0.7124550867693462,0.4475095990721942,0.7916267208873267,9967.612557754386
6,2019-07-01,0.7886443221610805,12612.0,15992.0,0.7126366277096365,0.04139075661864209,0.6315122354442352,0.7937610199750379,0.5466326089823794,0.8786406464368937,11396.484950332508
7,2019-08-01,0.7718184104627767,12275.0,15904.0,0.7180596219379881,0.041367507258752,0.636980797580635,0.7991384462953413,0.5520778669998644,0.8840413768761118,11420.020227301762
8,2019-09-01,0.7594443723224718,11700.0,15406.0,0.7409490184738082,0.04192384158893967,0.658779798865924,0.8231182380816925,0.5744319086498099,0.9074661282978066,11415.06057860749
9,2019-10-01,0.6974806077312649,10880.0,15599.0,0.6034585879958643,0.051738559009289996,0.5020528757256555,0.704864300266073,0.4266556307406272,0.7802615452511014,9413.350514147487
10,2019-11-01,0.6471514833289578,9860.0,15236.0,0.6219105148169972,0.05038387972610394,0.5231599251524357,0.7206611044815587,0.4466169148988387,0.7972041147351557,9475.42860375177
11,2019-12-01,0.7470074215944458,12481.0,16708.0,0.6586693345966447,0.04933034899645071,0.5619836272188097,0.7553550419744797,0.4845306162588747,0.8328080529344146,11005.04724244074
12,2020-01-01,0.6992265322864174,11933.0,17066.0,0.6502867278889732,0.047810376707450516,0.5565801114550776,0.7439933443228689,0.47778427232193477,0.8227891834560117,11097.793298153218
13,2020-02-01,0.7338081460048965,6594.0,8986.0,0.5447213753329343,0.037350550104254865,0.471515642325836,0.6179271083400326,0.3824399945208541,0.7070027561450145,4894.866278741748
14,2020-03-01,0.35693521594684385,3438.0,9632.0,0.44994404831453716,0.05407352688382791,0.34396188310517606,0.5559262135238983,0.2704770971629863,0.629410999466088,4333.861073365622
15,2020-04-01,0.0,0.0,316.0,-0.08333664405691521,0.050717790666684255,-0.18274168713905803,0.016068399025227623,-0.2589997585782384,0.09232647046440798,-26.334379521985205
16,2020-05-01,0.0,0.0,0.0,-0.01990497888184775,0.032217092082338666,-0.08304931904984207,0.04323936128614657,-0.17790300073155385,0.13809304296785835,-0.0
17,2020-06-01,0.0,0.0,136.0,-0.03874946680449953,0.02267067706598511,-0.08318317735896853,0.005684243749969467,-0.190243763221253,0.11274482961225393,-5.2699274854119365
18,2020-07-01,0.0,0.0,544.0,0.056576533598724804,0.026458611541924158,0.00471860789561767,0.10843445930183193,-0.09725913089880908,0.2104121980962587,30.777634277706294
19,2020-08-01,0.0,0.0,1088.0,0.04140234407493926,0.027942030821633466,-0.013363029990370472,0.09616771814024899,-0.11343761656081564,0.19624230471069415,45.04575035353391
20,2020-09-01,0.0,0.0,2834.0,0.02762886367174644,0.02634448653463047,-0.024005381127329695,0.07926310847082257,-0.12613154231477453,0.1813892696582674,78.3001996457294
21,2020-10-01,0.0,0.0,2195.0,0.020848256392012307,0.0260300399412026,-0.030169684408883894,0.07186619719290852,-0.13270628602446127,0.17440279880848586,45.76192278046702
22,2020-11-01,0.0,0.0,2034.0,0.05059791638979764,0.02763264050571681,-0.0035610637991499716,0.10475689657874525,-0.10402860898109612,0.20522444176069138,102.9161619368484
23,2020-12-01,0.0,0.0,2556.0,0.03146436711503338,0.026295995325854495,-0.020074836661275033,0.08300357089134179,-0.12226414923461686,0.1851928834646836,80.42292234602532
24,2021-01-01,0.0,0.0,3060.0,-0.07612616058639016,0.048699530990404825,-0.17157548739157585,0.019323166218795526,-0.24958146088226457,0.09732913970948426,-232.94605139435387
25,2021-02-01,0.0,0.0,3374.0,-0.05179361596963805,0.042849027500194405,-0.13577616664258543,0.03218893470330933,-0.21921295783521524,0.11562572589593914,-174.7516602815588
26,2021-03-01,0.0,0.0,3062.0,-0.05596885388762085,0.04465996506909189,-0.14350077697385782,0.03156306919861612,-0.2251965253020315,0.11325881752678979,-171.37663060389505
27,2021-04-01,0.0,0.0,3488.0,-0.03799599265629823,0.02805243741449638,-0.09297775966727505,0.016985774354678587,-0.1929126215791423,0.11692063626654582,-132.53002238516822
28,2021-05-01,0.0,0.0,3078.0,-0.035104704354161756,0.029106752677704115,-0.0921528913093766,0.02194348260105309,-0.1907667191427606,0.12055731043443711,-108.05228000210988
29,2021-06-01,0.0,0.0,3474.0,-0.031466657764992204,0.02599918335209837,-0.08242412076255837,0.019490805232573953,-0.18500111724662505,0.12206780171664063,-109.31516907558292
30,2021-07-01,0.0,0.0,3406.0,0.054513830582674894,0.029294226163380482,-0.002901797652521819,0.11192945881787161,-0.10128322195302344,0.21031088311837323,185.6741069645907
