,date,total,train_pred,mean_se,mean_ci_lower,mean_ci_upper,test_pred
0,2003-12-01,4734.0,6592.0,,-1.0,,
1,2004-01-01,4492.0,6425.800509529002,,-1.0,,
2,2004-02-01,3488.0,6591.999725310724,,-1.0,,
3,2004-03-01,4014.0,6591.999500694237,,-1.0,,
4,2004-04-01,3955.0,6477.193523414513,,-1.0,,
5,2004-05-01,3792.0,6410.229624918902,,-1.0,,
6,2004-06-01,4373.0,6442.031133947351,,-1.0,,
7,2004-07-01,6116.0,6480.810889597775,,-1.0,,
8,2004-08-01,5741.0,6591.9990424986645,,-1.0,,
9,2004-09-01,7146.0,6267.105817891912,,-1.0,,
10,2004-10-01,6915.0,6591.999231663346,,-1.0,,
11,2004-11-01,5244.0,6211.77936742847,,-1.0,,
12,2004-12-01,6178.0,4733.99983688816,9264.734765170198,1239.1031828118462,9908.17728901192,
13,2005-01-01,4994.0,4596.084997251486,9253.301710099531,1197.4794207768705,9773.721656019969,
14,2005-02-01,3440.0,3459.94461366319,9245.267209364032,825.3119977166575,8629.284935047323,
15,2005-03-01,4214.0,4084.831550963812,9239.616685569974,1028.472699527411,9284.321242339305,
16,2005-04-01,4186.0,4038.9412328788353,9235.673320776077,1015.7038345225917,9231.599088979941,
17,2005-05-01,4008.0,4014.089591590063,9232.966280385754,1009.1863081040102,9201.635009764268,
18,2005-06-01,5115.0,4637.315384444612,9231.156992996559,1229.9496509768728,9768.755161404019,
19,2005-07-01,6428.0,6286.3343824781105,9229.995636660155,1944.4618939302227,10911.231391841055,
20,2005-08-01,5394.0,5791.23804331512,9229.29423802767,1707.373446331804,10611.202493674926,
21,2005-09-01,6685.0,7458.814595979806,9228.909318345426,2615.8112032958725,11506.280355955761,
22,2005-10-01,5897.0,6956.208052817357,9228.73025441162,2308.1732783827124,11267.414281356032,
23,2005-11-01,5544.0,5466.541459765867,9228.67117098847,1563.7839806219013,10395.294431093806,
24,2005-12-01,6176.0,5664.220091680838,9094.300673691152,1791.5220220387337,10322.593736042043,
25,2006-01-01,5662.0,4938.349468199481,9090.374996903884,1468.676459751252,9768.86737394787,
26,2006-02-01,7885.0,3587.4603715492512,9087.616472343714,958.2443727072538,8445.039971745642,
27,2006-03-01,4179.0,4535.284566670723,9085.707860256452,1307.7571676281023,9413.316196885888,
28,2006-04-01,4742.0,4600.731698176442,9084.418073477302,1334.8990314351656,9469.676926802342,
29,2006-05-01,4653.0,4333.615369044608,9083.575783258673,1230.8179654798319,9222.024901935756,
30,2006-06-01,5749.0,5168.691419734795,9083.052362876026,1575.0357333559004,9940.168081005395,
31,2006-07-01,6712.0,6792.61367222762,9082.750441591963,2409.9719876689164,11004.70206553945,
32,2006-08-01,5817.0,5891.756162383829,9082.595959727068,1916.1639394381866,10459.047053758033,
33,2006-09-01,7231.0,7353.977829968662,9082.532484695877,2766.2775322139046,11298.62166661431,
34,2006-10-01,6239.0,6500.962306513843,9082.517038566391,2240.79544869185,10838.547264118948,
35,2006-11-01,6036.0,5810.116806520198,9082.516967469131,1875.5205343145383,10404.28860068671,
36,2006-12-01,7211.0,6078.248168719096,8988.903990628172,2124.1773585083492,10442.751356463252,
37,2007-01-01,6480.0,5718.319715390975,8986.022775927644,1937.8547354114173,10190.589952848248,
38,2007-02-01,4234.0,6252.0312689685925,8983.979912980074,2226.493343701391,10548.857345208406,
39,2007-03-01,5767.0,4461.697740742609,8982.5515113303,1363.3140525868457,9149.826894439933,
40,2007-04-01,6328.0,4928.135452096862,8981.572864289583,1564.9341586319174,9566.961747899246,
41,2007-05-01,5843.0,4840.642089630155,8980.921263634667,1526.699724327205,9490.607596752818,
42,2007-06-01,6636.0,5925.7331540129535,8980.50450956121,2052.2903768348638,10327.215091825807,
43,2007-07-01,9303.0,7229.702979600166,8980.25297472942,2837.629610447459,11116.194159891065,
44,2007-08-01,7076.0,6548.865389018324,8980.113967115813,2403.565851263592,10728.553017468552,
45,2007-09-01,8304.0,8067.482080305863,8980.04762787018,3462.8404529212407,11532.001194952061,
46,2007-10-01,6785.0,7211.049967414032,8980.023887281995,2825.2784593785786,11105.940053240085,
47,2007-11-01,6870.0,6636.322256407077,8980.02016949331,2456.29555967451,10781.01625028195,
48,2007-12-01,6870.0,7314.42539866449,8933.805802831703,2968.20345624787,11106.20343832061,
49,2008-01-01,6566.0,6589.970499343468,8932.058650236308,2493.827014933815,10687.681346614894,
50,2008-02-01,4804.0,5097.556445690213,8930.82277835219,1692.2037436683152,9618.968206694844,
51,2008-03-01,6148.0,5634.796949069674,8929.963198634763,1958.4894615428973,10039.663339024377,
52,2008-04-01,6171.0,5910.7387564078535,8929.379101181972,2105.332850370325,10237.868193397695,
53,2008-05-01,6502.0,5650.210179851737,8928.994680165624,1967.5711576987826,10049.510883358216,
54,2008-06-01,8061.0,6624.227588980258,8928.752710161669,2519.496628271253,10704.125160514059,
55,2008-07-01,9543.0,8679.458864699229,8928.609935289145,4096.955682628119,11756.675626218692,
56,2008-08-01,8799.0,7333.492452511933,8928.533690911483,2989.982565491595,11110.175679235454,
57,2008-09-01,9282.0,8777.744768115666,8928.49938621359,4191.853125165378,11798.46213898114,
58,2008-10-01,8419.0,7771.714645813615,8928.488603916505,3315.8651356960286,11336.781889875521,
59,2008-11-01,7935.0,7393.660269809767,8928.487651291673,3033.0668268939207,11142.271151534758,
60,2008-12-01,7935.0,7654.336308829593,8897.68218962105,3276.892574060362,11243.375276069506,
61,2009-01-01,8274.0,7206.828912878037,8896.465313166673,2950.6842556224037,11002.015917612494,
62,2009-02-01,5902.0,6209.7655701690965,8895.604941927573,2315.463128715618,10391.433829358235,
63,2009-03-01,6556.0,6454.276681566797,8895.007460726703,2461.579261046615,10550.662001114173,
64,2009-04-01,7487.0,6614.498323690752,8894.60247599528,2560.980137667529,10651.078407036966,
65,2009-05-01,7355.0,6655.340418785262,8894.33684650527,2587.026797461816,10675.978646894884,
66,2009-06-01,7503.0,7885.264510116887,8894.170392826509,3464.439784176574,11356.42546533789,
67,2009-07-01,11500.0,9329.19265714738,8894.072752593873,4838.20247662596,11997.010550080879,
68,2009-08-01,9081.0,8709.988254606451,8894.021039420377,4192.966793317694,11739.828665370424,
69,2009-09-01,10449.0,9648.959829780242,8893.998078193674,5212.311683838285,12120.718602054305,
70,2009-10-01,10135.0,8937.496613951642,8893.991062681218,4419.085217728587,11837.110486086243,
71,2009-11-01,7739.0,8619.458751843149,8893.990527264916,4106.353113546875,11700.117640760709,
72,2009-12-01,8694.0,8666.17213523424,8872.713027542644,4191.888723661145,11701.829740478854,
73,2010-01-01,7821.0,8513.992086900036,8871.835124546473,4049.5424162391896,11632.770037179609,
74,2010-02-01,5605.0,6888.892273354769,8871.215381434375,2771.784532640933,10786.356358479848,
75,2010-03-01,6469.0,6997.127031157908,8870.786115430108,2845.220693759004,10849.737543322008,
76,2010-04-01,6621.0,7431.56266595527,8870.496214368237,3153.7675676567933,11094.145989422472,
77,2010-05-01,6867.0,7185.767253200837,8870.307005199187,2976.528640818192,10957.700784868555,
78,2010-06-01,8034.0,7736.883245613052,8870.189228094036,3387.35766719897,11255.216568978998,
79,2010-07-01,10594.0,10354.3638078405,8870.120786134816,6211.3311288554605,12362.080489765276,
80,2010-08-01,9632.0,8726.706210762286,8870.08505188412,4255.688398672069,11726.231102356882,
81,2010-09-01,9287.0,10027.040619548394,8870.069581140864,5749.060209091551,12245.836194567046,
82,2010-10-01,9001.0,9268.873709318454,8870.06512963683,4820.522754152316,11955.020661028537,
83,2010-11-01,7613.0,8040.761511062017,8870.064897693766,3634.623754054598,11407.793190052309,
84,2010-12-01,9633.0,8471.451120771868,8854.329459194376,4043.1881425655906,11596.969237634195,
85,2011-01-01,6672.0,7972.504384108785,8853.664262620861,3606.665290463698,11356.801189621754,
86,2011-02-01,4625.0,6317.368005065397,8853.19523640596,2434.995583497201,10400.394794310829,
87,2011-03-01,5303.0,6520.006060990952,8852.87097278912,2559.995469730409,10532.659523852763,
88,2011-04-01,7419.0,6623.908160391802,8852.652550214118,2625.9768400365756,10598.510017684857,
