,Year,Australia,New Zealand,New Caledonia,Other PIC,Europe,North America,Japan,China,Other Countries,Total,Not Stated,Month,date,Number_of_flights_intl,Number_of_flights_total,Seats_arrivals_intl,Seats_arrivals_total
0,2019.0,5251.0,767.0,1786.0,481.0,523.0,229.0,61.0,284.0,166.0,9548.0,0.0,1.0,2019-01-01,123.0,123.0,18568.0,18568.0
1,2019.0,2740.0,503.0,923.0,526.0,456.0,152.0,57.0,326.0,152.0,5835.0,0.0,2.0,2019-02-01,94.0,97.0,13680.0,14190.0
2,2019.0,3864.0,611.0,949.0,411.0,413.0,209.0,71.0,331.0,167.0,7026.0,0.0,3.0,2019-03-01,101.0,101.0,14774.0,14774.0
3,2019.0,5195.0,1010.0,1164.0,507.0,731.0,180.0,102.0,294.0,262.0,9445.0,0.0,4.0,2019-04-01,112.0,112.0,17071.0,17071.0
4,2019.0,3919.0,868.0,1139.0,552.0,806.0,294.0,60.0,425.0,296.0,8359.0,0.0,5.0,2019-05-01,111.0,111.0,16764.0,16764.0
5,2019.0,5525.0,1581.0,1101.0,607.0,808.0,256.0,52.0,390.0,287.0,10607.0,0.0,6.0,2019-06-01,107.0,107.0,16088.0,16088.0
6,2019.0,6533.0,2344.0,1019.0,578.0,939.0,295.0,97.0,477.0,330.0,12612.0,0.0,7.0,2019-07-01,107.0,107.0,15992.0,15992.0
7,2019.0,5700.0,2048.0,1354.0,753.0,931.0,322.0,157.0,531.0,479.0,12275.0,0.0,8.0,2019-08-01,105.0,105.0,15904.0,15904.0
8,2019.0,6936.0,1526.0,1042.0,397.0,692.0,251.0,158.0,428.0,270.0,11700.0,0.0,9.0,2019-09-01,103.0,103.0,15406.0,15406.0
9,2019.0,5679.0,1487.0,1307.0,567.0,795.0,305.0,69.0,414.0,257.0,10880.0,0.0,10.0,2019-10-01,104.0,105.0,15599.0,15939.0
10,2019.0,4859.0,1010.0,1281.0,667.0,903.0,364.0,73.0,403.0,300.0,9860.0,0.0,11.0,2019-11-01,101.0,101.0,15236.0,15236.0
11,2019.0,6921.0,1330.0,1673.0,514.0,995.0,263.0,150.0,368.0,267.0,12481.0,0.0,12.0,2019-12-01,109.0,111.0,16708.0,17048.0
12,2020.0,6425.0,943.0,2087.0,402.0,837.0,335.0,89.0,522.0,293.0,11933.0,0.0,1.0,2020-01-01,111.0,117.0,17066.0,18086.0
13,2020.0,3015.0,525.0,1253.0,579.0,591.0,223.0,74.0,107.0,227.0,6594.0,0.0,2.0,2020-02-01,62.0,62.0,8986.0,8986.0
14,2020.0,1808.0,351.0,438.0,260.0,300.0,134.0,8.0,51.0,88.0,3438.0,0.0,3.0,2020-03-01,59.0,69.0,9632.0,11332.0
15,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2020-04-01,2.0,5.0,316.0,826.0
16,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2020-05-01,0.0,0.0,0.0,0.0
17,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2020-06-01,1.0,1.0,136.0,136.0
18,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2020-07-01,5.0,15.0,544.0,2244.0
19,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2020-08-01,9.0,33.0,1088.0,5168.0
20,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2020-09-01,20.0,37.0,2834.0,5724.0
