,destination_iso_country,date,fl_ranking,fl_wow_change,fl_yoy_change,destination_country,flights_number_7days,week,year,weekday,psg_ranking,psg_wow_change,psg_yoy_change,passengers_number_7days
0,FJ,2020-01-01,2,-25.46%,-2.09%,Fiji,281,1,2020,3,2,-22.74%,-17.06%,26874
1,FJ,2020-01-02,2,-13.64%,5.19%,Fiji,304,1,2020,4,2,-15.13%,-13.21%,28362
2,FJ,2020-01-03,2,17.45%,17.85%,Fiji,350,1,2020,5,1,11.25%,-3.99%,32109
3,FJ,2020-01-04,2,40.00%,31.25%,Fiji,378,1,2020,6,1,32.25%,4.29%,34138
4,FJ,2020-01-05,2,41.73%,34.16%,Fiji,377,1,2020,7,1,27.71%,2.79%,33496
5,FJ,2020-01-06,2,36.47%,30.58%,Fiji,363,2,2020,1,1,23.00%,-2.19%,32191
6,FJ,2020-01-07,2,33.96%,28.67%,Fiji,359,2,2020,2,1,21.91%,-2.88%,31661
7,FJ,2020-01-08,2,18.86%,18.44%,Fiji,334,2,2020,3,2,13.38%,-6.99%,30471
8,FJ,2020-01-09,2,3.29%,12.14%,Fiji,314,2,2020,4,2,4.20%,-9.22%,29554
9,FJ,2020-01-10,2,-9.43%,14.86%,Fiji,317,2,2020,5,2,-7.59%,-8.16%,29672
10,FJ,2020-01-11,2,-17.72%,15.19%,Fiji,311,2,2020,6,2,-12.82%,-5.15%,29763
11,FJ,2020-01-12,2,-16.71%,14.60%,Fiji,314,2,2020,7,2,-11.46%,-5.68%,29657
12,FJ,2020-01-13,2,-11.57%,14.64%,Fiji,321,3,2020,1,2,-7.81%,-5.36%,29676
13,FJ,2020-01-14,2,-9.19%,16.01%,Fiji,326,3,2020,2,2,-3.44%,-1.78%,30572
14,FJ,2020-01-15,2,1.20%,21.58%,Fiji,338,3,2020,3,2,1.29%,1.16%,30865
15,FJ,2020-01-16,2,10.51%,24.82%,Fiji,347,3,2020,4,2,3.74%,0.90%,30658
16,FJ,2020-01-17,2,4.42%,19.49%,Fiji,331,3,2020,5,2,0.97%,-0.50%,29960
17,FJ,2020-01-18,2,8.36%,15.41%,Fiji,337,3,2020,6,2,2.48%,-2.94%,30500
18,FJ,2020-01-19,2,7.32%,12.33%,Fiji,337,3,2020,7,2,2.44%,-5.26%,30380
19,FJ,2020-01-20,2,4.98%,13.85%,Fiji,337,4,2020,1,2,4.22%,-1.36%,30929
20,FJ,2020-01-21,2,3.99%,14.53%,Fiji,339,4,2020,2,2,0.03%,-3.23%,30580
21,FJ,2020-01-22,2,1.18%,15.54%,Fiji,342,4,2020,3,2,-0.97%,-3.38%,30567
22,FJ,2020-01-23,2,0.58%,15.18%,Fiji,349,4,2020,4,2,1.81%,-2.33%,31214
23,FJ,2020-01-24,2,6.65%,14.98%,Fiji,353,4,2020,5,2,5.34%,-1.91%,31561
24,FJ,2020-01-25,2,3.56%,12.94%,Fiji,349,4,2020,6,2,1.19%,-4.76%,30862
25,FJ,2020-01-26,2,2.37%,16.55%,Fiji,345,4,2020,7,2,1.54%,0.30%,30849
26,FJ,2020-01-27,2,0.00%,13.09%,Fiji,337,5,2020,1,2,-1.64%,-2.27%,30423
27,FJ,2020-01-28,2,-5.60%,8.47%,Fiji,320,5,2020,2,2,-2.57%,-3.61%,29795
28,FJ,2020-01-29,2,-7.31%,7.82%,Fiji,317,5,2020,3,2,-2.85%,-1.87%,29695
29,FJ,2020-01-30,2,-11.17%,6.16%,Fiji,310,5,2020,4,2,-5.66%,-0.79%,29448
30,FJ,2020-01-31,2,-10.20%,8.93%,Fiji,317,5,2020,5,2,-5.45%,2.15%,29842
31,FJ,2020-02-01,2,-12.03%,6.23%,Fiji,307,5,2020,6,2,-5.92%,0.44%,29035
32,FJ,2020-02-02,2,-11.88%,3.40%,Fiji,304,5,2020,7,2,-6.47%,-0.23%,28852
33,FJ,2020-02-03,2,-8.31%,5.10%,Fiji,309,6,2020,1,2,-7.68%,-3.02%,28087
34,FJ,2020-02-04,2,-1.88%,6.08%,Fiji,314,6,2020,2,2,-6.80%,-2.16%,27768
35,FJ,2020-02-05,2,-1.58%,6.85%,Fiji,312,6,2020,3,2,-7.17%,-0.38%,27566
36,FJ,2020-02-06,2,-0.65%,6.21%,Fiji,308,6,2020,4,2,-10.53%,-3.61%,26346
37,FJ,2020-02-07,2,-4.10%,5.56%,Fiji,304,6,2020,5,2,-11.86%,-2.02%,26304
38,FJ,2020-02-08,2,-0.65%,7.02%,Fiji,305,6,2020,6,2,-10.08%,-1.88%,26107
39,FJ,2020-02-09,2,0.66%,8.13%,Fiji,306,6,2020,7,2,-9.30%,-0.58%,26170
40,FJ,2020-02-10,2,-1.62%,5.56%,Fiji,304,7,2020,1,2,-6.21%,-0.60%,26342
41,FJ,2020-02-11,2,-4.14%,4.51%,Fiji,301,7,2020,2,2,-5.56%,-0.71%,26223
42,FJ,2020-02-12,2,-3.21%,4.14%,Fiji,302,7,2020,3,2,-5.84%,-3.79%,25956
43,FJ,2020-02-13,2,0.65%,7.64%,Fiji,310,7,2020,4,2,2.49%,-0.62%,27001
44,FJ,2020-02-14,2,1.32%,7.69%,Fiji,308,7,2020,5,2,1.11%,-2.40%,26595
45,FJ,2020-02-15,2,0.33%,7.37%,Fiji,306,7,2020,6,2,1.24%,-2.80%,26431
46,FJ,2020-02-16,2,0.33%,8.48%,Fiji,307,7,2020,7,2,0.95%,-2.59%,26419
47,FJ,2020-02-17,2,-1.64%,7.17%,Fiji,299,8,2020,1,2,-2.13%,-4.33%,25781
48,FJ,2020-02-18,2,-1.00%,9.16%,Fiji,298,8,2020,2,2,-2.64%,-5.05%,25531
49,FJ,2020-02-19,2,-3.31%,8.55%,Fiji,292,8,2020,3,2,-0.66%,-3.25%,25784
50,FJ,2020-02-20,2,-12.58%,1.88%,Fiji,271,8,2020,4,2,-9.23%,-7.66%,24508
51,FJ,2020-02-21,2,-16.56%,-1.15%,Fiji,257,8,2020,5,2,-9.99%,-8.91%,23939
52,FJ,2020-02-22,2,-20.59%,-4.33%,Fiji,243,8,2020,6,2,-11.73%,-10.20%,23331
53,FJ,2020-02-23,2,-26.71%,-11.42%,Fiji,225,8,2020,7,2,-15.85%,-15.45%,22231
54,FJ,2020-02-24,2,-28.43%,-14.06%,Fiji,214,9,2020,1,2,-13.33%,-13.92%,22344
55,FJ,2020-02-25,2,-30.87%,-17.27%,Fiji,206,9,2020,2,2,-10.20%,-10.81%,22928
56,FJ,2020-02-26,2,-33.22%,-23.23%,Fiji,195,9,2020,3,2,-14.72%,-16.20%,21989
57,FJ,2020-02-27,2,-27.68%,-24.03%,Fiji,196,9,2020,4,2,-10.01%,-16.38%,22055
58,FJ,2020-02-28,2,-23.74%,-25.19%,Fiji,196,9,2020,5,2,-8.84%,-19.28%,21823
59,FJ,2020-02-29,2,-18.52%,-24.43%,Fiji,198,9,2020,6,2,-5.19%,-18.19%,22120
60,FJ,2020-03-01,2,-12.89%,-26.59%,Fiji,196,9,2020,7,2,-2.46%,-21.29%,21684
61,FJ,2020-03-02,2,-7.01%,-26.84%,Fiji,199,10,2020,1,2,-2.18%,-20.39%,21857
