date,ym,cambodia_khmer_times_body_count,cambodia_khmer_times_epu_count,cambodia_khmer_times_ratio,news_total,cambodia_khmer_times_weights,cambodia_khmer_times_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted
2021-05-01,2021-5,761,13,0.017082785808147174,761,1.0,,,0,,
2021-06-01,2021-6,1246,22,0.01765650080256822,1246,1.0,,,0,,
2021-07-01,2021-7,1415,23,0.01625441696113074,1415,1.0,,,0,,
2021-08-01,2021-8,1258,17,0.013513513513513514,1258,1.0,,,0,,
2021-09-01,2021-9,1106,22,0.019891500904159132,1106,1.0,,,0,,
2021-10-01,2021-10,1009,34,0.03369672943508424,1009,1.0,,,0,,
2021-11-01,2021-11,1041,42,0.040345821325648415,1041,1.0,,,0,,
2021-12-01,2021-12,1026,26,0.025341130604288498,1026,1.0,,,0,,
2022-01-01,2022-1,1029,46,0.04470359572400389,1029,1.0,,,0,,
2022-02-01,2022-2,952,47,0.04936974789915966,952,1.0,,,0,,
2022-03-01,2022-3,1098,16,0.014571948998178506,1098,1.0,,,0,,
2022-04-01,2022-4,996,12,0.012048192771084338,996,1.0,,,0,,
2022-05-01,2022-5,1065,12,0.011267605633802818,1065,1.0,,,0,,
2022-06-01,2022-6,1077,24,0.022284122562674095,1077,1.0,,,0,,
2022-07-01,2022-7,1018,18,0.01768172888015717,1018,1.0,,,0,,
2022-08-01,2022-8,1100,11,0.01,1100,1.0,,,0,,
2022-09-01,2022-9,1027,15,0.014605647517039922,1027,1.0,,,0,,
2022-10-01,2022-10,1034,20,0.019342359767891684,1034,1.0,,,0,,
2022-11-01,2022-11,956,15,0.015690376569037656,956,1.0,,,0,,
2022-12-01,2022-12,936,16,0.017094017094017096,936,1.0,,,0,,
2023-01-01,2023-1,992,15,0.015120967741935484,992,1.0,,,0,,
2023-02-01,2023-2,1012,16,0.015810276679841896,1012,1.0,,,0,,
2023-03-01,2023-3,1039,20,0.019249278152069296,1039,1.0,,,0,,
2023-04-01,2023-4,921,10,0.010857763300760043,921,1.0,,,0,,
2023-05-01,2023-5,926,14,0.01511879049676026,926,1.0,,,0,,
2023-06-01,2023-6,956,12,0.012552301255230125,956,1.0,,,0,,
2023-07-01,2023-7,1016,6,0.005905511811023622,1016,1.0,,,0,,
2023-08-01,2023-8,1002,15,0.014970059880239521,1002,1.0,,,0,,
2023-09-01,2023-9,910,10,0.01098901098901099,910,1.0,,,0,,
2023-10-01,2023-10,886,10,0.011286681715575621,886,1.0,,,0,,
2023-11-01,2023-11,870,21,0.02413793103448276,870,1.0,,,0,,
2023-12-01,2023-12,862,17,0.019721577726218097,862,1.0,,,0,,
2024-01-01,2024-1,967,14,0.014477766287487074,967,1.0,,,0,,
2024-02-01,2024-2,916,12,0.013100436681222707,916,1.0,,,0,,
2024-03-01,2024-3,930,8,0.008602150537634409,930,1.0,,,0,,
2024-04-01,2024-4,863,13,0.015063731170336037,863,1.0,,,0,,
2024-05-01,2024-5,897,7,0.007803790412486065,897,1.0,,,0,,
2024-06-01,2024-6,914,18,0.019693654266958426,914,1.0,,,0,,
2024-07-01,2024-7,942,15,0.01592356687898089,942,1.0,,,0,,
2024-08-01,2024-8,905,19,0.020994475138121547,905,1.0,,,0,,
2024-09-01,2024-9,897,21,0.023411371237458192,897,1.0,,,0,,
2024-10-01,2024-10,917,24,0.026172300981461286,917,1.0,,,0,,
2024-11-01,2024-11,903,16,0.017718715393133997,903,1.0,,,0,,
2024-12-01,2024-12,955,13,0.013612565445026177,955,1.0,,,0,,
2025-01-01,2025-1,932,14,0.015021459227467811,932,1.0,,,0,,
2025-02-01,2025-2,879,28,0.03185437997724687,879,1.0,,,0,,
2025-03-01,2025-3,973,22,0.022610483042137718,973,1.0,,,0,,
2025-04-01,2025-4,860,20,0.023255813953488372,860,1.0,,,0,,
2025-05-01,2025-5,884,27,0.030542986425339366,884,1.0,,,0,,
2025-06-01,2025-6,1048,32,0.030534351145038167,1048,1.0,,,0,,
2025-07-01,2025-7,1262,32,0.025356576862123614,1262,1.0,,,0,,
2025-08-01,2025-8,1090,12,0.011009174311926606,1090,1.0,,,0,,
2025-09-01,2025-9,879,20,0.022753128555176336,879,1.0,,,0,,
