,date,score,z_score
0,2016-01-01,0.6942433333333333,-0.08337724321519817
1,2016-02-01,0.8321945454545454,0.1649700338932143
2,2016-03-01,0.577709090909091,-0.2931685263140592
3,2016-04-01,0.6493309523809524,-0.16423095480258953
4,2016-05-01,0.7543811594202899,0.024886143023061916
5,2016-06-01,0.8410458333333334,0.18090460387487003
6,2016-07-01,0.8005246376811593,0.10795614296136656
7,2016-08-01,0.7618022222222223,0.038245944011914786
8,2016-09-01,0.826804347826087,0.15526630687610296
9,2016-10-01,0.7563780487804879,0.028481051887336115
10,2016-11-01,0.7847551724137931,0.07956709367077396
11,2016-12-01,0.8205355263157895,0.14398083334656925
12,2017-01-01,0.7574533333333334,0.03041683763876025
13,2017-02-01,0.7724571428571428,0.05742751180534398
14,2017-03-01,0.8919202702702702,0.27249153300319445
15,2017-04-01,0.8485576923076923,0.1944278610729673
16,2017-05-01,0.7274608695652174,-0.023577227335743932
17,2017-06-01,0.7345924242424242,-0.010738614623317133
18,2017-07-01,0.7786112676056338,0.06850650198435249
19,2017-08-01,0.69719625,-0.0780612419824555
20,2017-09-01,0.8082174999999999,0.1218052522274402
21,2017-10-01,0.7169361111111111,-0.04252447008997507
22,2017-11-01,0.73921,-0.0024258035316091697
23,2017-12-01,0.8359929824561404,0.17180818683227722
24,2018-01-01,0.6604686567164179,-0.14418025352624975
25,2018-02-01,0.7082661016949152,-0.05813269272106468
26,2018-03-01,0.7162901408450705,-0.043687380906033926
27,2018-04-01,0.7490380281690141,0.015267147458736759
28,2018-05-01,0.7016625,-0.07002085575220725
29,2018-06-01,0.7214481012658228,-0.034401739944783995
30,2018-07-01,0.9033396226415095,0.29304927239621203
31,2018-08-01,0.8582890625,0.21194680311510095
32,2018-09-01,0.8425784615384616,0.18366372455029192
33,2018-10-01,0.6549980392156862,-0.154028756772561
34,2018-11-01,0.6088228070175439,-0.23715592187627413
35,2018-12-01,0.6041766666666667,-0.245520156502861
36,2019-01-01,0.8150322580645162,0.1340735504428132
37,2019-02-01,0.633539705882353,-0.19265921585062634
38,2019-03-01,0.7918528735632183,0.09234476142073321
39,2019-04-01,0.7733707692307693,0.059072271707744844
40,2019-05-01,0.7918068493150685,0.09226190606532739
41,2019-06-01,0.7081449275362319,-0.058350837033841405
42,2019-07-01,0.7308032967032967,-0.01756000816157749
43,2019-08-01,0.7325651515151516,-0.014388221277964956
44,2019-09-01,0.7465068493150686,0.010710381580525988
45,2019-10-01,0.8182733333333333,0.13990831046802343
46,2019-11-01,0.7419714285714285,0.002545470414436737
47,2019-12-01,0.7120746031746032,-0.05127642116099444
48,2020-01-01,0.8055282608695652,0.11696393764043943
49,2020-02-01,0.561186,-0.32291429348486134
50,2020-03-01,0.7083513888888889,-0.05797915407453957
51,2020-04-01,0.40965645161290326,-0.5957060302500101
52,2020-05-01,0.7180681818181818,-0.040486454814341516
53,2020-06-01,0.6374022988505748,-0.1857055658501239
54,2020-07-01,0.7301302631578948,-0.018771639765483423
55,2020-08-01,0.7002171717171717,-0.07262281435807141
56,2020-09-01,0.780280808080808,0.07151209957683673
57,2020-10-01,0.8109859813084112,0.126789222894297
58,2020-11-01,0.7108150537634409,-0.05354393053503913
59,2020-12-01,0.87525625,0.2424920571293275
60,2021-01-01,0.8462144736842107,0.19020947142735792
61,2021-02-01,0.7920464788732394,0.0926933002326664
62,2021-03-01,0.7335552631578948,-0.012605768433023239
63,2021-04-01,0.7921151898734178,0.09281699751331586
64,2021-05-01,0.6271125,-0.20422982154342045
65,2021-06-01,0.68968125,-0.09159015382579498
66,2021-07-01,0.72145,-0.03439832174022012
67,2021-08-01,0.6926209677419355,-0.08629791401542289
68,2021-09-01,0.791940506329114,0.0925025226934398
69,2021-10-01,0.8621918918918918,0.21897288891450198
70,2021-11-01,0.6267052083333333,-0.20496305015990213
71,2021-12-01,0.7457901408450703,0.009420124001286941
72,2022-01-01,0.711115873015873,-0.053002379351149174
73,2022-02-01,0.7661435483870968,0.04606143555785896
74,2022-03-01,0.6192903846153845,-0.21831161921033893
75,2022-04-01,0.7156454545454545,-0.04484798025588273
76,2022-05-01,0.77305,0.05849480548750085
77,2022-06-01,0.7501032258064516,0.01718477419627843
78,2022-07-01,0.7740777777777778,0.06034506695790651
79,2022-08-01,0.71806,-0.04050118416855296
80,2022-09-01,0.6838146341463415,-0.10215155485079631
81,2022-10-01,0.7503125,0.0175615209847818
82,2022-11-01,0.705355223880597,-0.0633730133247432
83,2022-12-01,0.8364527272727272,0.1726358444628874
84,2023-01-01,0.7095085714285714,-0.05589593111166324
85,2023-02-01,0.7654531914893618,0.04481861751262965
86,2023-03-01,0.6699559322033898,-0.12710074405230165
87,2023-04-01,0.6960622950819673,-0.08010264931717083
88,2023-05-01,0.7205732142857143,-0.0359767590834099
89,2023-06-01,0.6518864406779661,-0.15963042574244526
90,2023-07-01,0.9220122448979593,0.32666474284085484
91,2023-08-01,0.8007352941176471,0.10833537813880835
92,2023-09-01,0.7522209677419355,0.020997248441402126
93,2023-10-01,0.6433882352941177,-0.1749293574077385
94,2023-11-01,0.5749887096774193,-0.2980659046059502
95,2023-12-01,0.740501724137931,-0.00010037146401339295
