,WB_ADM0_NA,date,incomeG,SPC,UN_m49,Region,OBJECTID,FID_100,Shape_Area,lendingC,WB_ADM0_CO,ISO_A2,ISO3,Shape_Leng,pct
36,Fiji,2014-04-01,Upper middle income,1,242,East Asia & Pacific,74,7300,18293.0582906,IBRD,83,FJ,FJI,4054841.22828,0.9927311414934448
37,Kiribati,2014-04-01,Lower middle income,1,296,East Asia & Pacific,121,12000,933.342117578,IDA,135,KI,KIR,1581956.50079,0.9960429199432008
38,Marshall Islands,2014-04-01,Upper middle income,1,584,East Asia & Pacific,141,14000,199.248720383,IDA,157,MH,MHL,1052014.32989,0.7728080080181677
39,Federated States of Micronesia,2014-04-01,Lower middle income,1,583,East Asia & Pacific,145,14400,692.446510142,IDA,163,FM,FSM,701927.033181,0.9134554808903821
40,Nauru,2014-04-01,,1,520,,155,15400,18.2613307643,,173,NR,NRU,16107.7299471,0.9278318556637114
41,Palau,2014-04-01,Upper middle income,1,585,East Asia & Pacific,170,16900,459.784027327,IBRD,189,PW,PLW,334487.735185,1.0
42,Papua New Guinea,2014-04-01,Lower middle income,1,598,East Asia & Pacific,173,17200,462229.644778,Blend,192,PG,PNG,18169052.305,0.9032109471103852
43,Samoa,2014-04-01,Lower middle income,1,882,East Asia & Pacific,191,19000,2877.21146464,IDA,212,WS,WSM,426923.865253,0.9966304765868667
44,Solomon Islands,2014-04-01,Lower middle income,1,90,East Asia & Pacific,201,20000,28721.9231407,IDA,225,SB,SLB,7464890.15997,0.19346832343977272
45,Tonga,2014-04-01,Upper middle income,1,776,East Asia & Pacific,219,21800,672.163551358,IDA,245,TO,TON,714461.2022,1.0
46,Tuvalu,2014-04-01,Upper middle income,1,798,East Asia & Pacific,225,22400,29.9934745917,IDA,252,TV,TUV,119900.040632,1.0
47,Vanuatu,2014-04-01,Lower middle income,1,548,East Asia & Pacific,235,23400,12231.7137936,IDA,262,VU,VUT,2958412.81503,0.9899909141815733
48,Fiji,2014-05-01,Upper middle income,1,242,East Asia & Pacific,74,7300,18293.0582906,IBRD,83,FJ,FJI,4054841.22828,0.9963902174249926
49,Kiribati,2014-05-01,Lower middle income,1,296,East Asia & Pacific,121,12000,933.342117578,IDA,135,KI,KIR,1581956.50079,1.0000000000000002
50,Marshall Islands,2014-05-01,Upper middle income,1,584,East Asia & Pacific,141,14000,199.248720383,IDA,157,MH,MHL,1052014.32989,0.9997716344628967
51,Federated States of Micronesia,2014-05-01,Lower middle income,1,583,East Asia & Pacific,145,14400,692.446510142,IDA,163,FM,FSM,701927.033181,0.9384945634420646
52,Nauru,2014-05-01,,1,520,,155,15400,18.2613307643,,173,NR,NRU,16107.7299471,1.0
53,Palau,2014-05-01,Upper middle income,1,585,East Asia & Pacific,170,16900,459.784027327,IBRD,189,PW,PLW,334487.735185,1.0
54,Papua New Guinea,2014-05-01,Lower middle income,1,598,East Asia & Pacific,173,17200,462229.644778,Blend,192,PG,PNG,18169052.305,0.9939297040795947
55,Samoa,2014-05-01,Lower middle income,1,882,East Asia & Pacific,191,19000,2877.21146464,IDA,212,WS,WSM,426923.865253,1.0
56,Solomon Islands,2014-05-01,Lower middle income,1,90,East Asia & Pacific,201,20000,28721.9231407,IDA,225,SB,SLB,7464890.15997,0.9998795877975385
57,Tonga,2014-05-01,Upper middle income,1,776,East Asia & Pacific,219,21800,672.163551358,IDA,245,TO,TON,714461.2022,1.0
58,Tuvalu,2014-05-01,Upper middle income,1,798,East Asia & Pacific,225,22400,29.9934745917,IDA,252,TV,TUV,119900.040632,1.0
59,Vanuatu,2014-05-01,Lower middle income,1,548,East Asia & Pacific,235,23400,12231.7137936,IDA,262,VU,VUT,2958412.81503,1.0
60,Fiji,2014-06-01,Upper middle income,1,242,East Asia & Pacific,74,7300,18293.0582906,IBRD,83,FJ,FJI,4054841.22828,0.9964203439748531
61,Kiribati,2014-06-01,Lower middle income,1,296,East Asia & Pacific,121,12000,933.342117578,IDA,135,KI,KIR,1581956.50079,0.9997915016054377
62,Marshall Islands,2014-06-01,Upper middle income,1,584,East Asia & Pacific,141,14000,199.248720383,IDA,157,MH,MHL,1052014.32989,0.9985346544702552
63,Federated States of Micronesia,2014-06-01,Lower middle income,1,583,East Asia & Pacific,145,14400,692.446510142,IDA,163,FM,FSM,701927.033181,1.0
64,Nauru,2014-06-01,,1,520,,155,15400,18.2613307643,,173,NR,NRU,16107.7299471,1.0
65,Palau,2014-06-01,Upper middle income,1,585,East Asia & Pacific,170,16900,459.784027327,IBRD,189,PW,PLW,334487.735185,1.0
66,Papua New Guinea,2014-06-01,Lower middle income,1,598,East Asia & Pacific,173,17200,462229.644778,Blend,192,PG,PNG,18169052.305,0.9894238062270321
67,Samoa,2014-06-01,Lower middle income,1,882,East Asia & Pacific,191,19000,2877.21146464,IDA,212,WS,WSM,426923.865253,1.0
68,Solomon Islands,2014-06-01,Lower middle income,1,90,East Asia & Pacific,201,20000,28721.9231407,IDA,225,SB,SLB,7464890.15997,0.9999829233603782
69,Tonga,2014-06-01,Upper middle income,1,776,East Asia & Pacific,219,21800,672.163551358,IDA,245,TO,TON,714461.2022,1.0
70,Tuvalu,2014-06-01,Upper middle income,1,798,East Asia & Pacific,225,22400,29.9934745917,IDA,252,TV,TUV,119900.040632,1.0
71,Vanuatu,2014-06-01,Lower middle income,1,548,East Asia & Pacific,235,23400,12231.7137936,IDA,262,VU,VUT,2958412.81503,1.0
72,Fiji,2014-07-01,Upper middle income,1,242,East Asia & Pacific,74,7300,18293.0582906,IBRD,83,FJ,FJI,4054841.22828,0.9961919735122888
73,Kiribati,2014-07-01,Lower middle income,1,296,East Asia & Pacific,121,12000,933.342117578,IDA,135,KI,KIR,1581956.50079,1.0000000000000002
74,Marshall Islands,2014-07-01,Upper middle income,1,584,East Asia & Pacific,141,14000,199.248720383,IDA,157,MH,MHL,1052014.32989,1.0
75,Federated States of Micronesia,2014-07-01,Lower middle income,1,583,East Asia & Pacific,145,14400,692.446510142,IDA,163,FM,FSM,701927.033181,0.9850450907648515
76,Nauru,2014-07-01,,1,520,,155,15400,18.2613307643,,173,NR,NRU,16107.7299471,1.0
77,Palau,2014-07-01,Upper middle income,1,585,East Asia & Pacific,170,16900,459.784027327,IBRD,189,PW,PLW,334487.735185,0.9905434209228418
78,Papua New Guinea,2014-07-01,Lower middle income,1,598,East Asia & Pacific,173,17200,462229.644778,Blend,192,PG,PNG,18169052.305,0.9713957934606171
79,Samoa,2014-07-01,Lower middle income,1,882,East Asia & Pacific,191,19000,2877.21146464,IDA,212,WS,WSM,426923.865253,1.0
80,Solomon Islands,2014-07-01,Lower middle income,1,90,East Asia & Pacific,201,20000,28721.9231407,IDA,225,SB,SLB,7464890.15997,0.9888992748389824
81,Tonga,2014-07-01,Upper middle income,1,776,East Asia & Pacific,219,21800,672.163551358,IDA,245,TO,TON,714461.2022,1.0
82,Tuvalu,2014-07-01,Upper middle income,1,798,East Asia & Pacific,225,22400,29.9934745917,IDA,252,TV,TUV,119900.040632,1.0
83,Vanuatu,2014-07-01,Lower middle income,1,548,East Asia & Pacific,235,23400,12231.7137936,IDA,262,VU,VUT,2958412.81503,0.9995375974272762
84,Fiji,2014-08-01,Upper middle income,1,242,East Asia & Pacific,74,7300,18293.0582906,IBRD,83,FJ,FJI,4054841.22828,0.9960673382933224
85,Kiribati,2014-08-01,Lower middle income,1,296,East Asia & Pacific,121,12000,933.342117578,IDA,135,KI,KIR,1581956.50079,1.0000000000000002
86,Marshall Islands,2014-08-01,Upper middle income,1,584,East Asia & Pacific,141,14000,199.248720383,IDA,157,MH,MHL,1052014.32989,1.0
87,Federated States of Micronesia,2014-08-01,Lower middle income,1,583,East Asia & Pacific,145,14400,692.446510142,IDA,163,FM,FSM,701927.033181,1.0
88,Nauru,2014-08-01,,1,520,,155,15400,18.2613307643,,173,NR,NRU,16107.7299471,1.0
89,Palau,2014-08-01,Upper middle income,1,585,East Asia & Pacific,170,16900,459.784027327,IBRD,189,PW,PLW,334487.735185,1.0
90,Papua New Guinea,2014-08-01,Lower middle income,1,598,East Asia & Pacific,173,17200,462229.644778,Blend,192,PG,PNG,18169052.305,0.9848008492018394
91,Samoa,2014-08-01,Lower middle income,1,882,East Asia & Pacific,191,19000,2877.21146464,IDA,212,WS,WSM,426923.865253,1.0
92,Solomon Islands,2014-08-01,Lower middle income,1,90,East Asia & Pacific,201,20000,28721.9231407,IDA,225,SB,SLB,7464890.15997,1.0
93,Tonga,2014-08-01,Upper middle income,1,776,East Asia & Pacific,219,21800,672.163551358,IDA,245,TO,TON,714461.2022,1.0
94,Tuvalu,2014-08-01,Upper middle income,1,798,East Asia & Pacific,225,22400,29.9934745917,IDA,252,TV,TUV,119900.040632,1.0
95,Vanuatu,2014-08-01,Lower middle income,1,548,East Asia & Pacific,235,23400,12231.7137936,IDA,262,VU,VUT,2958412.81503,0.9999411809165059
96,Fiji,2014-09-01,Upper middle income,1,242,East Asia & Pacific,74,7300,18293.0582906,IBRD,83,FJ,FJI,4054841.22828,0.9988012589737358
97,Kiribati,2014-09-01,Lower middle income,1,296,East Asia & Pacific,121,12000,933.342117578,IDA,135,KI,KIR,1581956.50079,1.0000000000000002
98,Marshall Islands,2014-09-01,Upper middle income,1,584,East Asia & Pacific,141,14000,199.248720383,IDA,157,MH,MHL,1052014.32989,1.0
99,Federated States of Micronesia,2014-09-01,Lower middle income,1,583,East Asia & Pacific,145,14400,692.446510142,IDA,163,FM,FSM,701927.033181,0.9952109291147508
100,Nauru,2014-09-01,,1,520,,155,15400,18.2613307643,,173,NR,NRU,16107.7299471,1.0
101,Palau,2014-09-01,Upper middle income,1,585,East Asia & Pacific,170,16900,459.784027327,IBRD,189,PW,PLW,334487.735185,0.9994531910057426
102,Papua New Guinea,2014-09-01,Lower middle income,1,598,East Asia & Pacific,173,17200,462229.644778,Blend,192,PG,PNG,18169052.305,0.9545472339738347
103,Samoa,2014-09-01,Lower middle income,1,882,East Asia & Pacific,191,19000,2877.21146464,IDA,212,WS,WSM,426923.865253,1.0
104,Solomon Islands,2014-09-01,Lower middle income,1,90,East Asia & Pacific,201,20000,28721.9231407,IDA,225,SB,SLB,7464890.15997,0.9995871292929308
105,Tonga,2014-09-01,Upper middle income,1,776,East Asia & Pacific,219,21800,672.163551358,IDA,245,TO,TON,714461.2022,1.0
106,Tuvalu,2014-09-01,Upper middle income,1,798,East Asia & Pacific,225,22400,29.9934745917,IDA,252,TV,TUV,119900.040632,1.0
107,Vanuatu,2014-09-01,Lower middle income,1,548,East Asia & Pacific,235,23400,12231.7137936,IDA,262,VU,VUT,2958412.81503,0.9996274791378705
108,Fiji,2014-10-01,Upper middle income,1,242,East Asia & Pacific,74,7300,18293.0582906,IBRD,83,FJ,FJI,4054841.22828,0.9935201920269349
109,Kiribati,2014-10-01,Lower middle income,1,296,East Asia & Pacific,121,12000,933.342117578,IDA,135,KI,KIR,1581956.50079,1.0000000000000002
110,Marshall Islands,2014-10-01,Upper middle income,1,584,East Asia & Pacific,141,14000,199.248720383,IDA,157,MH,MHL,1052014.32989,0.9909859047715711
111,Federated States of Micronesia,2014-10-01,Lower middle income,1,583,East Asia & Pacific,145,14400,692.446510142,IDA,163,FM,FSM,701927.033181,1.0
112,Nauru,2014-10-01,,1,520,,155,15400,18.2613307643,,173,NR,NRU,16107.7299471,1.0
113,Palau,2014-10-01,Upper middle income,1,585,East Asia & Pacific,170,16900,459.784027327,IBRD,189,PW,PLW,334487.735185,1.0
114,Papua New Guinea,2014-10-01,Lower middle income,1,598,East Asia & Pacific,173,17200,462229.644778,Blend,192,PG,PNG,18169052.305,0.990180772966522
115,Samoa,2014-10-01,Lower middle income,1,882,East Asia & Pacific,191,19000,2877.21146464,IDA,212,WS,WSM,426923.865253,1.0
116,Solomon Islands,2014-10-01,Lower middle income,1,90,East Asia & Pacific,201,20000,28721.9231407,IDA,225,SB,SLB,7464890.15997,0.9933135019768818
117,Tonga,2014-10-01,Upper middle income,1,776,East Asia & Pacific,219,21800,672.163551358,IDA,245,TO,TON,714461.2022,1.0
118,Tuvalu,2014-10-01,Upper middle income,1,798,East Asia & Pacific,225,22400,29.9934745917,IDA,252,TV,TUV,119900.040632,1.0
119,Vanuatu,2014-10-01,Lower middle income,1,548,East Asia & Pacific,235,23400,12231.7137936,IDA,262,VU,VUT,2958412.81503,0.999274564636906
120,Fiji,2014-11-01,Upper middle income,1,242,East Asia & Pacific,74,7300,18293.0582906,IBRD,83,FJ,FJI,4054841.22828,0.9958774033952164
121,Kiribati,2014-11-01,Lower middle income,1,296,East Asia & Pacific,121,12000,933.342117578,IDA,135,KI,KIR,1581956.50079,1.0000000000000002
122,Marshall Islands,2014-11-01,Upper middle income,1,584,East Asia & Pacific,141,14000,199.248720383,IDA,157,MH,MHL,1052014.32989,0.999486177541518
123,Federated States of Micronesia,2014-11-01,Lower middle income,1,583,East Asia & Pacific,145,14400,692.446510142,IDA,163,FM,FSM,701927.033181,1.0
124,Nauru,2014-11-01,,1,520,,155,15400,18.2613307643,,173,NR,NRU,16107.7299471,1.0
125,Palau,2014-11-01,Upper middle income,1,585,East Asia & Pacific,170,16900,459.784027327,IBRD,189,PW,PLW,334487.735185,1.0
