date,ym,malaysia_malay_mail_body_count,malaysia_malay_mail_epu_count,malaysia_malay_mail_ratio,news_total,malaysia_malay_mail_weights,malaysia_malay_mail_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted,epu_job
2015-01-01,2015-1,1256,2.0,0.0015923566878980893,1256,1.0,0.43471930486071125,0.43471930486071125,0.43471930486071125,31.00329177436564,31.00329177436564,31.00329177436564
2015-02-01,2015-2,1106,0.0,0.0,1106,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-01,2015-3,1490,3.0,0.0020134228187919465,1490,1.0,0.5496719264144833,0.5496719264144833,0.5496719264144833,39.201477652956285,39.201477652956285,39.201477652956285
2015-04-01,2015-4,1462,5.0,0.003419972640218878,1462,1.0,0.933665264885522,0.933665264885522,0.933665264885522,66.58709724453358,66.58709724453358,66.58709724453358
2015-05-01,2015-5,1483,11.0,0.007417397167902899,1483,1.0,2.0249770451637175,2.0249770451637175,2.0249770451637175,144.41722156258786,144.41722156258786,144.41722156258786
2015-06-01,2015-6,1486,6.0,0.004037685060565276,1486,1.0,1.102303055662961,1.102303055662961,1.102303055662961,78.61399960014113,78.61399960014113,78.61399960014113
2015-07-01,2015-7,1422,10.0,0.007032348804500703,1422,1.0,1.9198574082456163,1.9198574082456163,1.9198574082456163,136.9203040386893,136.9203040386893,136.9203040386893
2015-08-01,2015-8,1383,7.0,0.005061460592913955,1383,1.0,1.381797587973743,1.381797587973743,1.381797587973743,98.54697804780284,98.54697804780284,98.54697804780284
2015-09-01,2015-9,1287,10.0,0.00777000777000777,1287,1.0,2.1212410524671848,2.1212410524671848,2.1212410524671848,151.28257369309728,151.28257369309728,151.28257369309728
2015-10-01,2015-10,1425,10.0,0.007017543859649123,1425,1.0,1.9158156031756257,1.9158156031756257,1.9158156031756257,136.63205076702891,136.63205076702891,136.63205076702891
2015-11-01,2015-11,1349,4.0,0.0029651593773165306,1349,1.0,0.8094995506375883,0.8094995506375883,0.8094995506375883,57.731852436772776,57.731852436772776,57.731852436772776
2015-12-01,2015-12,1224,4.0,0.0032679738562091504,1224,1.0,0.89216903089061,0.89216903089061,0.89216903089061,63.62767070033209,63.62767070033209,63.62767070033209
2016-01-01,2016-1,1246,4.0,0.0032102728731942215,1246,1.0,0.8764164476806634,0.8764164476806634,0.8764164476806634,62.50422868154613,62.50422868154613,62.50422868154613
2016-02-01,2016-2,1271,9.0,0.007081038552321007,1271,1.0,1.933149890694524,1.933149890694524,1.933149890694524,137.86829670237182,137.86829670237182,137.86829670237182
2016-03-01,2016-3,1443,6.0,0.004158004158004158,1443,1.0,1.1351506172662231,1.1351506172662231,1.1351506172662231,80.95662051684666,80.95662051684666,80.95662051684666
2016-04-01,2016-4,1381,2.0,0.001448225923244026,1381,1.0,0.3953710694460921,0.3953710694460921,0.3953710694460921,28.19705609601972,28.19705609601972,28.19705609601972
2016-05-01,2016-5,1405,4.0,0.0028469750889679717,1405,1.0,0.7772347998648446,0.7772347998648446,0.7772347998648446,55.43079639658824,55.43079639658824,55.43079639658824
2016-06-01,2016-6,1382,2.0,0.001447178002894356,1382,1.0,0.3950849832887505,0.3950849832887505,0.3950849832887505,28.176653016355452,28.176653016355452,28.176653016355452
2016-07-01,2016-7,1252,7.0,0.005591054313099041,1252,1.0,1.526378645501347,1.526378645501347,1.526378645501347,108.8582033866704,108.8582033866704,108.8582033866704
2016-08-01,2016-8,1313,3.0,0.002284843869002285,1313,1.0,0.6237708837453009,0.6237708837453009,0.6237708837453009,44.48606374935633,44.48606374935633,44.48606374935633
2016-09-01,2016-9,1249,4.0,0.0032025620496397116,1249,1.0,0.8743113641393967,0.8743113641393967,0.8743113641393967,62.35409842850798,62.35409842850798,62.35409842850798
2016-10-01,2016-10,1388,5.0,0.0036023054755043226,1388,1.0,0.9834428078261046,0.9834428078261046,0.9834428078261046,70.13712980656203,70.13712980656203,70.13712980656203
2016-11-01,2016-11,1432,3.0,0.002094972067039106,1432,1.0,0.5719351748307122,0.5719351748307122,0.5719351748307122,40.78924699923523,40.78924699923523,40.78924699923523
2016-12-01,2016-12,1314,7.0,0.00532724505327245,1314,1.0,1.4543577352874326,1.4543577352874326,1.4543577352874326,103.72181936081532,103.72181936081532,103.72181936081532
2017-01-01,2017-1,1384,9.0,0.006502890173410405,1384,1.0,1.7753132305438872,1.7753132305438872,1.7753132305438872,126.6117088935799,126.6117088935799,126.6117088935799
2017-02-01,2017-2,1287,3.0,0.002331002331002331,1287,1.0,0.6363723157401554,0.6363723157401554,0.6363723157401554,45.38477210792919,45.38477210792919,45.38477210792919
2017-03-01,2017-3,1372,11.0,0.008017492711370262,1372,1.0,2.188805362957575,2.188805362957575,2.188805362957575,156.1011221409022,156.1011221409022,156.1011221409022
2017-04-01,2017-4,1152,3.0,0.0026041666666666665,1152,1.0,0.7109471964909547,0.7109471964909547,0.7109471964909547,50.70330008932713,50.70330008932713,50.70330008932713
2017-05-01,2017-5,1243,6.0,0.004827031375703942,1243,1.0,1.3177975387893481,1.3177975387893481,1.3177975387893481,93.98262542703918,93.98262542703918,93.98262542703918
2017-06-01,2017-6,1182,5.0,0.004230118443316413,1182,1.0,1.1548380856705864,1.1548380856705864,1.1548380856705864,82.36069050042985,82.36069050042985,82.36069050042985
2017-07-01,2017-7,1309,8.0,0.006111535523300229,1309,1.0,1.6684719538733486,1.6684719538733486,1.6684719538733486,118.9920075434782,118.9920075434782,118.9920075434782
