date,ym,malaysia_malay_mail_body_count,malaysia_malay_mail_epu_count,malaysia_malay_mail_ratio,news_total,malaysia_malay_mail_weights,malaysia_malay_mail_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted,epu_inflation
2015-01-01,2015-1,1256,16,0.012738853503184714,1256,1.0,2.539380300457467,2.539380300457467,2.539380300457467,116.74342574994529,116.74342574994529,116.74342574994529
2015-02-01,2015-2,1106,7,0.006329113924050633,1106,1.0,1.2616541366196907,1.2616541366196907,1.2616541366196907,58.002271654244964,58.002271654244964,58.002271654244964
2015-03-01,2015-3,1490,10,0.006711409395973154,1490,1.0,1.3378614334624908,1.3378614334624908,1.3378614334624908,61.505764572957744,61.505764572957744,61.505764572957744
2015-04-01,2015-4,1462,19,0.012995896032831737,1462,1.0,2.590619506246451,2.590619506246451,2.590619506246451,119.09905574968768,119.09905574968768,119.09905574968768
2015-05-01,2015-5,1483,31,0.020903573836817263,1483,1.0,4.166946703414191,4.166946703414191,4.166946703414191,191.56785337996754,191.56785337996754,191.56785337996754
2015-06-01,2015-6,1486,11,0.007402422611036339,1486,1.0,1.4756089430989385,1.4756089430989385,1.4756089430989385,67.83845769520711,67.83845769520711,67.83845769520711
2015-07-01,2015-7,1422,27,0.0189873417721519,1422,1.0,3.7849624098590726,3.7849624098590726,3.7849624098590726,174.00681496273492,174.00681496273492,174.00681496273492
2015-08-01,2015-8,1383,22,0.015907447577729574,1383,1.0,3.1710121322415366,3.1710121322415366,3.1710121322415366,145.78155912520282,145.78155912520282,145.78155912520282
2015-09-01,2015-9,1287,24,0.018648018648018648,1287,1.0,3.71732127899135,3.71732127899135,3.71732127899135,170.897136062857,170.897136062857,170.897136062857
2015-10-01,2015-10,1425,28,0.019649122807017545,1425,1.0,3.916882737126675,3.916882737126675,3.916882737126675,180.07161389359982,180.07161389359982,180.07161389359982
2015-11-01,2015-11,1349,16,0.011860637509266123,1349,1.0,2.3643155354889385,2.3643155354889385,2.3643155354889385,108.69513917118701,108.69513917118701,108.69513917118701
2015-12-01,2015-12,1224,14,0.011437908496732025,1224,1.0,2.280048161930356,2.280048161930356,2.280048161930356,104.82109877384794,104.82109877384794,104.82109877384794
2016-01-01,2016-1,1246,19,0.015248796147672551,1246,1.0,3.039715664632674,3.039715664632674,3.039715664632674,139.7454410160862,139.7454410160862,139.7454410160862
2016-02-01,2016-2,1271,17,0.013375295043273014,1271,1.0,2.6662494185369705,2.6662494185369705,2.6662494185369705,122.57600445578441,122.57600445578441,122.57600445578441
2016-03-01,2016-3,1443,15,0.010395010395010396,1443,1.0,2.072155442680989,2.072155442680989,2.072155442680989,95.26360625125474,95.26360625125474,95.26360625125474
2016-04-01,2016-4,1381,10,0.00724112961622013,1381,1.0,1.44345657918835,1.44345657918835,1.44345657918835,66.36031079920858,66.36031079920858,66.36031079920858
2016-05-01,2016-5,1405,9,0.006405693950177936,1405,1.0,1.2769197026855519,1.2769197026855519,1.2769197026855519,58.70407849988352,58.70407849988352,58.70407849988352
2016-06-01,2016-6,1382,9,0.006512301013024602,1382,1.0,1.2981708988952245,1.2981708988952245,1.2981708988952245,59.68106388736349,59.68106388736349,59.68106388736349
2016-07-01,2016-7,1252,11,0.00878594249201278,1252,1.0,1.7514016688858007,1.7514016688858007,1.7514016688858007,80.51753045932728,80.51753045932728,80.51753045932728
