,date,ym,post_courier_news_count,post_courier_epu_count,post_courier_ratio,papua_new_guinea_abc_news_count,papua_new_guinea_abc_epu_count,papua_new_guinea_abc_ratio,png_business_news_count,png_business_epu_count,png_business_ratio,papua_new_guinea_rnz_news_count,papua_new_guinea_rnz_epu_count,papua_new_guinea_rnz_ratio,news_total,post_courier_weights,papua_new_guinea_abc_weights,png_business_weights,papua_new_guinea_rnz_weights,post_courier_z_score,papua_new_guinea_abc_z_score,png_business_z_score,papua_new_guinea_rnz_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted
0,2015-01-01,2015-1,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2015-02-01,2015-2,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,40.0,1.0,0.025,61.0,0.0,0.3442622950819672,0.0,0.6557377049180327,0.0,0.0,0.0,1.3455508441502375,0.3363877110375594,0.8823284223935983,174.531166618549,57.005794614635036
2,2015-03-01,2015-3,0.0,0.0,0.0,14.0,1.0,0.07142857142857142,0.0,0.0,0.0,81.0,0.0,0.0,95.0,0.0,0.14736842105263157,0.0,0.8526315789473684,0.0,0.8183175136701244,0.0,0.0,0.2045793784175311,0.12059415990928148,23.854427537597427,34.66895384640652
3,2015-04-01,2015-4,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,95.0,1.0,0.010526315789473684,111.0,0.0,0.14414414414414414,0.0,0.8558558558558559,0.0,0.0,0.0,0.5665477238527316,0.1416369309631829,0.4848831870811667,95.913523997581,24.00243983774107
4,2015-05-01,2015-5,0.0,0.0,0.0,21.0,1.0,0.047619047619047616,0.0,0.0,0.0,114.0,0.0,0.0,135.0,0.0,0.15555555555555556,0.0,0.8444444444444444,0.0,0.5455450091134163,0.0,0.0,0.13638625227835408,0.0848625569731981,16.786449007938934,23.112635897604346
5,2015-06-01,2015-6,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,116.0,1.0,0.008620689655172414,143.0,0.0,0.1888111888111888,0.0,0.8111888111888111,0.0,0.0,0.0,0.46398304970697846,0.11599576242674461,0.3763778585035629,74.4503577883321,19.6571705567707
6,2015-07-01,2015-7,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,163.0,0.0,0.17791411042944785,0.0,0.8220858895705522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2015-08-01,2015-8,0.0,0.0,0.0,26.0,1.0,0.038461538461538464,0.0,0.0,0.0,100.0,2.0,0.02,126.0,0.0,0.20634920634920634,0.0,0.7936507936507936,0.0,0.44063250736083626,0.0,1.07644067532019,0.37926829567025655,0.9452421644714344,186.97597574233916,64.27253391669615
8,2015-09-01,2015-9,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,117.0,0.0,0.0,148.0,0.0,0.20945945945945946,0.0,0.7905405405405406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2015-10-01,2015-10,0.0,0.0,0.0,26.0,1.0,0.038461538461538464,0.0,0.0,0.0,71.0,0.0,0.0,97.0,0.0,0.26804123711340205,0.0,0.7319587628865979,0.0,0.44063250736083626,0.0,0.0,0.11015812684020906,0.11810768238537879,23.36258367084285,18.667898224988125
10,2015-11-01,2015-11,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,86.0,0.0,0.23255813953488372,0.0,0.7674418604651163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2015-12-01,2015-12,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,90.0,0.0,0.13333333333333333,0.0,0.8666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2016-01-01,2016-1,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,88.0,0.0,0.18181818181818182,0.0,0.8181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2016-02-01,2016-2,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,80.0,1.0,0.0125,89.0,0.0,0.10112359550561797,0.0,0.898876404494382,0.0,0.0,0.0,0.6727754220751188,0.1681938555187797,0.6047419524270731,119.62248498574708,28.502897307317518
14,2016-03-01,2016-3,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,85.0,2.0,0.023529411764705882,110.0,0.0,0.22727272727272727,0.0,0.7727272727272727,0.0,0.0,0.0,1.2664007944943412,0.3166001986235853,0.9785824321092637,193.57093024966346,53.652512578480035
15,2016-04-01,2016-4,5.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,87.0,3.0,0.034482758620689655,135.0,0.037037037037037035,0.31851851851851853,0.0,0.6444444444444445,0.0,0.0,0.0,1.8559321988279138,0.46398304970697846,1.1960451948002113,236.58669252736647,78.6286822270828
16,2016-05-01,2016-5,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,128.0,1.0,0.0078125,156.0,0.0,0.1794871794871795,0.0,0.8205128205128205,0.0,0.0,0.0,0.42048463879694925,0.10512115969923731,0.34501303696159935,68.24616130597109,17.81431081707345
17,2016-06-01,2016-6,0.0,0.0,0.0,26.0,1.0,0.038461538461538464,0.0,0.0,0.0,96.0,3.0,0.03125,122.0,0.0,0.21311475409836064,0.0,0.7868852459016393,0.0,0.44063250736083626,0.0,1.681938555187797,0.5306427656371583,1.4173979220443462,280.37191891201826,89.92514149328193
18,2016-07-01,2016-7,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,106.0,2.0,0.018867924528301886,127.0,0.0,0.16535433070866143,0.0,0.8346456692913385,0.0,0.0,0.0,1.015510071056783,0.25387751776419576,0.8475910829292834,167.65986084616517,43.02324121859248
19,2016-08-01,2016-8,0.0,0.0,0.0,21.0,1.0,0.047619047619047616,0.0,0.0,0.0,99.0,1.0,0.010101010101010102,120.0,0.0,0.175,0.0,0.825,0.0,0.5455450091134163,0.0,0.5436569067273688,0.27230047896019627,0.543987324644927,107.60476483169373,46.14528018634578
20,2016-09-01,2016-9,0.0,0.0,0.0,21.0,1.0,0.047619047619047616,0.0,0.0,0.0,80.0,1.0,0.0125,101.0,0.0,0.2079207920792079,0.0,0.7920792079207921,0.0,0.5455450091134163,0.0,0.6727754220751188,0.30458010779713374,0.6463215738355568,127.84724534458658,51.61553320492186
21,2016-10-01,2016-10,0.0,0.0,0.0,17.0,1.0,0.058823529411764705,0.0,0.0,0.0,72.0,1.0,0.013888888888888888,89.0,0.0,0.19101123595505617,0.0,0.8089887640449438,0.0,0.6739085406695142,0.0,0.747528246750132,0.3553591968549116,0.7334660557010252,145.08507617756456,60.220789064648365
22,2016-11-01,2016-11,0.0,0.0,0.0,32.0,1.0,0.03125,0.0,0.0,0.0,75.0,2.0,0.02666666666666667,107.0,0.0,0.29906542056074764,0.0,0.7009345794392523,0.0,0.35801391223067947,0.0,1.4352542337602534,0.44831703649773325,1.1130889039570164,220.17731722929662,75.97384823008024
23,2016-12-01,2016-12,0.0,0.0,0.0,20.0,2.0,0.1,0.0,0.0,0.0,48.0,2.0,0.041666666666666664,68.0,0.0,0.29411764705882354,0.0,0.7058823529411765,0.0,1.1456445191381743,0.0,2.2425847402503956,0.8470573148471425,1.9199552634526835,379.78152293538955,143.54619307602752
