,inflation,date,economy,rate,economics,inflation_rate,unemployment,policy,price,government,money,demand,interest,cost,gross_domestic_product,interest_rate,country,monetary_policy,consumer_price_index,calculation,index,consumer,price_index,formula,food,food_prices,bride_price,market,bride,philippines,income,security,product,share_price,restaurant,goods,crop,purchasing_power,purchasing,purchasing_power_parity,household,exchange_rate,accounting,gold,gold_as_an_investment,share,trends
0,0,2015-01-01,0,37,20,0,0,27,45,20,39,0,40,39,0,0,37,100,0,0,32,0,0,9,23,0,0,40,0,73,25,72,45,24,47,24,0,0,0,0,0,48,38,72,0,35,1011
1,0,2015-02-01,20,38,58,0,0,40,42,28,43,45,34,40,0,0,39,0,0,0,19,0,0,17,38,0,0,51,0,61,36,67,39,0,86,39,0,0,0,0,0,33,43,60,0,32,1048
2,0,2015-03-01,38,53,34,0,57,37,41,27,58,41,39,53,0,0,41,0,69,65,25,51,0,34,54,0,0,64,43,66,53,63,56,0,41,42,0,0,84,0,0,55,61,71,0,37,1553
3,0,2015-04-01,39,47,53,0,0,77,43,37,41,33,44,56,0,0,40,0,0,56,26,0,0,31,51,0,0,63,0,62,28,61,40,20,49,41,22,0,0,0,0,42,48,62,0,36,1248
4,48,2015-05-01,34,53,43,0,0,89,46,48,48,32,47,62,0,0,53,0,0,42,30,0,0,28,63,0,0,62,70,64,52,61,45,0,57,0,24,100,0,0,0,38,46,55,0,41,1481
5,0,2015-06-01,0,48,31,0,0,57,42,35,58,30,36,51,0,0,45,0,0,60,37,0,0,24,57,0,0,56,0,76,40,68,50,35,57,34,0,0,0,0,0,37,40,72,0,43,1219
6,0,2015-07-01,15,39,18,0,58,20,43,30,54,0,17,30,0,0,46,0,0,27,25,0,0,13,32,0,0,40,0,57,34,60,36,0,33,33,0,0,0,0,0,37,29,69,0,36,931
7,0,2015-08-01,49,48,29,0,0,53,54,44,45,46,28,63,0,0,52,0,0,34,25,37,0,33,51,0,0,62,0,67,62,58,45,19,47,29,30,0,0,0,0,27,58,61,0,42,1298
8,32,2015-09-01,46,53,33,100,66,74,43,65,44,31,40,65,0,0,49,0,0,38,29,0,0,25,48,0,0,51,48,66,0,56,41,0,48,39,0,0,0,0,0,46,45,63,0,45,1429
9,0,2015-10-01,20,45,30,0,0,70,48,46,51,42,45,54,0,58,60,0,0,57,29,0,0,31,44,0,0,65,0,64,42,71,54,27,0,31,0,0,0,0,0,36,48,67,0,46,1281
10,0,2015-11-01,0,34,21,0,0,57,54,38,40,0,33,45,0,0,42,0,0,48,17,0,0,13,36,0,0,51,48,67,27,60,38,25,55,36,0,0,0,0,0,41,45,71,0,40,1082
11,0,2015-12-01,0,48,25,0,0,36,56,19,40,0,33,32,0,0,38,0,0,0,20,0,0,8,29,100,0,43,0,65,0,42,23,30,36,25,0,0,0,0,0,49,23,77,0,46,943
12,0,2016-01-01,0,31,20,0,0,29,48,19,44,38,37,43,0,0,37,0,0,33,25,43,0,9,21,0,0,28,0,66,0,62,21,25,36,0,0,0,0,0,0,34,25,73,0,38,885
13,0,2016-02-01,31,39,58,0,0,59,53,31,42,0,33,61,0,0,48,0,100,0,20,59,0,23,55,0,95,48,0,68,18,74,44,31,28,51,0,0,0,0,0,33,37,69,0,48,1356
14,0,2016-03-01,45,61,57,0,0,91,49,38,47,93,35,67,0,0,41,0,0,65,31,52,0,37,61,0,0,69,0,61,46,76,59,0,44,36,20,0,62,0,0,56,57,85,0,31,1572
15,22,2016-04-01,41,56,32,0,0,57,40,43,54,0,43,54,0,0,44,0,0,57,29,42,0,28,56,0,0,54,55,70,35,64,49,0,36,42,35,0,0,0,0,39,35,62,0,30,1304
16,22,2016-05-01,56,60,33,0,48,70,53,43,49,48,40,51,86,0,62,0,0,41,37,0,0,29,46,0,62,60,54,71,51,76,47,0,46,31,20,0,0,0,0,51,33,68,0,36,1580
17,24,2016-06-01,39,48,24,0,0,52,48,44,53,41,37,46,0,0,48,0,0,0,34,52,0,25,55,0,77,44,0,79,38,63,47,22,67,40,0,0,0,0,0,47,38,67,0,40,1339
18,0,2016-07-01,26,49,21,0,0,28,49,43,47,0,30,34,87,0,41,0,0,0,40,0,0,13,41,0,0,51,0,75,33,45,26,28,37,21,0,0,0,0,0,47,37,68,0,48,1065
19,0,2016-08-01,20,59,47,0,30,54,54,49,47,58,43,71,0,67,48,0,0,0,40,69,0,26,55,0,0,38,0,72,41,64,54,0,34,48,35,0,0,0,0,57,43,78,0,28,1429
20,0,2016-09-01,18,69,31,85,41,74,61,54,42,0,51,45,0,66,39,0,0,77,39,45,0,28,58,0,0,50,39,73,39,61,48,18,49,34,0,0,0,0,0,58,60,74,0,41,1567
21,0,2016-10-01,36,55,45,0,48,59,58,40,51,58,41,52,99,0,43,0,0,42,55,43,0,31,48,0,0,66,0,81,34,64,46,18,74,27,0,0,0,0,0,69,43,70,0,55,1551
22,0,2016-11-01,22,64,18,0,36,56,51,40,49,0,43,52,0,0,37,0,0,31,44,35,0,24,44,0,0,49,54,71,44,59,36,28,73,25,0,0,61,0,0,71,33,73,0,54,1377
23,0,2016-12-01,14,50,20,0,0,31,50,20,43,28,36,28,0,0,37,0,0,35,37,0,0,11,31,86,0,41,0,73,25,42,33,36,68,18,0,0,0,0,44,53,27,60,0,47,1124
24,0,2017-01-01,16,34,27,0,0,31,45,20,40,0,44,38,0,47,36,0,0,32,38,39,0,11,30,0,0,42,37,70,30,46,22,15,51,23,16,0,0,0,0,29,34,64,0,41,1048
25,0,2017-02-01,18,43,59,0,0,53,43,41,38,0,41,49,0,0,49,0,0,23,30,0,0,28,47,0,0,47,0,66,41,55,38,13,52,44,0,0,0,0,0,29,50,51,0,37,1085
26,29,2017-03-01,40,50,64,0,39,50,48,43,47,63,39,54,0,0,53,47,0,78,56,28,0,38,56,0,0,61,25,59,56,58,54,24,70,43,19,0,54,0,0,39,63,71,0,50,1668
27,40,2017-04-01,34,47,30,0,0,43,48,39,45,20,33,46,0,0,42,0,0,28,40,27,0,28,47,0,56,49,39,68,34,50,42,24,37,24,23,0,0,0,0,31,49,59,0,44,1266
28,42,2017-05-01,36,57,44,0,59,57,48,45,55,31,41,56,0,40,53,56,0,88,41,43,0,41,64,0,52,52,76,57,39,66,40,0,54,22,20,0,73,0,32,43,53,59,0,47,1782
29,26,2017-06-01,22,40,31,0,30,53,43,35,54,47,43,53,0,40,43,0,0,29,33,0,64,26,48,0,0,51,44,64,21,36,33,14,45,39,0,0,0,0,0,30,34,52,0,30,1253
30,0,2017-07-01,10,41,22,0,0,34,41,36,44,0,35,52,90,0,39,0,0,22,40,35,0,21,38,0,47,35,31,53,21,51,35,24,45,21,0,0,0,0,0,34,36,38,0,44,1115
31,29,2017-08-01,32,48,44,0,0,51,48,58,40,56,42,53,0,38,47,0,0,58,43,44,0,29,58,0,0,61,39,61,18,54,45,13,33,45,15,0,59,0,0,34,38,55,0,46,1434
32,24,2017-09-01,19,61,32,0,53,69,57,56,40,46,49,69,0,0,44,0,0,48,40,0,0,35,48,0,0,38,0,72,41,56,48,43,34,56,0,0,0,0,0,48,47,58,0,57,1388
33,27,2017-10-01,32,63,35,0,0,65,58,50,45,47,36,62,0,0,43,0,0,60,43,38,0,35,45,0,0,56,50,76,32,72,35,39,42,33,0,0,0,0,0,52,44,55,0,76,1446
34,0,2017-11-01,34,47,20,0,0,45,69,37,50,34,47,56,0,0,45,0,0,31,35,0,0,25,40,0,0,53,0,80,35,62,39,45,65,0,0,0,0,0,0,43,36,54,0,76,1203
