,date,lf,lf_ci_lower,lf_ci_upper,uni,uni_se,uni_ci_lower,uni_ci_upper
0,2021-01-01,-19.660780800261193,-97.43362919347976,58.112067592957374,26.757696440503945,2150.1583646269683,6.483658472225154,119.14677705617781
1,2021-02-01,-35.837449209312936,-148.73386139603832,77.05896297741243,30.59589803710793,2168.907952031863,6.969071446514449,143.46683300661485
2,2021-03-01,-28.14730805786134,-127.19978901665583,70.90517290093315,44.53758751284202,2174.5346721750198,9.667315096554685,210.26784681004207
3,2021-04-01,71.37556955323518,-47.81959027245186,190.57072937892224,35.95415387297102,2178.7332126279935,7.857143384375029,172.82783828375523
4,2021-05-01,34.52082012618249,-34.373917737715864,103.41555799008086,47.25552947170726,2182.6880465495474,9.994683142215559,227.63361717126617
5,2021-06-01,41.01457999770699,-26.269826892359593,108.29898688777357,105.98374991706619,2186.573346006595,21.496063252275043,484.4542447071332
6,2021-07-01,107.84540151308764,29.56749365765279,186.12330936852248,81.58423404085696,2190.4174195096352,16.452853879948762,387.11421656976523
7,2021-08-01,71.21839819096645,18.010803287679735,124.42599309425319,33.19081194147559,2194.2254600384726,7.02543740899286,166.92843222689243
8,2021-09-01,86.70733993342287,34.394803611554856,139.01987625529088,39.308782798991004,2197.999125215574,8.101285248371822,198.94624280011303
9,2021-10-01,74.24712421029815,0.650977047447952,147.84327137314838,33.86478833032841,2201.7407487658797,7.015286208160272,173.90803741982845
10,2021-11-01,63.64642698089648,-10.750088008769053,138.04294197056203,20.86610565409785,2205.4600011392963,4.583213830242432,108.58910350841467
11,2021-12-01,83.93936314855995,-5.857246554363358,173.73597285148327,45.36368276704399,2209.19538248494,8.963552591492707,235.60817804301314
12,2022-01-01,-12.482109678604896,-47.82885596179125,22.864636604581463,18.523874987656466,2220.3913634882947,4.018764393529424,100.50231037203771
13,2022-02-01,-13.71055175465613,-55.03555592755306,27.6144524182408,12.932794830675059,2225.4870837593376,3.020819377793025,70.38116335529138
14,2022-03-01,-16.217176335309997,-107.9188691816781,75.48451651105812,18.992332819137964,2229.7951459638075,4.011891465089006,105.97425441483765
15,2022-04-01,52.21132713520986,-29.680931442038695,134.10358571245843,19.891350448467332,2233.9469825960277,4.123023117019599,112.43041815914374
16,2022-05-01,41.50052611894452,-23.570193645041098,106.57124588293014,39.05909505031898,2238.0400744577555,7.245107067575589,221.4727274391146
17,2022-06-01,60.078928017632855,-60.63507871776318,180.7929347530289,180.9693774878985,2242.09070723769,31.333554656342343,862.9617105734837
18,2022-07-01,130.05489335483728,-22.975590394799653,283.0853771044742,240.03921085214324,2246.1021612108248,41.473272604869614,1073.6768115730406
19,2022-08-01,190.33732646998143,-57.499500041726954,438.1741529816899,167.47960465050977,2250.0756438563385,28.2740897462742,827.4447513639943
20,2022-09-01,178.31793347712997,-43.72961661925092,400.3654835735108,253.1785400967496,2254.0122936977245,42.83048558291565,1132.659190220198
21,2022-10-01,104.05511499803963,-99.67546254660783,307.7856925426871,310.11893515616015,2257.9149437042975,52.51593385889007,1307.6759725756503
