date,ym,american_samoa_rnz_body_count,american_samoa_rnz_epu_count,american_samoa_rnz_ratio,american_samoa_abc_au_body_count,american_samoa_abc_au_epu_count,american_samoa_abc_au_ratio,news_total,american_samoa_rnz_weights,american_samoa_abc_au_weights,american_samoa_rnz_z_score,american_samoa_abc_au_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted
2015-02-01,2015-2,20,0.0,0.0,0.0,0.0,0.0,20.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
2015-03-01,2015-3,34,0.0,0.0,1.0,0.0,0.0,35.0,0.9714285714285714,0.02857142857142857,0.0,,0.0,0.0,0.0,0.0
2015-04-01,2015-4,21,0.0,0.0,0.0,0.0,0.0,21.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
2015-05-01,2015-5,32,0.0,0.0,0.0,0.0,0.0,32.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
2015-06-01,2015-6,39,0.0,0.0,1.0,0.0,0.0,40.0,0.975,0.025,0.0,,0.0,0.0,0.0,0.0
2015-07-01,2015-7,33,0.0,0.0,0.0,0.0,0.0,33.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
2015-08-01,2015-8,44,0.0,0.0,0.0,0.0,0.0,44.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
2015-09-01,2015-9,40,0.0,0.0,1.0,0.0,0.0,41.0,0.975609756097561,0.024390243902439025,0.0,,0.0,0.0,0.0,0.0
2015-10-01,2015-10,22,1.0,0.045454545454545456,0.0,0.0,0.0,22.0,1.0,0.0,3.259281156412177,,3.259281156412177,3.259281156412177,964.0469097249717,959.2710387926224
2015-11-01,2015-11,39,0.0,0.0,0.0,0.0,0.0,39.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
2015-12-01,2015-12,33,2.0,0.06060606060606061,0.0,0.0,0.0,33.0,1.0,0.0,4.345708208549569,,4.345708208549569,4.345708208549569,1285.3958796332954,1279.0280517234964
2016-01-01,2016-1,36,0.0,0.0,0.0,0.0,0.0,36.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
2016-02-01,2016-2,30,0.0,0.0,0.0,0.0,0.0,30.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
2016-03-01,2016-3,34,0.0,0.0,0.0,0.0,0.0,34.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
2016-04-01,2016-4,27,0.0,0.0,1.0,0.0,0.0,28.0,0.9642857142857143,0.03571428571428571,0.0,,0.0,0.0,0.0,0.0
2016-05-01,2016-5,18,0.0,0.0,0.0,0.0,0.0,18.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
2016-06-01,2016-6,30,0.0,0.0,0.0,0.0,0.0,30.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
2016-07-01,2016-7,26,0.0,0.0,1.0,0.0,0.0,27.0,0.9629629629629629,0.037037037037037035,0.0,,0.0,0.0,0.0,0.0
2016-08-01,2016-8,26,0.0,0.0,0.0,0.0,0.0,26.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
