,Year,Month,Holidays,relatives,sports,Visitors,Conferences,Over
0,2013.0,,89253,7755,3409,110109,9079,613
1,2014.0,,86239,7672,5868,108808,8007,1022
2,2015.0,,63625,8495,8809,89952,8687,336
3,2016.0,,71088,8300,6657,95117,8521,551
4,2017.0,,83407,8937,7530,109108,8337,897
5,2013.0,Dec,8389,824,230,9853,392,18
6,2014.0,Dec,8066,1110,748,10315,388,3
7,2015.0,Dec,7140,981,459,9148,551,17
8,2016.0,Dec,7666,984,413,9749,629,57
9,2017.0,Jan,7203,746,475,8957,462,71
10,,Feb,3712,528,691,5610,591,88
11,,Mar,4489,585,401,6356,822,59
12,,Apr,6976,769,479,8935,619,92
13,,May,5154,739,421,7179,787,78
14,,Jun,7328,784,527,9500,781,80
15,,Jul,9514,821,786,12055,832,102
16,,Aug,6828,561,342,8301,529,41
17,,Sep,8640,727,719,10877,657,134
18,,Oct,8125,769,682,10611,975,60
19,,Nov,5736,792,953,8444,908,55
20,,Dec,9702,1116,1054,12283,374,37
