,Year,Month,Holidays,relatives,Conferences Stop Over,sports,Visitors,Année,Mois,Conferences,Over
0,2013,,89253,7755,9079 613,3409,110109,2013,,9079,613
1,2014,,86239,7672,8007 1022,5868,108808,2014,,8007,1022
2,2015,,63625,8495,8687 336,8809,89952,2015,,8687,336
3,2016,,71088,8300,8521 551,6657,95117,2016,,8521,551
4,2017,,83465,8940,8338 897,7530,109170,2017,,8338,897
5,2018,,91726,8616,7552 645,7095,115634,2018,,7552,645
6,2013,Dec,8389,824,392 18,230,9853,2013,Dec,392,18
7,2014,Dec,8066,1110,388 3,748,10315,2014,Dec,388,3
8,2015,Dec,7140,981,551 17,459,9148,2015,Dec,551,17
9,2016,Dec,7666,984,629 57,413,9749,2016,Dec,629,57
10,2017,Dec,9702,1116,374 37,1054,12283,2017,Dec,374,37
11,2018,Jan,8106,873,465 81,605,10130,2018,Jan,465,81
12,,Feb,4571,446,494 47,708,6266,,Fév,494,47
13,,Mar,5630,600,561 18,307,7116,,Mar,561,18
14,,Apr,7182,741,726 27,517,9193,,Avr,726,27
15,,May,6642,680,739 58,734,8853,,Mai,739,58
16,,Jun,8621,688,558 61,645,10573,,Juin,558,61
17,,Jul,10736,820,714 117,797,13184,,Juil,714,117
18,,Aug,7212,687,711 20,342,8972,,Aoû,711,20
19,,Sep,9209,739,752 54,672,11426,,Sep,752,54
20,,Oct,8147,691,740 65,766,10409,,Oct,740,65
21,,Nov,6862,694,675 42,771,9044,,Nov,675,42
22,,Dec,8808,957,417 55,231,10468,,Dec,417,55
