,Year,Month,Holidays,relatives,sports,Visitors,Conferences,Over
0,2009.0,,84957,5499,289.0,100675,9420,510
1,2010.0,,80681,6079,113.0,97180,9615,692
2,2011.0,,75821,7320,96.0,93960,9933,790
3,2012.0,,88085,7910,270.0,108161,11294,602
4,2013.0,,89253,7755,3409.0,110109,9079,613
5,2009.0,Dec,7773,558,,8693,332,30
6,2010.0,Dec,7682,1077,4.0,9633,812,58
7,2011.0,Dec,7417,1006,11.0,8990,533,23
8,2012.0,Jan,7280,986,9.0,8755,457,23
9,,Feb,3390,387,60.0,4700,833,30
10,,Mar,4991,455,9.0,6343,846,42
11,,Apr,6596,546,15.0,7860,674,29
12,,May,5928,513,15.0,7474,984,34
13,,Jun,7946,601,4.0,9976,1254,171
14,,Jul,9877,863,6.0,11770,992,32
15,,Aug,8776,638,7.0,10405,929,55
16,,Sep,10089,640,45.0,12182,1350,58
17,,Oct,8071,586,30.0,9922,1192,43
18,,Nov,6152,491,22.0,7704,980,59
19,,Dec,8989,1204,48.0,11070,803,26
20,2013.0,Jan,6315,596,,7612,638,63
21,,Feb,3431,437,191.0,4931,856,16
22,,Mar,5557,594,124.0,6977,645,57
23,,Apr,6874,558,265.0,8662,937,28
24,,May,6029,565,243.0,7670,800,33
25,,June,9152,723,494.0,11206,775,62
26,,July,9819,853,512.0,11855,582,89
27,,Aug,8678,767,292.0,10797,1001,59
28,,Sep,9814,567,298.0,11596,847,70
29,,Oct,8806,705,385.0,10827,849,82
30,,Nov,6389,566,375.0,8123,757,36
31,,Dec,8389,824,230.0,9853,392,18
