,Year,Month,Holidays,relatives,sports,Visitors,Conferences,Over
0,2010.0,,80681,6079,113.0,97180,9615,692
1,2011.0,,75821,7320,96.0,93960,9933,790
2,2012.0,,88085,7910,270.0,108161,11294,602
3,2013.0,,89253,7755,3409.0,110109,9079,613
4,2014.0,,86129,7644,5861.0,108656,8000,1022
5,2010.0,Dec,7682,1077,4.0,9633,812,58
6,2011.0,Dec,7417,1006,11.0,8990,533,23
7,2012.0,Dec,8989,1204,48.0,11070,803,26
8,2013.0,Jan,6315,596,,7612,638,63
9,,Feb,3431,437,191.0,4931,856,16
10,,Mar,5557,594,124.0,6977,645,57
11,,Apr,6874,558,265.0,8662,937,28
12,,May,6029,565,243.0,7670,800,33
13,,June,9152,723,494.0,11206,775,62
14,,July,9819,853,512.0,11855,582,89
15,,Aug,8678,767,292.0,10797,1001,59
16,,Sep,9814,567,298.0,11596,847,70
17,,Oct,8806,705,385.0,10827,849,82
18,,Nov,6389,566,375.0,8123,757,36
19,,Dec,8389,824,230.0,9853,392,18
20,2014.0,Jan,7317,544,188.0,8447,335,63
21,,Feb,3773,407,320.0,5009,462,47
22,,Mar,4906,406,401.0,6376,628,35
23,,Apr*,5593,406,154.0,6804,640,11
24,,May,6213,534,267.0,7812,776,22
25,,June,8865,744,376.0,10917,880,52
26,,July,9423,830,494.0,11446,578,121
27,,Aug,9321,743,705.0,11865,882,214
28,,Sep,8904,699,731.0,11288,807,147
29,,Oct,8042,685,810.0,10533,851,145
30,,Nov,5816,564,674.0,7996,780,162
31,,Dec,7956,1082,741.0,10163,381,3
