,Year,Month,Holidays,relatives,sports,Visitors,Conference,Stopover
0,2012,,88085,7910,270,108161,11294,602
1,2013,,89253,7755,3409,110109,9079,613
2,2014,,86239,7672,5868,108808,8007,1022
3,2015,,63625,8495,8809,89952,8687,336
4,2012,Jun,5928,513,15,7474,984,34
5,2013,Jun,6029,565,243,7670,800,33
6,2014,Jun,6213,534,267,7812,776,22
7,2015,Jan,6846,524,766,8524,377,11
8,,Feb,3702,461,649,5389,556,21
9,,Mar,1899,689,1259,4837,988,2
10,,Apr,2281,670,905,4578,709,13
11,,May,3618,607,607,5787,936,19
12,,Jun,5643,851,992,8289,761,42
13,,Jul,7771,873,711,10031,629,47
14,,Aug,6154,796,574,8390,831,35
15,,Sep,6956,712,608,9171,836,59
16,,Oct,6468,694,637,8533,704,30
17,,Nov,5147,637,642,7275,809,40
18,,Dec,7140,981,459,9148,551,17
19,2016,Jan,6918,613,565,8479,363,20
20,,Feb,3249,323,299,4274,373,30
21,,Mar,2989,396,353,4155,410,7
22,,Apr,4470,476,479,6083,605,53
23,,May,3820,605,362,5742,908,47
24,,Jun,6905,782,582,9158,826,63
