,Year,Month,Holidays,relatives,sports,Visitors,Conferences,Over
0,2014.0,,86239,7672,5868,108808,8007,1022
1,2015.0,,63625,8495,8809,89952,8687,336
2,2016.0,,71088,8300,6657,95117,8521,551
3,2017.0,,83465,8940,7530,109170,8338,897
4,2018.0,,91726,8616,7095,115634,7552,645
5,2014.0,Dec,8066,1110,748,10315,388,3
6,2015.0,Dec,7140,981,459,9148,551,17
7,2016.0,Dec,7666,984,413,9749,629,57
8,2017.0,Dec,9702,1116,1054,12283,374,37
9,2018.0,Dec,8808,957,231,10468,417,55
10,2019.0,Jan[p],7816,717,573,9548,426,16
11,,Feb[p],4368,425,495,5835,539,8
12,,Mar[p],5299,610,387,7026,726,4
13,,Apr[p],7651,739,596,9445,455,4
14,,May[p],6142,710,638,8359,865,4
15,,Jun[p],8388,828,707,10607,680,4
16,,Jul[p],10192,846,702,12612,852,20
17,,Aug[p],9477,979,799,12275,1004,16
18,,Sep[p],9756,744,659,11700,536,5
19,,Oct[p],8761,667,693,10880,677,82
20,,Nov[p],7588,467,763,9860,832,210
21,,Dec[p],10411,1032,420,12481,467,151
