,Year,Month,Holidays,relatives,sports,Visitors,Conferences,Over
0,2012.0,,88085,7910,270,108161,11294,602
1,2013.0,,89253,7755,3409,110109,9079,613
2,2014.0,,86239,7672,5868,108808,8007,1022
3,2015.0,,63625,8495,8809,89952,8687,336
4,2016.0,,71088,8300,6657,95117,8521,551
5,2012.0,Dec,8989,1204,48,11070,803,26
6,2013.0,Dec,8389,824,230,9853,392,18
7,2014.0,Dec,8066,1110,748,10315,388,3
8,2015.0,Jan,6846,524,766,8524,377,11
9,,Feb,3702,461,649,5389,556,21
10,,Mar,1899,689,1259,4837,988,2
11,,Apr,2281,670,905,4578,709,13
12,,May,3618,607,607,5787,936,19
13,,Jun,5643,851,992,8289,761,42
14,,Jul,7771,873,711,10031,629,47
15,,Aug,6154,796,574,8390,831,35
16,,Sep,6956,712,608,9171,836,59
17,,Oct,6468,694,637,8533,704,30
18,,Nov,5147,637,642,7275,809,40
19,,Dec,7140,981,459,9148,551,17
20,2016.0,Jan,6918,613,565,8479,363,20
21,,Feb,3249,323,299,4274,373,30
22,,Mar,2989,396,353,4155,410,7
23,,Apr,4470,476,479,6083,605,53
24,,May,3820,605,362,5742,908,47
25,,Jun,6905,782,582,9158,826,63
26,,Jul,8347,969,632,10864,842,74
27,,Aug,6992,900,855,9819,1010,62
28,,Sep,7360,787,688,9672,797,40
29,,Oct,6956,817,828,9611,951,59
30,,Nov,5416,648,601,7511,807,39
31,,Dec,7666,984,413,9749,629,57
