,Year,Month,Holidays,relatives,sports,Visitors,Conference,Stopover
0,2011,,75821,7320,96,93960,9933,790
1,2012,,88085,7910,270,108161,11294,602
2,2013,,89253,7755,3409,110109,9079,613
3,2014,,86239,7672,5868,108808,8007,1022
4,2011,Aug,7749,628,26,9622,1153,66
5,2012,Aug,8776,638,7,10405,929,55
6,2013,Aug,8678,767,292,10797,1001,59
7,,Sep,9814,567,298,11596,847,70
8,,Oct,8806,705,385,10827,849,82
9,,Nov,6389,566,375,8123,757,36
10,,Dec,8389,824,230,9853,392,18
11,2014,Jan,7317,544,188,8447,335,63
12,,Feb,3773,407,320,5009,462,47
13,,Mar,4906,406,401,6376,628,35
14,,Apr*,5593,406,154,6804,640,11
15,,May,6213,534,267,7812,776,22
16,,Jun,8865,744,376,10917,880,52
17,,Jul,9423,830,494,11446,578,121
18,,Aug,9321,743,705,11865,882,214
19,,Sep,8904,699,731,11288,807,147
20,,Oct,8042,685,810,10533,851,145
21,,Nov,5816,564,674,7996,780,162
22,,Dec,8066,1110,748,10315,388,3
23,2015,Jan,6846,524,766,8524,377,11
24,,Feb,3702,461,649,5389,556,21
25,,Mar,1899,689,1259,4837,988,2
26,,Apr,2281,670,905,4578,709,13
27,,May,3618,607,607,5787,936,19
28,,Jun,5643,851,992,8289,761,42
29,,Jul,7771,873,711,10031,629,47
30,,Aug,6154,796,574,8390,831,35
