date,ym,thailand_nation_body_count,thailand_nation_epu_count,thailand_nation_ratio,news_total,thailand_nation_weights,thailand_nation_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted
2024-04-01,2024-4,164,5,0.03048780487804878,164,1.0,,,0,,
2024-05-01,2024-5,572,12,0.02097902097902098,572,1.0,,,0,,
2024-06-01,2024-6,544,14,0.025735294117647058,544,1.0,,,0,,
2024-07-01,2024-7,672,26,0.03869047619047619,672,1.0,,,0,,
2024-08-01,2024-8,660,17,0.025757575757575757,660,1.0,,,0,,
2024-09-01,2024-9,575,19,0.03304347826086956,575,1.0,,,0,,
2024-10-01,2024-10,510,11,0.021568627450980392,510,1.0,,,0,,
2024-11-01,2024-11,502,15,0.029880478087649404,502,1.0,,,0,,
2024-12-01,2024-12,569,22,0.03866432337434095,569,1.0,,,0,,
2025-01-01,2025-1,703,25,0.03556187766714083,703,1.0,,,0,,
2025-02-01,2025-2,652,18,0.027607361963190184,652,1.0,,,0,,
2025-03-01,2025-3,798,33,0.041353383458646614,798,1.0,,,0,,
2025-04-01,2025-4,801,51,0.06367041198501873,801,1.0,,,0,,
2025-05-01,2025-5,808,52,0.06435643564356436,808,1.0,,,0,,
2025-06-01,2025-6,923,47,0.050920910075839654,923,1.0,,,0,,
2025-07-01,2025-7,1086,44,0.040515653775322284,1086,1.0,,,0,,
2025-08-01,2025-8,987,44,0.044579533941236066,987,1.0,,,0,,
2025-09-01,2025-9,964,41,0.04253112033195021,964,1.0,,,0,,
