,date,total,train_pred,mean_se,mean_ci_lower,mean_ci_upper
0,2003-12-01,4734.0,6592.0,,-1.0,
1,2004-01-01,4492.0,6591.999790489852,,-1.0,
2,2004-02-01,3488.0,6591.999567608416,,-1.0,
3,2004-03-01,4014.0,6591.999231686345,,-1.0,
4,2004-04-01,3955.0,6591.998994494174,,-1.0,
5,2004-05-01,3792.0,6591.998771950824,,-1.0,
6,2004-06-01,4373.0,6591.998550692029,,-1.0,
7,2004-07-01,6116.0,6591.998428464831,,-1.0,
8,2004-08-01,5741.0,6591.998525943812,,-1.0,
9,2004-09-01,7146.0,6591.998585345315,,-1.0,
10,2004-10-01,6915.0,6591.998806222988,,-1.0,
11,2004-11-01,5244.0,6591.99899664559,,-1.0,
12,2004-12-01,6178.0,4733.99945962258,9711.213985326494,915.4067872888231,10650.72155735598
13,2005-01-01,4994.0,4632.458190781213,9696.988768208774,896.2053841151585,10558.362214604034
14,2005-02-01,3440.0,3630.2582888951924,9687.23630647137,646.003402122668,9714.26148847268
15,2005-03-01,4214.0,4137.464804727216,9680.54884743608,773.7200303702198,10155.052090335736
16,2005-04-01,4186.0,4072.907246852152,9676.008318712193,759.7117824970738,10093.264450518476
17,2005-05-01,4008.0,3904.969622051865,9672.988188014922,719.1453871197725,9942.508489701864
18,2005-06-01,5115.0,4491.192027358659,9671.045630684259,873.4242594762161,10414.328738699114
19,2005-07-01,6428.0,6286.161977066245,9669.859232654258,1468.0762783532027,11455.483618192824
20,2005-08-01,5394.0,5902.400783018847,9669.19108810493,1322.611775433843,11270.94040339792
21,2005-09-01,6685.0,7249.5680400615065,9668.8626291045,1897.4548143312609,11849.350362309373
22,2005-10-01,5897.0,6959.219487870111,9668.738530770224,1758.0615812925914,11739.021635067362
23,2005-11-01,5544.0,5194.752712933004,9668.71555792454,1082.6466484502366,10880.703999464218
24,2005-12-01,6176.0,5850.478201951244,9608.566615477668,1358.6378468221048,11167.634561427789
25,2006-01-01,5662.0,4909.488746130521,9607.186592724358,1038.688454293264,10606.28536671988
26,2006-02-01,7885.0,3523.5166965813514,9606.35824616422,658.6010809842184,9446.727538151732
27,2006-03-01,4179.0,4583.5619571493935,9605.903642596873,941.2960252751813,10374.263609341706
28,2006-04-01,4742.0,4481.714405005807,9605.689479289049,911.9128481120831,10297.43867295481
29,2006-05-01,4653.0,4292.762573900109,9605.615342960153,858.6160802066687,10149.112122482533
30,2006-06-01,5749.0,5310.596231935714,9605.605367614702,1169.5563023125312,10859.626915096396
31,2006-07-01,6712.0,6749.900137661986,9605.602132663473,1733.987874637233,11589.354205372796
32,2006-08-01,5817.0,5821.1652941661205,9605.562091351832,1350.4262950455425,11148.302836160234
33,2006-09-01,7231.0,7109.385694656015,9605.452078358352,1905.6921129465898,11736.35363254852
34,2006-10-01,6239.0,6423.394808110401,9605.246599725608,1590.4678374313555,11444.706790491791
35,2006-11-01,6036.0,5710.059644632074,9604.925701765642,1310.0186199700786,11087.78905301593
