,date,total,pred_total
0,2019-01-01,1750,2312.6080564714957
1,2019-02-01,1891,2642.43984612617
2,2019-03-01,2378,2727.277830559172
3,2019-04-01,2106,2315.6807254266046
4,2019-05-01,2434,2478.4880917095593
5,2019-06-01,2523,2557.3515745741515
6,2019-07-01,2537,2320.81376698102
7,2019-08-01,2484,2409.325789473624
8,2019-09-01,2695,2310.0806132430343
9,2019-10-01,2761,2311.8200535044502
10,2019-11-01,2295,2583.782857909241
11,2019-12-01,3053,3052.4347884921913
12,2020-01-01,1857,1950.8336913852945
13,2020-02-01,1471,1570.0586975722601
14,2020-03-01,752,751.3766500803961
15,2020-04-01,2,2.0306743855983953
16,2020-05-01,23,15.44060196021942
17,2020-06-01,24,26.70025168079941
18,2020-07-01,52,52.03381656652207
19,2020-08-01,39,19.87697483904517
20,2020-09-01,103,75.1367380640802
21,2020-10-01,60,126.3601221380154
22,2020-11-01,16,18.257120351970975
23,2020-12-01,41,59.520547509820965
