,date,lf,lf_ci_lower,lf_ci_upper,uni,uni_se,uni_ci_lower,uni_ci_upper
0,2021-01-01,-19.104827139934493,-60.4009311908092,22.19127691094022,23.41015093363342,2143.587184225618,5.85917664152701,102.29390433348145
1,2021-02-01,3.2949524295801043,-85.68848484976182,92.27838970892202,31.755264134581456,2159.3856126093,7.381172890441049,144.92985052655635
2,2021-03-01,-1.409979973055334,-80.52555385334527,77.7055939072346,39.86055685663803,2159.4419287123733,9.078332032477949,181.15154287961116
3,2021-04-01,43.533983416128024,-13.910733357938264,100.97870019019432,34.958275672833715,2170.356225641851,7.827359908289834,164.25332843529824
4,2021-05-01,42.48841283040098,7.630530661938534,77.34629499886343,42.84519326934897,2170.8497064753474,9.417960825592072,200.50477321607113
5,2021-06-01,25.001273815773697,-6.296646870160883,56.29919450170828,97.9152016194676,2178.8679971114457,20.316444601438267,442.8528240378699
6,2021-07-01,91.55781896185664,62.86438953849769,120.2512483852156,72.05138125920412,2179.8822735601157,15.022954669519642,336.0039229319856
7,2021-08-01,74.08891405045262,56.92716821817127,91.25065988273397,30.39316580744978,2186.0950015815074,6.6330673231228765,149.5939648335871
8,2021-09-01,97.3057798664471,67.04817671651018,127.56338301638401,34.74013339241551,2187.554118804232,7.44537430238644,171.30397053243473
9,2021-10-01,77.52404846174906,34.178328117874244,120.86976880562389,30.308354519863908,2192.588676740127,6.5087032167572065,151.95099779025404
10,2021-11-01,28.25151978645148,-27.103915387308206,83.60695496021117,18.13986544420736,2194.3759764240967,4.194123806583148,91.21237329359441
11,2021-12-01,32.17488377657353,-55.301698393642916,119.65146594678998,37.566629993777845,2198.6050937342543,7.762898701232907,190.71510783798487
12,2022-01-01,-10.168424654042756,-29.99509131367625,9.658242005590742,14.58865829894401,2207.1401613203716,3.4345009306342376,75.62531969755594
13,2022-02-01,-8.725147472293573,-39.96932214626884,22.51902720168169,11.287888658654486,2212.405579626396,2.8123761470467397,58.66630429484049
14,2022-03-01,-29.986261542082413,-77.90421303668612,17.93168995252128,15.744757782547238,2214.6011634570445,3.5833029466301554,83.64209605318031
15,2022-04-01,8.274519784707085,-57.93692671241489,74.48596628182906,15.967023832410364,2219.112794509336,3.5866195711878577,85.98960770198819
16,2022-05-01,22.385081726074173,-21.839834360183783,66.60999781233214,30.166049068586577,2221.5065702042393,6.022839538556114,164.27899790729816
17,2022-06-01,36.86224431678668,-29.83219459717312,103.55668323074649,138.27723605701837,2225.4795915073782,25.053694414418032,669.4586357916247
18,2022-07-01,100.15342573721907,11.75667850003181,188.55017297440634,177.87864898265684,2227.9817197885077,32.09836505039961,824.8811247143246
19,2022-08-01,165.95705050200195,51.33758849004392,280.57651251396,130.074791364228,2231.554380266872,23.15119815197419,645.7652085835452
20,2022-09-01,144.05971064338,38.26273617084893,249.85668511591103,189.49120640383862,2234.0984247489573,33.63481422223118,878.3082495738864
21,2022-10-01,93.71716618605244,-3.9621933045724886,191.39652567667733,240.8649291889783,2237.3604014861967,42.72328565555047,1057.2936421590598
22,2022-11-01,,,,171.6289213308343,2239.898474847304,29.8771262166106,824.055811510167
23,2022-12-01,,,,258.1588112783506,2242.906839466234,45.19993315377506,1123.0954075820102
