,date,total,train_pred,mean_se,mean_ci_lower,mean_ci_upper
0,2009-01-01,1602,1562.0,,1.0,
1,2009-02-01,1422,1540.7060378668148,,1.0,
2,2009-03-01,1249,1482.9944852106478,,1.0,
3,2009-04-01,1499,1249.0001801169196,,1.0,
4,2009-05-01,1393,1356.2880695127212,,1.0,
5,2009-06-01,1724,1462.8369171260906,,1.0,
6,2009-07-01,1603,1738.277324215679,,1.0,
7,2009-08-01,1520,1661.938087132716,,1.0,
8,2009-09-01,1659,1405.8487083072412,,1.0,
9,2009-10-01,1709,1772.5001911326137,,1.0,
10,2009-11-01,1475,1709.0000193254095,,1.0,
11,2009-12-01,1405,1475.0001721658143,,1.0,
12,2010-01-01,1235,1271.2053251175812,inf,1.0,
13,2010-02-01,1209,1179.1307392048584,2468.7846814191,135.21081227357996,2782.816558354281
14,2010-03-01,1766,1065.8171475304,2405.0398613892044,145.28309173432254,2644.849624130581
15,2010-04-01,1820,1535.5685988345228,2376.2364091040354,285.0339004801857,2820.985892777674
16,2010-05-01,1137,1617.8885083533974,2360.118405067897,329.34359752797917,2834.433579132713
17,2010-06-01,1797,1768.4886598907005,2350.0203225847076,402.84323481428635,2873.761928165445
18,2010-07-01,2264,1688.0666106889348,2343.242440773871,375.170739133408,2843.032194416395
19,2010-08-01,1845,1752.3181241055001,2338.483128082685,409.0560137013468,2859.7111683408248
20,2010-09-01,2153,1901.660690350972,2335.0469707553475,488.93083382342115,2901.1710672442314
21,2010-10-01,1813,1880.7519560894782,2332.58114150276,480.81854769655075,2893.587807310799
22,2010-11-01,1624,1678.5331243251649,2331.141132469181,384.50640581973715,2829.3273319448344
23,2010-12-01,1858,1619.520354722602,2331.1394128533693,359.71251964069245,2808.514095292637
24,2011-01-01,1600,1755.4043613730523,2291.836684276347,467.93807633861235,2821.575604741714
25,2011-02-01,1658,1646.1385882388681,2264.4180437814803,446.914135417478,2753.3960309553318
26,2011-03-01,1861,1776.7694048641322,2256.9235268530874,525.6875356344639,2798.2336220818715
27,2011-04-01,1736,1999.9543703244872,2251.7609233493517,678.2614847309886,2871.9614766312197
28,2011-05-01,1760,1511.063858251099,2248.068111321905,402.2802140178707,2673.803820398484
29,2011-06-01,2009,2018.3343322626183,2245.3550023186253,702.7563652683858,2873.2764684016593
30,2011-07-01,2185,2157.2436463715244,2243.3224441590432,821.8944389988548,2914.5003506417993
31,2011-08-01,1900,1911.2124710040282,2241.778271814624,631.5356478920833,2834.426453634409
