,date,total,pred_total
0,2019-01-01,4688,9049.227771153011
1,2019-02-01,6157,8791.554900578989
2,2019-03-01,8686,8647.26408595488
3,2019-04-01,7704,9183.23528103179
4,2019-05-01,6800,9369.020070069717
5,2019-06-01,8934,9429.01948537771
6,2019-07-01,8315,9618.748953845023
7,2019-08-01,8178,9746.8815345202
8,2019-09-01,7829,8521.982006729655
9,2019-10-01,8255,8242.354480517091
10,2019-11-01,7722,8740.549447440297
11,2019-12-01,10704,8938.492067711932
12,2020-01-01,5517,9461.60993632404
13,2020-02-01,4692,6099.812120177917
14,2020-03-01,1259,1169.5814455587704
15,2020-04-01,0,-0.4289553195506096
16,2020-05-01,0,-0.34947591635813446
17,2020-06-01,0,0.26378870505396823
18,2020-07-01,1,3.5469490313628897
19,2020-08-01,5,6.467683702214679
20,2020-09-01,16,10.658843660355343
21,2020-09-01,16,9.171290129848908
22,2020-10-01,13,13.187284677641399
23,2020-11-01,20,14.635733667554929
24,2020-11-01,20,13.820885250516307
25,2020-12-01,23,15.984245837191086
26,2021-01-01,18,16.739002392237214
27,2021-02-01,41,15.840096318892542
28,2021-03-01,23,18.493736174278716
29,2021-04-01,2,16.774761190274045
30,2021-05-01,18,13.654007996327767
31,2021-06-01,52,13.228122099458409
32,2021-07-01,22,16.40873229868882
33,2021-08-01,14,7.612334499477505
34,2021-09-01,4,5.152581219274587
35,2021-10-01,8,4.807692436653188
36,2021-11-01,0,4.414084543100964
37,2021-12-01,0,6.027760167535506
