,date,total,train_pred,mean_se,mean_ci_lower,mean_ci_upper
0,2010-01-01,3808,6392.1658654653265,,-1.0,
1,2010-02-01,2384,6083.096355220361,,-1.0,
2,2010-03-01,3992,6367.372242616874,,-1.0,
3,2010-04-01,5650,6175.28076265916,,-1.0,
4,2010-05-01,9150,5775.612082816993,,-1.0,
5,2010-06-01,4976,6207.12912332073,,-1.0,
6,2010-07-01,5138,5743.541649620549,,-1.0,
7,2010-08-01,4462,6005.6084932202175,,-1.0,
8,2010-09-01,10039,5827.000012836956,,-1.0,
9,2010-10-01,3819,5928.3599487588035,,-1.0,
10,2010-11-01,5081,5928.872462569605,,-1.0,
11,2010-12-01,6506,6259.655862151405,,-1.0,
12,2011-01-01,2846,3500.5577900660714,10704.129333561126,283.4011487410034,11341.022004937337
13,2011-02-01,9163,2341.279834833513,10638.301200191738,181.30559583057305,10185.288916731526
14,2011-03-01,3900,4790.692062277588,10594.25133552521,487.8025501062346,11854.925033059535
15,2011-04-01,6595,6555.311386036579,10594.250806486354,821.3920559890068,12414.56272855932
16,2011-05-01,4062,9252.794113336315,10594.248570778847,1787.5922791766661,12896.457454339818
17,2011-06-01,4565,4320.685985902776,10594.24114786681,418.97156133638964,11642.833420976956
18,2011-07-01,7895,4337.991701813048,10594.20573304587,421.40348308511636,11651.262616369428
19,2011-08-01,4905,4786.7643264450335,10594.108676506405,487.26039328600257,11853.13039011717
20,2011-09-01,3803,10554.264766225831,10593.49912406971,2761.0546587837075,13048.09227852262
21,2011-10-01,7799,3056.446327117432,10592.445349127036,262.9531696275458,10823.072300436825
22,2011-11-01,3108,4832.2590153454585,10580.070300395653,500.4381035037856,11855.668656286216
23,2011-12-01,9732,6264.122699387735,10573.946862819646,769.5242577217473,12324.791664198401
24,2012-01-01,3043,3132.2922973559084,10204.047433280894,377.7975228321516,10151.158686004157
25,2012-02-01,3465,6119.574754880536,10189.220728104337,1008.834193356704,11932.93406076975
26,2012-03-01,3509,3624.2115063523147,10178.77707368761,466.1197840176457,10549.00295589391
27,2012-04-01,6129,5724.817285844354,10178.776847753295,909.3966637463798,11769.004846715641
28,2012-05-01,3799,6961.205520053391,10178.775893031296,1282.755637066407,12201.470801843972
29,2012-06-01,5074,4292.735844803239,10178.772723141981,587.7903674290687,11034.451444975623
30,2012-07-01,6024,6241.110119457541,10178.75759995113,1052.052933806642,11966.531443378819
31,2012-08-01,4540,4526.120664745676,10178.716155163505,634.0578377892824,11178.175134916242
32,2012-09-01,4507,7016.499822813349,10178.455921738614,1302.5692606492546,12217.596383930591
33,2012-10-01,6041,5269.867802169146,10178.006356404987,797.1211332462019,11568.745337676299
34,2012-11-01,4756,3880.879791220009,10172.74303199588,513.510431963936,10739.646771961232
35,2012-12-01,6343,8308.859921781495,10170.175444651673,1865.5068245315153,12542.868199184251
36,2013-01-01,3858,3247.6048779116873,10025.203117017281,455.72313894119026,9910.994647843589
37,2013-02-01,3933,4566.983631013048,10018.847556662606,726.5653900134614,10965.064591352157
38,2013-03-01,3434,3758.689794591373,10014.328139020872,556.4012179170392,10365.063203391823
39,2013-04-01,6343,6361.694462277599,10014.328014912926,1228.8022836234682,11847.654447056735
40,2013-05-01,4293,5656.766066097355,10014.32749048829,1009.4461744526435,11550.338643239731
41,2013-06-01,5575,4438.7782677272735,10014.325749269177,699.8892842152814,10874.596695688033
42,2013-07-01,5697,6424.957061835755,10014.317442192469,1250.2751133351,11871.789977512915
43,2013-08-01,5058,4832.281406984447,10014.294676980775,791.7548498949168,11120.602699663295
44,2013-09-01,6361,6689.09724269217,10014.151743760905,1343.6100500755715,11968.497638673096
45,2013-10-01,4440,6075.017751965744,10013.904876046958,1135.733483900531,11732.824145042816
46,2013-11-01,4231,4055.5716745194627,10011.017449351646,618.3862851800895,10596.779236611492
47,2013-12-01,6442,7173.6276295803145,10009.615622967303,1535.9410272343466,12127.350945854261
48,2014-01-01,4708,3356.085978023301,9931.969951305058,510.45270583641025,9835.054136058445
49,2014-02-01,6142,4519.043899896323,9928.463122605295,765.5934953805788,10793.369772230151
50,2014-03-01,4311,4316.1964876427,9925.961255029519,718.7043156088787,10647.345724916919
51,2014-04-01,5644,6553.169931610752,9925.961176769344,1378.6544398305482,11832.246554881449
52,2014-05-01,4692,5430.230165091972,9925.960846081221,1009.0739858516821,11329.167904520831
53,2014-06-01,6458,4792.661473911045,9925.95974811063,835.1889541161155,10967.18395703676
54,2014-07-01,5710,6829.6689811275755,9925.954509898464,1485.1197768059305,11936.00913282493
55,2014-08-01,5291,5030.457497563991,9925.940154813383,897.473653600878,11110.075339423058
56,2014-09-01,5296,6312.165184685703,9925.8500283639,1291.447656792801,11735.905496488282
57,2014-10-01,6169,5585.77542934927,9925.694381625226,1055.2470384931964,11407.653048320984
58,2014-11-01,3768,4216.432575479832,9923.874687596517,696.6878759487585,10570.440549455774
59,2014-12-01,7612,7126.79999406069,9922.993163445677,1611.0639505260933,12037.752090671049
60,2015-01-01,6298,3655.9107793787507,9874.565463277395,595.7547355539639,10014.200063954208
61,2015-02-01,4777,5594.5537328349255,9872.348402503087,1099.0613278502674,11344.471271267952
62,2015-03-01,4961,4286.360234473135,9870.76434422148,741.2895242803882,10533.34496135103
63,2015-04-01,5613,6383.085692882177,9870.764290425424,1368.403105783348,11706.441447285457
64,2015-05-01,4578,5500.092873667292,9870.764063112176,1071.1187759593206,11293.626847879328
65,2015-06-01,7810,5121.017614926889,9870.763308371079,959.5403532530175,11084.468582234267
66,2015-07-01,6137,6453.195961537026,9870.75970765497,1394.596555868546,11735.466926967829
67,2015-08-01,5040,5382.710271930161,9870.749840056968,1035.6533757368313,11231.173832038017
68,2015-09-01,7150,6128.172450073768,9870.68788888766,1276.678284622839,11596.521484903098
69,2015-10-01,7708,5734.759809236116,9870.58090590548,1144.83889725916,11412.447360579392
70,2015-11-01,3937,4778.815793388142,9869.330439349163,866.7133615727045,10873.032749243748
71,2015-12-01,8544,7643.566093299014,9868.725378778501,1916.4141413636582,12161.540581609157
72,2016-01-01,3581,4197.182451710613,9835.627481074363,738.6436658197787,10404.983622618653
73,2016-02-01,8733,5029.191536089572,9834.101116068186,958.644334372105,10977.08820172905
74,2016-03-01,4730,4368.298428237026,9833.009693567701,782.4146397279776,10531.095278205774
75,2016-04-01,7235,6948.296548826136,9833.009654341751,1633.5482063983436,11891.65981187842
76,2016-05-01,5465,5849.238447114464,9833.009488594833,1213.6842314158534,11422.165372076972
77,2016-06-01,8806,5957.674498310001,9833.008938269491,1250.6801725708551,11474.291299835619
78,2016-07-01,6290,6916.004843176068,9833.006312785456,1619.6313712546562,11879.5225667629
79,2016-08-01,7588,5459.735727060552,9832.9991177646,1087.5824381479324,11222.32510747683
80,2016-09-01,5544,6929.404634275443,9832.95394623133,1625.4521197625625,11884.518309460462
81,2016-10-01,11270,6508.153406014385,9832.87594221962,1452.8225388583703,11718.151070770922
82,2016-11-01,7588,4969.045829772494,9831.964322479596,943.045945640992,10937.015276063546
83,2016-12-01,13275,9048.252890158328,9831.52352805002,2854.016585530382,12526.91742893526
84,2017-01-01,5546,9560.849945970953,9807.471915844173,3334.6079206733507,12635.914888525793
85,2017-02-01,6578,10360.682808691909,9806.357857016365,4205.4145345057195,12805.85660756081
86,2017-03-01,6409,4357.169766962309,9805.560886026879,795.2231579411954,10476.612460325314
87,2017-04-01,4178,7054.675252109101,9805.560856172619,1711.3246467200756,11905.368925214862
88,2017-05-01,6837,5422.329305300134,9805.560730025707,1096.9990050784897,11164.946471780926
89,2017-06-01,8598,6112.0313718342595,9805.560311182695,1329.8470642486648,11514.168116676976
90,2017-07-01,6611,6931.137755836115,9805.558312975989,1656.4221282357848,11858.802828980057
