,date,total,sarimax,var,lf,mean_ensemble,rpw,ols,ols_lasso,cls
0,2019-01-01,4372,2602.891305356019,4496.615350190296,5280.927089787425,4126.81124844458,4501.837694501217,4479.41912211736,4212.206855697574,4553.974642496508
1,2019-02-01,2709,2857.4042522879936,4794.745402715165,3514.852693237908,3722.3341160803557,3583.937106167734,3683.88890934567,3894.0395689280604,3524.56979960146
2,2019-03-01,3109,2864.912034887264,4566.956029220084,3718.522264490012,3716.79677619912,3584.3292151016094,3769.5503010996717,3892.2708914007894,3627.1919278255727
3,2019-04-01,4183,3669.557645820291,4622.963488258036,4670.193496746299,4320.904876941542,4348.508442056835,4637.432197157704,4596.994002944334,4429.988029132674
4,2019-05-01,5166,4625.705839301881,5245.201496739483,5303.835766464957,5058.24770083544,5091.79560939349,5467.613670491949,5447.741598561278,5137.645818811148
5,2019-06-01,6647,5470.051449298202,5522.087325119635,5771.665268093765,5587.9346808372,5637.122098005118,6120.386799476783,6091.234806753207,5669.184738813581
6,2019-07-01,8121,6440.060168820305,6119.68292013846,7960.634628072735,6840.125905677167,7339.156431248766,7783.2703827550185,7410.775008418185,7369.510634167499
7,2019-08-01,7890,6075.915601230613,8042.721213556845,6406.158391406554,6841.598402064671,6697.282305387481,7015.77853945436,7325.4879465137055,6538.031694019955
8,2019-09-01,6811,5553.87469480055,6786.6152590959,5887.860284451882,6076.11674611611,6036.612316929016,6364.97829245499,6539.703768708252,5924.563970722254
9,2019-10-01,5649,4719.70262786309,5185.981941464493,5868.283542901356,5257.989370742979,5433.975756396806,5803.146576307202,5647.457869963241,5512.292120990685
10,2019-11-01,4938,4302.068290093131,5707.401110188902,5376.407903416689,5128.625767899574,5214.67758477165,5417.24714489046,5444.09051650931,5167.29213219159
11,2019-12-01,7689,8563.902019164014,6323.05537623999,6683.148492087704,7190.035295830569,7054.335382311546,8059.562260373465,8144.224777768719,7077.262648276067
12,2020-01-01,4665,2403.9184859999004,6903.09216683323,4774.720268368642,4693.910307067257,4731.499085952795,4399.334261870346,4667.536657597967,4491.915287597711
13,2020-02-01,3008,1595.435839300976,2946.2500122395595,3197.7256674062533,2579.8038396489296,2832.105794948842,2746.6484481830144,2625.8924290792056,2790.617690719112
14,2020-03-01,1259,930.1912752150752,1036.11572958039,1196.34092134025,1054.2159753785718,1110.0870965817655,1166.5547952228042,1129.1603527548336,1113.5792467087551
15,2020-04-01,0,0.1998237427762759,-0.0222045954167869,-36.01441922274117,-11.945600025127227,-21.199110942739843,-19.120938050204252,-10.769688674021591,-22.9396453584879
16,2020-05-01,0,2.013450251490325,-0.5449811273965355,-6.822462111458835,-1.7846643291216815,-3.7507960649463246,-2.8156228205985143,-1.2140198031445424,-3.9523989637539887
