,date,ym,samoa_rnz_news_count,samoa_rnz_epu_count,samoa_rnz_ratio,samoa_observer_news_count,samoa_observer_epu_count,samoa_observer_ratio,news_total,samoa_rnz_weights,samoa_observer_weights,samoa_rnz_z_score,samoa_observer_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted
0,2015-02-01,2015-2,34.0,0.0,0.0,0.0,0.0,0.0,34.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2015-03-01,2015-3,49.0,0.0,0.0,0.0,0.0,0.0,49.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2015-04-01,2015-4,47.0,0.0,0.0,0.0,0.0,0.0,47.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2015-05-01,2015-5,65.0,0.0,0.0,0.0,0.0,0.0,65.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2015-06-01,2015-6,60.0,0.0,0.0,0.0,0.0,0.0,60.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2015-07-01,2015-7,67.0,0.0,0.0,0.0,0.0,0.0,67.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2015-08-01,2015-8,62.0,0.0,0.0,0.0,0.0,0.0,62.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2015-09-01,2015-9,63.0,0.0,0.0,0.0,0.0,0.0,63.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2015-10-01,2015-10,46.0,0.0,0.0,0.0,0.0,0.0,46.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2015-11-01,2015-11,37.0,0.0,0.0,0.0,0.0,0.0,37.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2015-12-01,2015-12,39.0,0.0,0.0,212.0,2.0,0.009433962264150943,251.0,0.1553784860557769,0.8446215139442231,0.0,1.418255243377866,0.709127621688933,1.1978888908211458,110.59094605082363,94.35594597802448
11,2016-01-01,2016-1,42.0,0.0,0.0,286.0,2.0,0.006993006993006993,328.0,0.12804878048780488,0.8719512195121951,0.0,1.0512940964898867,0.5256470482449433,0.9166771695003281,84.62904713035589,69.94216974594822
12,2016-02-01,2016-2,48.0,0.0,0.0,503.0,2.0,0.003976143141153081,551.0,0.08711433756805807,0.9128856624319419,0.0,0.5977537009862973,0.29887685049314866,0.545680783296021,50.378089761808944,39.76831122731846
13,2016-03-01,2016-3,59.0,0.0,0.0,591.0,2.0,0.00338409475465313,650.0,0.09076923076923077,0.9092307692307692,0.0,0.5087480737666795,0.25437403688333976,0.4625694024555501,42.705119167318045,33.84680295658408
14,2016-04-01,2016-4,58.0,1.0,0.017241379310344827,574.0,4.0,0.006968641114982578,632.0,0.09177215189873418,0.9082278481012658,2.6505335263385796,1.0476310508575177,1.8490822885980487,1.1947328603162226,110.29957645721677,246.03738903349821
15,2016-05-01,2016-5,57.0,0.0,0.0,629.0,2.0,0.003179650238473768,686.0,0.08309037900874636,0.9169096209912536,0.0,0.47801289601924896,0.23900644800962448,0.4382946233179411,40.464034196438384,31.802004049827012
16,2016-06-01,2016-6,57.0,0.0,0.0,582.0,4.0,0.006872852233676976,639.0,0.0892018779342723,0.9107981220657277,0.0,1.0332306240416067,0.5166153120208034,0.9410645120378953,86.88052412756409,68.74041425203157
