date,ym,vietnam_tuoi_tre_body_count,vietnam_tuoi_tre_epu_count,vietnam_tuoi_tre_ratio,vietnam_news_body_count,vietnam_news_epu_count,vietnam_news_ratio,news_total,vietnam_tuoi_tre_weights,vietnam_news_weights,vietnam_tuoi_tre_z_score,vietnam_news_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted,epu_job
2015-01-01,2015-1,227,0.0,0.0,0.0,0.0,0.0,227.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-01,2015-2,149,0.0,0.0,0.0,0.0,0.0,149.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-01,2015-3,264,0.0,0.0,0.0,0.0,0.0,264.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-01,2015-4,213,1.0,0.004694835680751174,0.0,0.0,0.0,213.0,1.0,0.0,0.812561308571448,0.0,0.406280654285724,0.812561308571448,132.96532068169424,95.43648937796718,132.96532068169424
2015-05-01,2015-5,235,1.0,0.00425531914893617,0.0,0.0,0.0,235.0,1.0,0.0,0.7364917392583763,0.0,0.36824586962918815,0.7364917392583763,120.5175034263867,86.50200952130642,120.5175034263867
2015-06-01,2015-6,197,0.0,0.0,0.0,0.0,0.0,197.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-01,2015-7,201,0.0,0.0,0.0,0.0,0.0,201.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-08-01,2015-8,218,1.0,0.0045871559633027525,0.0,0.0,0.0,218.0,1.0,0.0,0.793924581310635,0.0,0.3969622906553175,0.793924581310635,129.91565736330676,93.24757907113306,129.91565736330676
2015-09-01,2015-9,177,1.0,0.005649717514124294,0.0,0.0,0.0,177.0,1.0,0.0,0.9778280153995391,0.0,0.48891400769976956,0.9778280153995391,160.009114718649,114.84730077687574,160.009114718649
2015-10-01,2015-10,194,0.0,0.0,0.0,0.0,0.0,194.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-11-01,2015-11,232,0.0,0.0,0.0,0.0,0.0,232.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-01,2015-12,180,0.0,0.0,0.0,0.0,0.0,180.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-01,2016-1,164,1.0,0.006097560975609756,0.0,0.0,0.0,164.0,1.0,0.0,1.0553387727177954,0.0,0.5276693863588977,1.0553387727177954,172.6927640561029,123.95105022870128,172.6927640561029
