date,ym,vietnam_tuoi_tre_body_count,vietnam_tuoi_tre_epu_count,vietnam_tuoi_tre_ratio,vietnam_news_body_count,vietnam_news_epu_count,vietnam_news_ratio,news_total,vietnam_tuoi_tre_weights,vietnam_news_weights,vietnam_tuoi_tre_z_score,vietnam_news_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted
2015-01-01,2015-1,227,0.0,0.0,0.0,0.0,0.0,227.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-01,2015-2,149,1.0,0.006711409395973154,0.0,0.0,0.0,149.0,1.0,0.0,0.6030976123935111,0.0,0.30154880619675556,0.6030976123935111,33.14587140543639,18.50309400050077
2015-03-01,2015-3,264,3.0,0.011363636363636364,0.0,0.0,0.0,264.0,1.0,0.0,1.0211539118935586,0.0,0.5105769559467793,1.0211539118935586,56.12198681147753,31.329102341756986
2015-04-01,2015-4,213,4.0,0.018779342723004695,0.0,0.0,0.0,213.0,1.0,0.0,1.687540737025975,0.0,0.8437703685129875,1.687540737025975,92.74619416732436,51.77391560703502
2015-05-01,2015-5,235,3.0,0.01276595744680851,0.0,0.0,0.0,235.0,1.0,0.0,1.147168649957019,0.0,0.5735843249785095,1.147168649957019,63.04767880097901,35.19524688605891
2015-06-01,2015-6,197,2.0,0.01015228426395939,0.0,0.0,0.0,197.0,1.0,0.0,0.9122999415901842,0.0,0.4561499707950921,0.9122999415901842,50.13943999401037,27.98945183832096
2015-07-01,2015-7,201,3.0,0.014925373134328358,0.0,0.0,0.0,201.0,1.0,0.0,1.3412170783079576,0.0,0.6706085391539788,1.3412170783079576,73.71246028970182,41.14867173245693
2015-08-01,2015-8,218,4.0,0.01834862385321101,0.0,0.0,0.0,218.0,1.0,0.0,1.6488356742501498,0.0,0.8244178371250749,1.6488356742501498,90.61898787908298,50.5864404784333
2015-09-01,2015-9,177,5.0,0.02824858757062147,0.0,0.0,0.0,177.0,1.0,0.0,2.5384617018822926,0.0,1.2692308509411463,2.5384617018822926,139.51228359915316,77.88025440888742
2015-10-01,2015-10,194,1.0,0.005154639175257732,0.0,0.0,0.0,194.0,1.0,0.0,0.46320383632285134,0.0,0.23160191816142567,0.46320383632285134,25.457396079433103,14.211139206570179
2015-11-01,2015-11,232,2.0,0.008620689655172414,0.0,0.0,0.0,232.0,1.0,0.0,0.7746684848847686,0.0,0.3873342424423843,0.7746684848847686,42.57530033974157,23.766905224781162
2015-12-01,2015-12,180,1.0,0.005555555555555556,0.0,0.0,0.0,180.0,1.0,0.0,0.4992308013701842,0.0,0.2496154006850921,0.4992308013701842,27.43741577450012,15.31645003374786
2016-01-01,2016-1,164,8.0,0.04878048780487805,0.0,0.0,0.0,164.0,1.0,0.0,4.3834899632503985,0.0,2.1917449816251993,4.3834899632503985,240.91389460536695,134.48590273534708
2016-02-01,2016-2,148,1.0,0.006756756756756757,0.0,0.0,0.0,148.0,1.0,0.0,0.6071725962610349,0.0,0.30358629813051746,0.6071725962610349,33.369829996013664,18.628114905909563
2016-03-01,2016-3,219,3.0,0.0136986301369863,199.0,14.0,0.07035175879396985,418.0,0.5239234449760766,0.47607655502392343,1.230980058173057,2.077693824159162,1.6543369411661093,1.6340806309750544,89.80805983538373,101.51043977579101
2016-04-01,2016-4,205,4.0,0.01951219512195122,271.0,25.0,0.09225092250922509,476.0,0.43067226890756305,0.569327731092437,1.7533959853001593,2.724440373007863,2.238918179154011,2.3062384833438307,126.74943927535556,137.38045940492407
2016-05-01,2016-5,234,4.0,0.017094017094017096,207.0,17.0,0.0821256038647343,441.0,0.5306122448979592,0.46938775510204084,1.5360947734467207,2.4254100093617823,1.9807523914042515,1.9535284556109334,107.36471451041251,121.53935594079591
2016-06-01,2016-6,223,6.0,0.026905829596412557,208.0,21.0,0.10096153846153846,431.0,0.5174013921113689,0.48259860788863107,2.4177993967703992,2.9816904159207205,2.69974490634556,2.689932417613246,147.8370203617184,165.6568779346821
2016-07-01,2016-7,212,3.0,0.014150943396226415,252.0,23.0,0.09126984126984126,464.0,0.45689655172413796,0.5431034482758621,1.2716256261316012,2.6954661658663506,1.9835458959989758,2.0449183330565086,112.38744559626056,121.71076593163265
2016-08-01,2016-8,222,1.0,0.0045045045045045045,243.0,23.0,0.09465020576131687,465.0,0.4774193548387097,0.5225806451612903,0.4047817308406899,2.7952982460836227,1.6000399884621563,1.6540193936450613,90.9038818878384,98.17876808889845
2016-09-01,2016-9,191,3.0,0.015706806282722512,246.0,12.0,0.04878048780487805,437.0,0.43707093821510296,0.562929061784897,1.4114378677481647,1.4406309094344016,1.4260343885912832,1.4278714793152454,78.47493252218779,87.50175028991724
2016-10-01,2016-10,193,6.0,0.031088082901554404,248.0,18.0,0.07258064516129033,441.0,0.4376417233560091,0.562358276643991,2.7936231372010307,2.143519377343928,2.4685712572724796,2.4280319071680116,133.44313044763973,151.47201740352472
2016-11-01,2016-11,188,3.0,0.015957446808510637,283.0,26.0,0.09187279151943463,471.0,0.3991507430997877,0.6008492569002123,1.4339608124462737,2.713273055577866,2.07361693401207,2.2026346230752347,121.05543525510912,127.23754252245601
2016-12-01,2016-12,198,6.0,0.030303030303030304,279.0,25.0,0.08960573476702509,477.0,0.41509433962264153,0.5849056603773585,2.723077098382823,2.646320218943121,2.684698658662972,2.678181565125639,147.191200783835,164.73363722039426
2017-01-01,2017-1,170,4.0,0.023529411764705882,224.0,19.0,0.08482142857142858,394.0,0.43147208121827413,0.5685279187817259,2.1143892763913685,2.5050256215388367,2.309707448965103,2.3364769446985587,128.41132639108187,141.72410291013762
2017-02-01,2017-2,180,1.0,0.005555555555555556,293.0,12.0,0.040955631399317405,473.0,0.38054968287526425,0.6194503171247357,0.4992308013701842,1.2095399444398047,0.8543853729049945,0.9392320253012599,51.619610641386934,52.42525436230398
2017-03-01,2017-3,190,2.0,0.010526315789473684,312.0,20.0,0.0641025641025641,502.0,0.3784860557768924,0.6215139442231076,0.9459109920698227,1.8931367720131558,1.4195238820414893,1.5346250226322131,84.34204117283541,87.1022643287521
2017-04-01,2017-4,185,3.0,0.016216216216216217,282.0,16.0,0.05673758865248227,467.0,0.3961456102783726,0.6038543897216274,1.4572142310264837,1.6756274407605805,1.566420835893532,1.5891040064976085,87.3361723986825,96.11589028135525
2017-05-01,2017-5,196,3.0,0.015306122448979591,293.0,24.0,0.08191126279863481,489.0,0.40081799591002043,0.5991820040899796,1.3754317996933647,2.4190798888796095,1.897255844286487,2.0007669533366563,109.9609131005359,116.41599140315226
2017-06-01,2017-6,202,7.0,0.034653465346534656,294.0,15.0,0.05102040816326531,496.0,0.40725806451612906,0.592741935483871,3.114013909536793,1.506782328745165,2.310398119140979,2.1613403515675618,118.78592765791865,141.76648256784134
2017-07-01,2017-7,191,4.0,0.020942408376963352,300.0,23.0,0.07666666666666666,491.0,0.3890020366598778,0.6109979633401222,1.8819171569975532,2.264191579327734,2.0730543681626434,2.1154860504783155,116.26580365799371,127.20302337139488
2017-08-01,2017-8,173,2.0,0.011560693641618497,337.0,19.0,0.05637982195845697,510.0,0.3392156862745098,0.6607843137254902,1.038861783198071,1.665061540726111,1.351961661962091,1.4526447602313053,79.83645670444353,82.95663322916835
2017-09-01,2017-9,181,2.0,0.011049723756906077,308.0,15.0,0.048701298701298704,489.0,0.37014314928425357,0.6298568507157464,0.992945240294289,1.438292222893112,1.2156187315937006,1.273450088229744,69.98802846887023,74.59060423131518
2017-10-01,2017-10,202,5.0,0.024752475247524754,350.0,22.0,0.06285714285714286,552.0,0.36594202898550726,0.6340579710144928,2.2242956496691377,1.8563558290140432,2.0403257393415903,1.991000473529132,109.42415341664451,125.19478827598445
2017-11-01,2017-11,202,7.0,0.034653465346534656,380.0,20.0,0.05263157894736842,582.0,0.3470790378006873,0.6529209621993127,3.114013909536793,1.5543649286002752,2.334189419068534,2.095686396210544,115.17762691720529,143.226321406223
2017-12-01,2017-12,182,2.0,0.01098901098901099,339.0,15.0,0.04424778761061947,521.0,0.3493282149712092,0.6506717850287908,0.9874894972157491,1.3067669753719129,1.147128236293831,1.195234343847111,65.68933958018721,70.38801398180361
2018-01-01,2018-1,216,7.0,0.032407407407407406,370.0,41.0,0.11081081081081082,586.0,0.36860068259385664,0.6313993174061433,2.912179674659408,3.272568322647607,3.0923739986535077,3.1397288210000793,172.55755222739586,189.74867618761584
2018-02-01,2018-2,160,1.0,0.00625,250.0,11.0,0.044,410.0,0.3902439024390244,0.6097560975609756,0.5616346515414573,1.2994490803098302,0.9305418659256437,1.0115214983514407,55.59259532653378,57.098231738278464
2018-03-01,2018-3,213,2.0,0.009389671361502348,362.0,27.0,0.07458563535911603,575.0,0.37043478260869567,0.6295652173913043,0.8437703685129875,2.2027326198119925,1.52325149416249,1.6993257336786218,93.39389028738006,93.46701099025955
2018-04-01,2018-4,190,5.0,0.02631578947368421,317.0,21.0,0.06624605678233439,507.0,0.3747534516765286,0.6252465483234714,2.3647774801745567,1.9564403990899366,2.1606089396322465,2.1094661296739163,115.93495253745681,132.57538908064126
2018-05-01,2018-5,186,3.0,0.016129032258064516,347.0,12.0,0.0345821325648415,533.0,0.34896810506566606,0.651031894934334,1.449379745913438,1.0213118262849072,1.2353457860991726,1.1706938770370776,64.3406107170658,75.80106017200157
