,inflation,date,inflation_rate,rate,statistics,policy,economy,government,interest_rate,cost-push_inflation,consumer_price_index,international_criminal_court,food,price,purchasing_power,share_price,stock,share,philippines,trends
0,0,2015-01-01,0,90,0,0,0,0,0,0,0,0,41,51,0,0,0,82,0,264
1,0,2015-02-01,0,60,0,0,0,50,0,0,0,0,46,42,0,0,0,0,0,198
2,0,2015-03-01,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,34
3,0,2015-04-01,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
4,0,2015-05-01,0,39,0,0,0,0,0,0,0,0,39,24,0,0,0,0,0,102
5,0,2015-06-01,0,38,0,0,0,27,0,0,0,0,0,30,0,0,0,0,0,95
6,0,2015-07-01,0,41,0,0,0,0,0,0,0,0,46,46,0,65,0,0,0,198
7,0,2015-08-01,0,0,0,0,0,0,0,0,0,0,49,32,0,0,92,0,0,173
8,0,2015-09-01,0,45,0,0,0,0,0,0,0,0,62,24,0,0,0,0,0,131
9,0,2015-10-01,0,34,0,0,0,0,0,0,0,100,0,40,0,0,0,69,0,243
10,0,2015-11-01,0,73,0,0,0,0,0,0,0,0,50,32,73,0,0,0,0,228
11,0,2015-12-01,0,76,0,0,100,41,0,0,0,0,41,41,0,0,0,0,0,299
12,0,2016-01-01,0,0,0,0,0,55,0,0,0,0,28,28,0,0,0,0,0,111
13,0,2016-02-01,0,33,0,0,0,63,0,0,0,0,46,22,0,0,0,0,0,164
14,0,2016-03-01,0,26,61,98,0,34,0,0,0,0,63,48,0,0,0,57,51,438
15,0,2016-04-01,0,71,0,0,0,34,0,100,0,59,46,28,0,0,0,0,0,338
16,0,2016-05-01,0,39,0,56,0,0,0,0,0,0,65,44,0,0,0,0,56,260
17,0,2016-06-01,0,47,0,0,0,32,0,0,0,0,46,21,0,0,0,0,0,146
18,0,2016-07-01,0,0,0,0,0,46,0,0,0,56,73,27,0,0,0,0,76,278
19,0,2016-08-01,0,32,0,0,0,0,0,0,0,0,0,26,0,0,50,0,0,108
20,0,2016-09-01,0,68,0,45,0,0,0,0,0,0,71,31,0,0,0,0,57,272
21,0,2016-10-01,0,36,0,0,0,37,0,0,0,0,44,35,0,0,0,0,0,152
22,0,2016-11-01,0,50,0,0,0,0,0,0,0,0,50,26,0,0,0,0,0,126
23,92,2016-12-01,0,44,70,0,0,27,0,0,0,0,0,42,0,0,0,0,57,332
24,0,2017-01-01,0,0,0,0,0,0,0,0,0,0,38,28,0,0,0,68,0,134
25,0,2017-02-01,0,31,0,0,0,24,0,0,0,0,46,42,0,0,0,47,0,190
26,0,2017-03-01,0,53,0,54,0,39,0,0,0,0,0,36,0,0,0,0,0,182
27,0,2017-04-01,0,0,0,43,0,29,0,0,0,0,53,0,0,0,91,0,0,216
28,0,2017-05-01,0,49,0,0,0,25,98,0,0,0,53,20,0,0,0,0,0,245
29,0,2017-06-01,0,41,0,0,0,0,0,0,0,0,45,50,0,0,0,0,56,192
