,date,ym,fiji_sun_news_count,fiji_sun_epu_count,fiji_sun_ratio,fiji_abc_news_count,fiji_abc_epu_count,fiji_abc_ratio,fiji_rnz_news_count,fiji_rnz_epu_count,fiji_rnz_ratio,news_total,fiji_sun_weights,fiji_abc_weights,fiji_rnz_weights,fiji_sun_z_score,fiji_abc_z_score,fiji_rnz_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted
3,2015-04-01,2015-4,0.0,0.0,0.0,4.0,0.0,0.0,103.0,0.0,0.0,107.0,0.0,0.037383177570093455,0.9626168224299065,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2015-05-01,2015-5,0.0,0.0,0.0,6.0,0.0,0.0,109.0,1.0,0.009174311926605505,115.0,0.0,0.05217391304347826,0.9478260869565217,0.0,0.0,0.42492909768676806,0.14164303256225602,0.40275888389441494,41.96059879300302,24.45655153332535
5,2015-06-01,2015-6,0.0,0.0,0.0,7.0,0.0,0.0,85.0,1.0,0.011764705882352941,92.0,0.0,0.07608695652173914,0.9239130434782609,0.0,0.0,0.5449090782100907,0.18163635940336356,0.5034486048680186,52.45074849125377,31.361930789793675
6,2015-07-01,2015-7,0.0,0.0,0.0,11.0,0.0,0.0,90.0,0.0,0.0,101.0,0.0,0.10891089108910891,0.8910891089108911,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2015-08-01,2015-8,0.0,0.0,0.0,8.0,0.0,0.0,91.0,0.0,0.0,99.0,0.0,0.08080808080808081,0.9191919191919192,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2015-09-01,2015-9,0.0,0.0,0.0,8.0,0.0,0.0,78.0,0.0,0.0,86.0,0.0,0.09302325581395349,0.9069767441860465,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2015-10-01,2015-10,0.0,0.0,0.0,6.0,0.0,0.0,102.0,0.0,0.0,108.0,0.0,0.05555555555555555,0.9444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2015-11-01,2015-11,0.0,0.0,0.0,4.0,0.0,0.0,92.0,0.0,0.0,96.0,0.0,0.041666666666666664,0.9583333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2015-12-01,2015-12,0.0,0.0,0.0,3.0,0.0,0.0,86.0,1.0,0.011627906976744186,89.0,0.0,0.033707865168539325,0.9662921348314607,0.0,0.0,0.5385729261378804,0.1795243087126268,0.5204187825601991,54.21875124938594,30.99725717595887
12,2016-01-01,2016-1,9.0,0.0,0.0,2.0,0.0,0.0,82.0,0.0,0.0,93.0,0.0967741935483871,0.021505376344086023,0.8817204301075269,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2016-02-01,2016-2,0.0,0.0,0.0,25.0,0.0,0.0,133.0,1.0,0.007518796992481203,158.0,0.0,0.15822784810126583,0.8417721518987342,0.0,0.0,0.34825016276584747,0.11608338758861582,0.29314728891049185,30.540942159464223,20.04333922655987
14,2016-03-01,2016-3,0.0,0.0,0.0,23.0,0.0,0.0,125.0,0.0,0.0,148.0,0.0,0.1554054054054054,0.8445945945945946,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2016-04-01,2016-4,0.0,0.0,0.0,8.0,0.0,0.0,91.0,1.0,0.01098901098901099,99.0,0.0,0.08080808080808081,0.9191919191919192,0.0,0.0,0.5089810071193156,0.16966033570643854,0.46785122876623964,48.74210970904392,29.294111177279813
16,2016-05-01,2016-5,1.0,0.0,0.0,18.0,0.0,0.0,73.0,1.0,0.0136986301369863,92.0,0.010869565217391304,0.1956521739130435,0.7934782608695652,0.0,0.0,0.6344831732583248,0.21149439108610826,0.5034486048680186,52.45074849125377,36.51731667304743
17,2016-06-01,2016-6,0.0,0.0,0.0,14.0,1.0,0.07142857142857142,74.0,0.0,0.0,88.0,0.0,0.1590909090909091,0.8409090909090909,0.0,0.4565553216453592,0.0,0.15218510721511974,0.07263380117085261,7.567201895762238,26.27678079100242
18,2016-07-01,2016-7,0.0,0.0,0.0,7.0,2.0,0.2857142857142857,57.0,0.0,0.0,64.0,0.0,0.109375,0.890625,0.0,1.826221286581437,0.0,0.608740428860479,0.19974295321984467,20.809805213346152,105.10712316400968
19,2016-08-01,2016-8,0.0,0.0,0.0,6.0,0.0,0.0,69.0,1.0,0.014492753623188406,75.0,0.0,0.08,0.92,0.0,0.0,0.6712648064906915,0.22375493549689718,0.6175636219714362,64.33958481593797,38.63426256713714
20,2016-09-01,2016-9,0.0,0.0,0.0,6.0,1.0,0.16666666666666666,129.0,2.0,0.015503875968992248,135.0,0.0,0.044444444444444446,0.9555555555555556,0.0,1.0652957505058382,0.7180972348505072,0.5944643284521152,0.7335282799907442,76.42112214235388,102.64216474695081
21,2016-10-01,2016-10,0.0,0.0,0.0,2.0,0.0,0.0,113.0,0.0,0.0,115.0,0.0,0.017391304347826087,0.9826086956521739,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,2016-11-01,2016-11,0.0,0.0,0.0,4.0,0.0,0.0,102.0,1.0,0.00980392156862745,106.0,0.0,0.03773584905660377,0.9622641509433962,0.0,0.0,0.45409089850840895,0.15136363283613632,0.43695539290431806,45.52329114335234,26.134942324828067
23,2016-12-01,2016-12,0.0,0.0,0.0,4.0,1.0,0.25,111.0,0.0,0.0,115.0,0.0,0.034782608695652174,0.9652173913043478,0.0,1.5979436257587574,0.0,0.5326478752529191,0.055580647852478515,5.790554494148495,91.96873276850847
24,2017-01-01,2017-1,0.0,0.0,0.0,2.0,0.0,0.0,71.0,0.0,0.0,73.0,0.0,0.0273972602739726,0.9726027397260274,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,2017-02-01,2017-2,0.0,0.0,0.0,5.0,0.0,0.0,77.0,0.0,0.0,82.0,0.0,0.06097560975609756,0.9390243902439024,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,2017-03-01,2017-3,0.0,0.0,0.0,1.0,0.0,0.0,75.0,0.0,0.0,76.0,0.0,0.013157894736842105,0.9868421052631579,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,2017-04-01,2017-4,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,2017-05-01,2017-5,0.0,0.0,0.0,1.0,0.0,0.0,77.0,0.0,0.0,78.0,0.0,0.01282051282051282,0.9871794871794872,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,2017-06-01,2017-6,0.0,0.0,0.0,5.0,0.0,0.0,80.0,0.0,0.0,85.0,0.0,0.058823529411764705,0.9411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,2017-07-01,2017-7,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,67.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,2017-08-01,2017-8,0.0,0.0,0.0,4.0,1.0,0.25,61.0,0.0,0.0,65.0,0.0,0.06153846153846154,0.9384615384615385,0.0,1.5979436257587574,0.0,0.5326478752529191,0.09833499235438507,10.24482718195503,91.96873276850847
32,2017-09-01,2017-9,0.0,0.0,0.0,2.0,0.0,0.0,64.0,0.0,0.0,66.0,0.0,0.030303030303030304,0.9696969696969697,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,2017-10-01,2017-10,0.0,0.0,0.0,6.0,0.0,0.0,57.0,0.0,0.0,63.0,0.0,0.09523809523809523,0.9047619047619048,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,2017-11-01,2017-11,0.0,0.0,0.0,3.0,0.0,0.0,63.0,2.0,0.031746031746031744,66.0,0.0,0.045454545454545456,0.9545454545454546,0.0,0.0,1.470389576122467,0.490129858707489,1.4035536862987186,146.22632912713175,84.62743228991944
35,2017-12-01,2017-12,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,60.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,2018-01-01,2018-1,0.0,0.0,0.0,5.0,0.0,0.0,63.0,0.0,0.0,68.0,0.0,0.07352941176470588,0.9264705882352942,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,2018-02-01,2018-2,0.0,0.0,0.0,5.0,0.0,0.0,49.0,0.0,0.0,54.0,0.0,0.09259259259259259,0.9074074074074074,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,2018-03-01,2018-3,0.0,0.0,0.0,2.0,2.0,1.0,61.0,1.0,0.01639344262295082,63.0,0.0,0.031746031746031744,0.9682539682539683,0.0,6.3917745030350295,0.7592995352107823,2.383691346081937,0.9381082643480599,97.73486341030954,411.57598217456604
39,2018-04-01,2018-4,0.0,0.0,0.0,5.0,0.0,0.0,92.0,1.0,0.010869565217391304,97.0,0.0,0.05154639175257732,0.9484536082474226,0.0,0.0,0.5034486048680187,0.16781620162267288,0.4774976458542033,49.74710166180771,28.975696925352857
40,2018-05-01,2018-5,0.0,0.0,0.0,3.0,0.0,0.0,80.0,0.0,0.0,83.0,0.0,0.03614457831325301,0.963855421686747,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,2018-06-01,2018-6,0.0,0.0,0.0,4.0,0.0,0.0,75.0,0.0,0.0,79.0,0.0,0.05063291139240506,0.9493670886075949,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,2018-07-01,2018-7,0.0,0.0,0.0,5.0,0.0,0.0,44.0,1.0,0.022727272727272728,49.0,0.0,0.10204081632653061,0.8979591836734694,0.0,0.0,1.052665264724039,0.3508884215746797,0.9452504417930147,98.47895635092547,60.58554811664689
43,2018-08-01,2018-8,0.0,0.0,0.0,3.0,0.0,0.0,87.0,1.0,0.011494252873563218,90.0,0.0,0.03333333333333333,0.9666666666666667,0.0,0.0,0.5323824327339968,0.17746081091133226,0.5146363516428636,53.616320679948316,30.64096686359153
44,2018-09-01,2018-9,0.0,0.0,0.0,6.0,0.0,0.0,57.0,0.0,0.0,63.0,0.0,0.09523809523809523,0.9047619047619048,0.0,0.0,0.0,0.0,0.0,0.0,0.0
