FID,fid_1,adm2_id,adm2_src,adm2_name,adm2_name1,adm2_name2,adm1_id,adm1_src,adm1_name,adm1_name1,adm1_name2,adm0_id,adm0_src,adm0_name,adm0_name1,adm0_name2,src_lvl,src_lang,src_lang1,src_lang2,src_date,src_update,src_name,src_name1,src_lic,src_url,src_grp,iso_cd,iso_2,iso_3,iso_3_grp,region3_cd,region3_nm,region2_cd,region2_nm,region1_cd,region1_nm,status_cd,status_nm,wld_date,wld_update,wld_view,wld_notes,sqKM,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,13984,FJI-20210924-1-1,FJ102,Bua, , ,FJI-20210924-1,FJ1,Northern, , ,FJI-20220801,FJI,Fiji,Fiji,0,3,en, , ,15/01/2018 00:00:00,24/09/2021 00:00:00,"POPGIS, Fiji Islands Bureau of Statistics, Pacific Catastrophe Risk Assessment and Financing Initiative (PCRAFI)",OCHA Regional Office for Asia and the Pacific (ROAP),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-fji,COD,242,FJ,FJI,FJI,54,Melanesia,54,Melanesia,9,Oceania,1,State,22/08/2022 00:00:00,1/8/22 0:00,intl, ,1217.80835,880.753417969,1586.42028809,1482.04992676,1279.51806641,1463.60144043,1610.015625,1042.22119141,1677.63708496,1964.10913086,1832.59289551,1414.12561035,1903.05432129,2619.44970703,1851.31970215,1181.21813965,1102.74047852,2059.81640625,1924.2401123,1935.91210938,1803.58544922,2074.62744141,1869.00793457,2248.49023438
1,13985,FJI-20210924-1-2,FJ103,Cakaudrove, , ,FJI-20210924-1,FJ1,Northern, , ,FJI-20220801,FJI,Fiji,Fiji,0,3,en, , ,15/01/2018 00:00:00,24/09/2021 00:00:00,"POPGIS, Fiji Islands Bureau of Statistics, Pacific Catastrophe Risk Assessment and Financing Initiative (PCRAFI)",OCHA Regional Office for Asia and the Pacific (ROAP),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-fji,COD,242,FJ,FJI,FJI,54,Melanesia,54,Melanesia,9,Oceania,1,State,22/08/2022 00:00:00,1/8/22 0:00,intl, ,2393.82982,832.790771484,1534.59765625,1637.53356934,1041.8170166,1627.2857666,2034.46789551,1240.0333252,1681.10046387,1851.17248535,1466.6463623,1796.47180176,1520.5090332,2162.65258789,1973.86254883,1098.80627441,918.030883789,1964.18212891,1668.99438477,1774.51403809,1895.85412598,2078.66772461,1554.42480469,1788.05859375
2,13986,FJI-20210924-1-3,FJ107,Macuata, , ,FJI-20210924-1,FJ1,Northern, , ,FJI-20220801,FJI,Fiji,Fiji,0,3,en, , ,15/01/2018 00:00:00,24/09/2021 00:00:00,"POPGIS, Fiji Islands Bureau of Statistics, Pacific Catastrophe Risk Assessment and Financing Initiative (PCRAFI)",OCHA Regional Office for Asia and the Pacific (ROAP),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-fji,COD,242,FJ,FJI,FJI,54,Melanesia,54,Melanesia,9,Oceania,1,State,22/08/2022 00:00:00,1/8/22 0:00,intl, ,1742.48985,775.691894531,1992.55151367,1905.74560547,1576.15539551,1712.2409668,1982.59350586,1610.77246094,2339.72021484,2371.51000977,2311.92114258,2056.98657227,2190.41748047,2535.30078125,2386.63476562,1241.55810547,1231.60058594,1900.203125,2013.67358398,2308.69677734,2207.10595703,2340.74731445,2173.41259766,1898.76306152
3,13987,FJI-20210924-2-1,FJ201,Ba, , ,FJI-20210924-2,FJ2,Western, , ,FJI-20220801,FJI,Fiji,Fiji,0,3,en, , ,15/01/2018 00:00:00,24/09/2021 00:00:00,"POPGIS, Fiji Islands Bureau of Statistics, Pacific Catastrophe Risk Assessment and Financing Initiative (PCRAFI)",OCHA Regional Office for Asia and the Pacific (ROAP),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-fji,COD,242,FJ,FJI,FJI,54,Melanesia,54,Melanesia,9,Oceania,1,State,22/08/2022 00:00:00,1/8/22 0:00,intl, ,2379.87138,1143.09716797,1858.82446289,1989.8984375,910.917419434,1564.62365723,1653.29602051,1062.51171875,2071.52539062,2048.61083984,2852.19042969,1315.45800781,2136.73681641,3038.04321289,2169.93481445,1214.51696777,1038.34631348,2182.59912109,1379.28234863,1938.04064941,1724.93933105,2021.42370605,2220.46948242,2503.50292969
4,13988,FJI-20210924-2-2,FJ208,Nadroga/Navosa, , ,FJI-20210924-2,FJ2,Western, , ,FJI-20220801,FJI,Fiji,Fiji,0,3,en, , ,15/01/2018 00:00:00,24/09/2021 00:00:00,"POPGIS, Fiji Islands Bureau of Statistics, Pacific Catastrophe Risk Assessment and Financing Initiative (PCRAFI)",OCHA Regional Office for Asia and the Pacific (ROAP),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-fji,COD,242,FJ,FJI,FJI,54,Melanesia,54,Melanesia,9,Oceania,1,State,22/08/2022 00:00:00,1/8/22 0:00,intl, ,2063.46389,904.64074707,1330.81542969,1406.21191406,1056.74279785,1350.14160156,1435.5723877,1062.51171875,1883.93530273,2075.4609375,1926.49279785,1247.71655273,1990.09057617,2758.11206055,1742.66247559,1040.42211914,804.77331543,1925.95471191,1276.71594238,1874.75537109,1587.14050293,1851.25292969,1737.01806641,2503.50292969
5,13989,FJI-20210924-2-3,FJ211,Ra, , ,FJI-20210924-2,FJ2,Western, , ,FJI-20220801,FJI,Fiji,Fiji,0,3,en, , ,15/01/2018 00:00:00,24/09/2021 00:00:00,"POPGIS, Fiji Islands Bureau of Statistics, Pacific Catastrophe Risk Assessment and Financing Initiative (PCRAFI)",OCHA Regional Office for Asia and the Pacific (ROAP),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-fji,COD,242,FJ,FJI,FJI,54,Melanesia,54,Melanesia,9,Oceania,1,State,22/08/2022 00:00:00,1/8/22 0:00,intl, ,1108.4008,1248.82080078,2002.74914551,1914.44482422,1668.38781738,1460.06176758,1895.19177246,1567.37683105,2268.64013672,2506.76171875,2845.42529297,1792.98266602,2385.36572266,3204.35791016,2274.70507812,1602.49389648,1120.796875,2295.66259766,1968.921875,2323.45532227,1892.60668945,2295.55615234,2305.7512207,2627.84350586
6,13990,FJI-20210924-3-1,FJ304,Kadavu, , ,FJI-20210924-3,FJ3,Eastern, , ,FJI-20220801,FJI,Fiji,Fiji,0,3,en, , ,15/01/2018 00:00:00,24/09/2021 00:00:00,"POPGIS, Fiji Islands Bureau of Statistics, Pacific Catastrophe Risk Assessment and Financing Initiative (PCRAFI)",OCHA Regional Office for Asia and the Pacific (ROAP),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-fji,COD,242,FJ,FJI,FJI,54,Melanesia,54,Melanesia,9,Oceania,1,State,22/08/2022 00:00:00,1/8/22 0:00,intl, ,411.50239,889.001342773,1337.64697266,1058.85925293,1033.828125,1165.69921875,1412.39807129,846.994873047,1776.68127441,1977.38586426,1856.23986816,1194.00927734,1891.71716309,2077.24291992,1471.59777832,1175.95410156,652.095031738,1646.36047363,1287.33227539,1684.55407715,1587.56152344,1717.58789062,1816.5567627,2287.01538086
7,13991,FJI-20210924-3-2,FJ305,Lau, , ,FJI-20210924-3,FJ3,Eastern, , ,FJI-20220801,FJI,Fiji,Fiji,0,3,en, , ,15/01/2018 00:00:00,24/09/2021 00:00:00,"POPGIS, Fiji Islands Bureau of Statistics, Pacific Catastrophe Risk Assessment and Financing Initiative (PCRAFI)",OCHA Regional Office for Asia and the Pacific (ROAP),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-fji,COD,242,FJ,FJI,FJI,54,Melanesia,54,Melanesia,9,Oceania,1,State,22/08/2022 00:00:00,1/8/22 0:00,intl, ,426.4401,606.835571289,1505.82775879,1222.71289062,1014.71966553,1286.86462402,1166.97607422,697.469116211,1632.94958496,1577.11450195,1573.35803223,1082.19934082,1710.03076172,1982.87658691,1776.77832031,1017.10205078,781.527709961,1909.95556641,1601.0682373,1728.71984863,1707.30932617,1582.14770508,1529.3001709,1618.85949707
8,13992,FJI-20210924-3-3,FJ306,Lomaiviti, , ,FJI-20210924-3,FJ3,Eastern, , ,FJI-20220801,FJI,Fiji,Fiji,0,3,en, , ,15/01/2018 00:00:00,24/09/2021 00:00:00,"POPGIS, Fiji Islands Bureau of Statistics, Pacific Catastrophe Risk Assessment and Financing Initiative (PCRAFI)",OCHA Regional Office for Asia and the Pacific (ROAP),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-fji,COD,242,FJ,FJI,FJI,54,Melanesia,54,Melanesia,9,Oceania,1,State,22/08/2022 00:00:00,1/8/22 0:00,intl, ,356.92085,734.137268066,1501.13342285,1507.87329102,1240.20288086,1358.29833984,1925.40039062,1009.4631958,1808.49694824,1735.2199707,1776.61523438,1327.07800293,1719.5201416,2219.91137695,1794.88427734,1279.58752441,827.226989746,2267.71630859,1582.89624023,1992.55566406,1649.70239258,2066.03540039,1853.22436523,1925.71008301
9,13993,FJI-20210924-3-4,FJ315,Rotuma, , ,FJI-20210924-3,FJ3,Eastern, , ,FJI-20220801,FJI,Fiji,Fiji,0,3,en, , ,15/01/2018 00:00:00,24/09/2021 00:00:00,"POPGIS, Fiji Islands Bureau of Statistics, Pacific Catastrophe Risk Assessment and Financing Initiative (PCRAFI)",OCHA Regional Office for Asia and the Pacific (ROAP),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-fji,COD,242,FJ,FJI,FJI,54,Melanesia,54,Melanesia,9,Oceania,1,State,22/08/2022 00:00:00,1/8/22 0:00,intl, ,37.91531,1639.50036621,3312.15722656,2527.06762695,2495.7355957,3022.53881836,2679.22851562,2983.18212891,3923.09033203,3310.30175781,3412.21191406,2432.02807617,2164.37475586,2335.14355469,3732.49951172,3102.0378418,2628.14599609,2670.70703125,3239.6262207,2545.34472656,3256.63964844,3689.49194336,3296.26953125,2646.66088867
