,date,total,american samoa,australia,europe,new zealand,usa,other countries,cruise ships,year,month
0,2002-08-08,8260.0,2877.0,1115.0,429.0,2035.0,933.0,871.0,0.0,2002.0,8.0
1,2002-09-08,6708.0,2119.0,972.0,372.0,1879.0,612.0,754.0,0.0,2002.0,9.0
2,2002-10-08,5737.0,1892.0,737.0,468.0,1492.0,577.0,571.0,0.0,2002.0,10.0
3,2002-11-08,6653.0,2530.0,864.0,393.0,1675.0,483.0,708.0,0.0,2002.0,11.0
4,2002-12-08,13042.0,4678.0,1918.0,272.0,4401.0,1007.0,766.0,0.0,2002.0,12.0
5,2003-01-08,7555.0,2531.0,917.0,333.0,2443.0,672.0,659.0,0.0,2003.0,1.0
6,2003-02-08,5968.0,1993.0,612.0,398.0,1355.0,692.0,918.0,0.0,2003.0,2.0
7,2003-03-08,5550.0,1858.0,678.0,516.0,1331.0,529.0,638.0,0.0,2003.0,3.0
8,2003-04-08,7283.0,2319.0,885.0,441.0,1992.0,697.0,949.0,0.0,2003.0,4.0
9,2003-05-08,7190.0,2396.0,902.0,387.0,2150.0,656.0,699.0,0.0,2003.0,5.0
10,2003-06-08,7462.0,2819.0,878.0,393.0,1930.0,800.0,642.0,0.0,2003.0,6.0
11,2003-07-08,9862.0,3331.0,1151.0,646.0,2755.0,1220.0,759.0,0.0,2003.0,7.0
12,2003-08-08,8437.0,2917.0,1029.0,543.0,2230.0,911.0,807.0,0.0,2003.0,8.0
13,2003-09-08,7345.0,1925.0,1107.0,432.0,2485.0,540.0,856.0,0.0,2003.0,9.0
14,2003-10-08,6567.0,2008.0,828.0,383.0,1949.0,575.0,824.0,0.0,2003.0,10.0
15,2003-11-08,6458.0,1996.0,939.0,376.0,1795.0,507.0,845.0,0.0,2003.0,11.0
16,2003-12-08,12809.0,4235.0,2177.0,288.0,4562.0,751.0,796.0,0.0,2003.0,12.0
17,2004-01-08,7072.0,2057.0,915.0,352.0,2335.0,541.0,872.0,0.0,2004.0,1.0
18,2004-02-08,6157.0,2059.0,581.0,391.0,1734.0,610.0,782.0,0.0,2004.0,2.0
19,2004-03-08,6771.0,2564.0,772.0,466.0,1479.0,597.0,893.0,0.0,2004.0,3.0
20,2004-04-08,8098.0,2630.0,869.0,399.0,2447.0,549.0,1204.0,0.0,2004.0,4.0
21,2004-05-08,8306.0,2355.0,1063.0,361.0,2702.0,690.0,1135.0,0.0,2004.0,5.0
22,2004-06-08,8000.0,2367.0,1098.0,318.0,2544.0,849.0,824.0,0.0,2004.0,6.0
23,2004-07-08,9493.0,2981.0,1056.0,435.0,3115.0,979.0,927.0,0.0,2004.0,7.0
24,2004-08-08,8355.0,1956.0,1198.0,565.0,2683.0,844.0,1109.0,0.0,2004.0,8.0
25,2004-09-08,8390.0,2050.0,1311.0,374.0,3059.0,555.0,1041.0,0.0,2004.0,9.0
26,2004-10-08,6961.0,1582.0,1120.0,477.0,2306.0,499.0,977.0,0.0,2004.0,10.0
27,2004-11-08,6942.0,1822.0,1148.0,403.0,2077.0,520.0,972.0,0.0,2004.0,11.0
28,2004-12-08,13610.0,3538.0,2783.0,215.0,5539.0,706.0,829.0,0.0,2004.0,12.0
29,2005-01-08,7685.0,1762.0,1480.0,330.0,2753.0,653.0,707.0,0.0,2005.0,1.0
30,2005-02-08,5828.0,1534.0,736.0,465.0,1682.0,554.0,857.0,0.0,2005.0,2.0
31,2005-03-08,6497.0,1904.0,815.0,373.0,1737.0,752.0,916.0,0.0,2005.0,3.0
32,2005-04-08,6777.0,1607.0,1027.0,379.0,2276.0,613.0,875.0,0.0,2005.0,4.0
33,2005-05-08,7134.0,1521.0,1184.0,347.0,2268.0,859.0,955.0,0.0,2005.0,5.0
34,2005-06-08,7953.0,1889.0,1230.0,377.0,2737.0,932.0,788.0,0.0,2005.0,6.0
35,2005-07-08,10875.0,2196.0,1792.0,472.0,4092.0,1311.0,1012.0,0.0,2005.0,7.0
36,2005-08-08,9331.0,1905.0,1631.0,502.0,3174.0,1172.0,947.0,0.0,2005.0,8.0
37,2005-09-08,9911.0,1936.0,1907.0,346.0,3914.0,1172.0,636.0,0.0,2005.0,9.0
38,2005-10-08,7462.0,1679.0,1294.0,403.0,2654.0,538.0,894.0,0.0,2005.0,10.0
