,inflation,date,economy,economics,government,money,cost,demand-pull_inflation,inflation_rate,demand,price,cost-push_inflation,rate,consumer_price_index,food,iphone,samsung,share_price,trends
0,0,2015-01-01,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,60
1,0,2015-02-01,0,0,0,44,53,0,0,0,44,0,0,0,28,26,49,0,244
2,0,2015-03-01,0,0,59,42,65,0,0,0,63,0,0,0,0,28,43,0,300
3,0,2015-04-01,0,0,0,0,0,0,0,0,44,100,52,0,33,61,58,0,348
4,0,2015-05-01,0,0,77,68,57,0,0,0,45,0,0,0,46,0,54,0,347
5,0,2015-06-01,0,0,0,0,0,0,0,0,93,0,54,0,26,51,49,0,273
6,0,2015-07-01,0,0,0,0,0,0,0,0,0,0,0,0,36,68,56,100,260
7,0,2015-08-01,0,0,0,0,0,0,0,0,0,0,0,0,29,50,85,0,164
8,0,2015-09-01,81,0,48,79,0,0,0,0,81,0,51,0,42,81,0,0,463
9,0,2015-10-01,93,0,49,35,0,0,0,0,0,0,0,0,46,49,68,0,340
10,0,2015-11-01,0,0,41,54,0,0,0,0,53,0,0,0,23,59,48,0,278
11,0,2015-12-01,0,0,0,0,0,0,0,0,0,0,0,0,28,32,70,0,130
12,0,2016-01-01,0,0,0,54,0,0,0,0,0,0,0,0,29,32,71,0,186
13,0,2016-02-01,100,0,39,77,81,0,0,0,39,0,0,0,28,24,49,0,437
14,0,2016-03-01,0,0,70,46,68,0,0,0,0,0,81,0,43,48,36,0,392
15,0,2016-04-01,0,0,0,48,65,0,0,0,52,0,51,0,19,53,51,0,339
16,0,2016-05-01,0,0,0,31,0,0,0,0,57,0,0,0,0,29,71,0,188
17,0,2016-06-01,0,0,36,43,0,0,0,0,74,0,67,0,40,30,64,0,354
18,90,2016-07-01,0,0,0,87,53,0,0,0,82,0,74,0,39,48,90,0,563
19,100,2016-08-01,0,0,0,51,0,0,0,0,58,0,81,0,32,35,66,0,423
20,0,2016-09-01,0,0,0,47,0,0,0,0,54,0,45,0,40,33,60,0,279
21,0,2016-10-01,0,0,60,76,0,0,0,0,0,0,60,0,38,65,100,0,399
22,0,2016-11-01,0,0,48,64,0,0,0,0,35,0,0,0,34,37,47,0,265
23,0,2016-12-01,0,0,0,44,0,0,0,0,56,0,0,0,22,33,71,0,226
24,0,2017-01-01,0,0,43,36,46,0,0,0,34,0,0,0,32,41,52,0,284
25,0,2017-02-01,0,0,0,61,0,0,0,0,32,0,0,0,36,34,58,0,221
26,0,2017-03-01,0,0,37,41,40,0,0,0,55,0,45,0,40,26,50,0,334
27,0,2017-04-01,0,0,37,55,79,0,0,0,0,0,80,0,38,56,48,0,393
28,0,2017-05-01,0,0,49,66,38,0,0,0,69,0,0,0,34,36,51,0,343
29,0,2017-06-01,0,0,0,0,68,0,0,0,57,0,42,0,23,25,56,0,271
30,0,2017-07-01,0,0,0,42,0,0,0,0,43,0,92,0,29,25,41,0,272
31,59,2017-08-01,0,53,0,88,0,0,0,0,0,0,78,0,57,39,46,0,420
32,0,2017-09-01,0,0,0,0,83,0,0,0,0,0,64,0,60,50,80,0,337
33,0,2017-10-01,0,0,0,46,54,0,0,0,47,0,39,0,69,29,41,0,325
34,0,2017-11-01,58,0,0,55,0,0,0,0,47,0,58,0,40,42,67,0,367
35,0,2017-12-01,0,0,0,100,0,0,0,0,44,0,51,0,43,49,48,0,335
36,0,2018-01-01,0,0,36,48,0,0,0,0,53,0,51,0,21,54,31,0,294
37,0,2018-02-01,0,0,53,36,0,0,0,0,0,0,0,0,22,44,68,0,223
38,0,2018-03-01,0,67,31,0,56,0,0,79,55,0,0,0,48,35,49,0,420
39,0,2018-04-01,0,0,42,0,58,0,0,0,36,0,0,0,68,40,58,0,302
40,0,2018-05-01,0,0,0,39,0,0,0,0,76,0,48,0,47,38,62,0,310
41,0,2018-06-01,0,0,57,69,65,0,0,0,42,0,0,0,30,31,35,0,329
42,0,2018-07-01,0,0,44,58,0,0,0,0,37,0,0,0,26,38,32,0,235
43,0,2018-08-01,0,0,0,51,0,0,0,0,88,0,65,0,49,32,64,0,349
44,0,2018-09-01,0,0,35,36,0,0,0,0,71,0,52,0,38,0,32,0,264
45,0,2018-10-01,73,0,0,67,43,0,0,0,58,0,41,0,62,30,46,0,420
46,0,2018-11-01,0,0,33,61,38,0,0,0,74,0,85,0,25,24,39,0,379
47,0,2018-12-01,0,0,0,58,0,0,0,0,53,0,0,0,29,34,55,0,229
48,0,2019-01-01,0,0,0,63,59,0,0,0,61,0,61,0,26,45,40,0,355
49,0,2019-02-01,0,0,100,0,0,0,0,0,37,0,68,0,54,39,46,0,344
50,0,2019-03-01,0,0,64,45,39,0,0,100,53,0,44,83,54,32,37,0,551
51,0,2019-04-01,0,0,43,53,60,0,0,0,39,0,70,0,46,53,41,64,469
52,0,2019-05-01,0,55,39,54,50,0,0,0,80,0,56,0,49,28,69,62,542
53,0,2019-06-01,56,0,0,50,58,0,0,0,80,0,46,0,44,37,54,0,425
54,0,2019-07-01,0,0,0,46,48,0,0,0,46,0,38,0,56,29,76,0,339
55,0,2019-08-01,0,0,38,59,62,0,0,0,66,0,70,0,45,18,58,0,416
56,0,2019-09-01,0,0,46,84,53,0,0,0,59,0,59,87,42,43,81,0,554
57,0,2019-10-01,0,0,0,43,53,0,0,0,71,0,63,0,48,30,62,0,370
