,Date,JAPAN,SOUTH KOREA,TAIWAN,CHINA,USA/CANADA,EUROPE,OTHERS,Total,year,month,covid
0,2007-06-01,856.0,1291.0,3245.0,86.0,669.0,99.0,463.0,6709.0,0.0,0.0,0.0
1,2007-07-01,2119.0,1366.0,3269.0,33.0,653.0,144.0,437.0,8021.0,0.0,0.0,0.0
2,2007-08-01,3476.0,1354.0,3046.0,46.0,580.0,256.0,438.0,9196.0,0.0,0.0,0.0
3,2007-09-01,3022.0,910.0,2497.0,61.0,559.0,145.0,401.0,7595.0,0.0,0.0,0.0
4,2007-10-01,1807.0,1082.0,2298.0,49.0,774.0,390.0,395.0,6795.0,0.0,0.0,0.0
5,2007-11-01,1875.0,1376.0,1811.0,20.0,540.0,313.0,317.0,6252.0,0.0,0.0,0.0
6,2007-12-01,3144.0,1303.0,1820.0,56.0,680.0,292.0,300.0,7595.0,0.0,0.0,0.0
7,2008-01-01,3634.0,1163.0,2719.0,51.0,692.0,354.0,298.0,8911.0,0.0,0.0,0.0
8,2008-02-01,3025.0,1307.0,2913.0,97.0,722.0,386.0,316.0,8766.0,0.0,0.0,0.0
9,2008-03-01,2979.0,1043.0,1822.0,85.0,757.0,768.0,363.0,7817.0,0.0,0.0,0.0
10,2008-04-01,1574.0,1069.0,2323.0,35.0,743.0,412.0,450.0,6606.0,0.0,0.0,0.0
11,2008-05-01,1560.0,1102.0,908.0,55.0,602.0,327.0,409.0,4963.0,0.0,0.0,0.0
12,2008-06-01,1171.0,1170.0,1267.0,51.0,654.0,118.0,197.0,4628.0,0.0,0.0,0.0
13,2008-07-01,2486.0,1226.0,1973.0,27.0,547.0,204.0,216.0,6679.0,0.0,0.0,0.0
14,2008-08-01,2908.0,1369.0,1941.0,57.0,524.0,242.0,300.0,7341.0,0.0,0.0,0.0
15,2008-09-01,3353.0,1292.0,967.0,40.0,509.0,126.0,210.0,6497.0,0.0,0.0,0.0
16,2008-10-01,2742.0,1212.0,1236.0,39.0,489.0,267.0,252.0,6237.0,0.0,0.0,0.0
17,2008-11-01,2094.0,1213.0,938.0,46.0,672.0,554.0,250.0,5767.0,0.0,0.0,0.0
18,2008-12-01,3411.0,1325.0,1019.0,14.0,516.0,323.0,261.0,6869.0,0.0,0.0,0.0
19,2009-01-01,3501.0,1909.0,1192.0,135.0,747.0,427.0,314.0,8225.0,0.0,0.0,0.0
20,2009-02-01,3094.0,1119.0,1329.0,56.0,598.0,423.0,262.0,6881.0,0.0,0.0,0.0
21,2009-03-01,3001.0,1154.0,1437.0,66.0,758.0,455.0,337.0,7208.0,0.0,0.0,0.0
22,2009-04-01,1713.0,1080.0,1004.0,67.0,619.0,283.0,371.0,5137.0,0.0,0.0,0.0
23,2009-05-01,1483.0,1075.0,951.0,75.0,495.0,161.0,472.0,4712.0,0.0,0.0,0.0
24,2009-06-01,787.0,1167.0,1174.0,49.0,645.0,122.0,236.0,4180.0,0.0,0.0,0.0
25,2009-07-01,1797.0,1194.0,1228.0,17.0,573.0,134.0,303.0,5246.0,0.0,0.0,0.0
26,2009-08-01,2466.0,1217.0,1638.0,41.0,440.0,217.0,294.0,6313.0,0.0,0.0,0.0
27,2009-09-01,3215.0,856.0,1407.0,31.0,394.0,148.0,197.0,6248.0,0.0,0.0,0.0
28,2009-10-01,1792.0,431.0,1906.0,95.0,400.0,404.0,209.0,5237.0,0.0,0.0,0.0
29,2009-11-01,1686.0,874.0,1610.0,57.0,600.0,335.0,179.0,5341.0,0.0,0.0,0.0
30,2009-12-01,3003.0,1092.0,1123.0,78.0,581.0,356.0,202.0,6435.0,0.0,0.0,0.0
31,2010-01-01,2357.0,1321.0,1919.0,70.0,656.0,324.0,168.0,6815.0,0.0,0.0,0.0
32,2010-02-01,2992.0,1075.0,2927.0,200.0,639.0,429.0,317.0,8579.0,0.0,0.0,0.0
33,2010-03-01,3561.0,1080.0,1395.0,58.0,768.0,513.0,318.0,7693.0,0.0,0.0,0.0
34,2010-04-01,1366.0,1128.0,1177.0,76.0,572.0,345.0,432.0,5096.0,0.0,0.0,0.0
35,2010-05-01,1949.0,1071.0,1163.0,50.0,531.0,249.0,414.0,5427.0,0.0,0.0,0.0
36,2010-06-01,1063.0,1006.0,1274.0,48.0,567.0,122.0,360.0,4440.0,0.0,0.0,0.0
