,date,total,pred_total
0,2019-01-01,7329.0,5713.706416669134
1,2019-02-01,9752.0,4703.2311286774875
2,2019-03-01,9033.0,9598.07332057725
3,2019-04-01,8405.0,7084.566360509203
4,2019-05-01,7478.0,6960.472176142995
5,2019-06-01,6071.0,4979.145183780207
6,2019-07-01,7054.0,7473.1410336934505
7,2019-08-01,8518.0,8120.956993157161
8,2019-09-01,6714.0,8886.136280931138
9,2019-10-01,6174.0,8595.043571842818
10,2019-11-01,7951.0,8784.674190305559
11,2019-12-01,9244.0,9128.919021405245
12,2020-01-01,9789.0,9135.840603497985
13,2020-02-01,5594.0,7669.685130407647
14,2020-03-01,2739.0,2962.223942731483
15,2020-04-01,5.0,6.482298469759956
16,2020-05-01,1.0,0.27845338463744723
17,2020-06-01,2.0,1.2163608780939843
18,2020-07-01,20.0,6.108084326101199
19,2020-08-01,30.0,34.74920579379549
20,2020-09-01,79.0,52.33551322439917
21,2020-10-01,15.0,71.46594052192219
22,2020-11-01,22.0,26.909110223858683
23,2020-12-01,12.0,39.44347210353968
24,2021-01-01,43.0,23.91727895907589
25,2021-02-01,35.0,46.996938281642414
26,2021-03-01,54.0,63.99030841561561
27,2021-04-01,256.0,88.98661727968143
28,2021-05-01,143.0,133.4340845467155
29,2021-06-01,81.0,89.23432292932118
30,2021-07-01,292.0,144.376348746944
31,2021-08-01,1158.0,485.8057228628991
32,2021-09-01,1289.0,1011.5506200373255
33,2021-10-01,653.0,699.8871652207457
34,2021-11-01,402.0,314.3124440660673
35,2021-12-01,825.0,372.82893365440776
36,2022-01-01,429.0,640.0874533725568
37,2022-02-01,518.0,712.1177957172827
38,2022-03-01,578.0,1145.6122302447052
39,2022-04-01,1238.0,1664.520535901269
40,2022-05-01,751.0,1724.8535988763117
41,2022-06-01,987.0,1357.0475416174638
42,2022-07-01,1100.0,1160.5800973784706
43,2022-08-01,836.0,1144.9939779196848
44,2022-09-01,930.0,1273.1388646973191
