date,ym,south_korea_the_korea_times_body_count,south_korea_the_korea_times_epu_count,south_korea_the_korea_times_ratio,south_korea_the_korea_herald_body_count,south_korea_the_korea_herald_epu_count,south_korea_the_korea_herald_ratio,news_total,south_korea_the_korea_times_weights,south_korea_the_korea_herald_weights,south_korea_the_korea_times_z_score,south_korea_the_korea_herald_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted,epu_inflation
2015-01-01,2015-1,501,2.0,0.003992015968063872,0.0,0.0,0.0,501.0,1.0,0.0,0.6401423081858656,,0.6401423081858656,0.6401423081858656,42.73954693919945,42.73954693919945,42.73954693919945
2015-02-01,2015-2,439,2.0,0.004555808656036446,0.0,0.0,0.0,439.0,1.0,0.0,0.7305496501164435,,0.7305496501164435,0.7305496501164435,48.775656074120555,48.775656074120555,48.775656074120555
2015-03-01,2015-3,527,4.0,0.007590132827324478,0.0,0.0,0.0,527.0,1.0,0.0,1.217120669453961,,1.217120669453961,1.217120669453961,81.2619089811724,81.2619089811724,81.2619089811724
2015-04-01,2015-4,464,3.0,0.00646551724137931,0.0,0.0,0.0,464.0,1.0,0.0,1.0367822081932716,,1.0367822081932716,1.0367822081932716,69.22148604484566,69.22148604484566,69.22148604484566
2015-05-01,2015-5,492,4.0,0.008130081300813009,0.0,0.0,0.0,492.0,1.0,0.0,1.3037044569151168,,1.3037044569151168,1.3037044569151168,87.04273583958914,87.04273583958914,87.04273583958914
2015-06-01,2015-6,537,4.0,0.0074487895716946,0.0,0.0,0.0,537.0,1.0,0.0,1.1944554800786542,,1.1944554800786542,1.1944554800786542,79.748651830685,79.748651830685,79.748651830685
2015-07-01,2015-7,520,6.0,0.011538461538461539,0.0,0.0,0.0,520.0,1.0,0.0,1.8502574792372233,,1.8502574792372233,1.8502574792372233,123.53372894157073,123.53372894157073,123.53372894157073
2015-08-01,2015-8,496,2.0,0.004032258064516129,0.0,0.0,0.0,496.0,1.0,0.0,0.6465953556474167,,0.6465953556474167,0.6465953556474167,43.17038914624783,43.17038914624783,43.17038914624783
2015-09-01,2015-9,471,3.0,0.006369426751592357,0.0,0.0,0.0,471.0,1.0,0.0,1.0213735554175756,,1.0213735554175756,1.0213735554175756,68.1927166131813,68.1927166131813,68.1927166131813
2015-10-01,2015-10,539,3.0,0.0055658627087198514,0.0,0.0,0.0,539.0,1.0,0.0,0.8925175224520928,,0.8925175224520928,0.8925175224520928,59.58955384936621,59.58955384936621,59.58955384936621
2015-11-01,2015-11,578,13.0,0.02249134948096886,0.0,0.0,0.0,578.0,1.0,0.0,3.6066149249260753,,3.6066149249260753,3.6066149249260753,240.79815676038584,240.79815676038584,240.79815676038584
2015-12-01,2015-12,507,7.0,0.013806706114398421,0.0,0.0,0.0,507.0,1.0,0.0,2.213983308488985,,2.213983308488985,2.213983308488985,147.81813719504188,147.81813719504188,147.81813719504188
2016-01-01,2016-1,502,10.0,0.0199203187250996,0.0,0.0,0.0,502.0,1.0,0.0,3.194335621525086,,3.194335621525086,3.194335621525086,213.27204199739964,213.27204199739964,213.27204199739964
2016-02-01,2016-2,475,2.0,0.004210526315789474,0.0,0.0,0.0,475.0,1.0,0.0,0.675181676633934,,0.675181676633934,0.675181676633934,45.07897477166089,45.07897477166089,45.07897477166089
2016-03-01,2016-3,495,4.0,0.00808080808080808,0.0,0.0,0.0,495.0,1.0,0.0,1.2958032177822978,,1.2958032177822978,1.2958032177822978,86.51520410722799,86.51520410722799,86.51520410722799
2016-04-01,2016-4,476,2.0,0.004201680672268907,0.0,0.0,0.0,476.0,1.0,0.0,0.6737632277334425,,0.6737632277334425,0.6737632277334425,44.984271043149,44.984271043149,44.984271043149
2016-05-01,2016-5,504,4.0,0.007936507936507936,0.0,0.0,0.0,504.0,1.0,0.0,1.2726638746076138,,1.2726638746076138,1.2726638746076138,84.97028974817033,84.97028974817033,84.97028974817033
2016-06-01,2016-6,596,7.0,0.01174496644295302,0.0,0.0,0.0,596.0,1.0,0.0,1.8833717070535494,,1.8833717070535494,1.8833717070535494,125.74462341927222,125.74462341927222,125.74462341927222
2016-07-01,2016-7,663,6.0,0.00904977375565611,0.0,0.0,0.0,663.0,1.0,0.0,1.4511823366566456,,1.4511823366566456,1.4511823366566456,96.8891991698594,96.8891991698594,96.8891991698594
2016-08-01,2016-8,586,2.0,0.0034129692832764505,0.0,0.0,0.0,586.0,1.0,0.0,0.5472889017083936,,0.5472889017083936,0.5472889017083936,36.54012460160226,36.54012460160226,36.54012460160226
2016-09-01,2016-9,569,1.0,0.0017574692442882249,0.0,0.0,0.0,569.0,1.0,0.0,0.28182011986038547,,0.28182011986038547,0.28182011986038547,18.815916534744222,18.815916534744222,18.815916534744222
2016-10-01,2016-10,577,0.0,0.0,0.0,0.0,0.0,577.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2016-11-01,2016-11,644,4.0,0.006211180124223602,0.0,0.0,0.0,644.0,1.0,0.0,0.9959978149103064,,0.9959978149103064,0.9959978149103064,66.49848762900287,66.49848762900287,66.49848762900287
2016-12-01,2016-12,593,7.0,0.011804384485666104,0.0,0.0,0.0,593.0,1.0,0.0,1.8928997258076143,,1.8928997258076143,1.8928997258076143,126.3807682257778,126.3807682257778,126.3807682257778
2017-01-01,2017-1,546,3.0,0.005494505494505495,0.0,0.0,0.0,546.0,1.0,0.0,0.8810749901129635,,0.8810749901129635,0.8810749901129635,58.82558521027178,58.82558521027178,58.82558521027178
2017-02-01,2017-2,418,6.0,0.014354066985645933,0.0,0.0,0.0,418.0,1.0,0.0,2.3017557157975026,,2.3017557157975026,2.3017557157975026,153.6783230852076,153.6783230852076,153.6783230852076
2017-03-01,2017-3,578,4.0,0.006920415224913495,0.0,0.0,0.0,578.0,1.0,0.0,1.1097276692080231,,1.1097276692080231,1.1097276692080231,74.09174054165717,74.09174054165717,74.09174054165717
2017-04-01,2017-4,473,0.0,0.0,0.0,0.0,0.0,473.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2017-05-01,2017-5,559,4.0,0.007155635062611807,0.0,0.0,0.0,559.0,1.0,0.0,1.1474464987517663,,1.1474464987517663,1.1474464987517663,76.61006445988882,76.61006445988882,76.61006445988882
2017-06-01,2017-6,518,3.0,0.005791505791505791,0.0,0.0,0.0,518.0,1.0,0.0,0.9287006652542046,,0.9287006652542046,0.9287006652542046,62.00534657298916,62.00534657298916,62.00534657298916
2017-07-01,2017-7,471,5.0,0.010615711252653927,0.0,0.0,0.0,471.0,1.0,0.0,1.7022892590292922,,1.7022892590292922,1.7022892590292922,113.65452768863547,113.65452768863547,113.65452768863547
2017-08-01,2017-8,463,4.0,0.008639308855291577,0.0,0.0,0.0,463.0,1.0,0.0,1.385361971495113,,1.385361971495113,1.385361971495113,92.49465665891545,92.49465665891545,92.49465665891545
2017-09-01,2017-9,316,1.0,0.0031645569620253164,0.0,0.0,0.0,316.0,1.0,0.0,0.5074545829131625,,0.5074545829131625,0.5074545829131625,33.880558570472985,33.880558570472985,33.880558570472985
2017-10-01,2017-10,332,1.0,0.0030120481927710845,0.0,0.0,0.0,332.0,1.0,0.0,0.48299894036313057,,0.48299894036313057,0.48299894036313057,32.247760567076696,32.247760567076696,32.247760567076696
2017-11-01,2017-11,349,1.0,0.0028653295128939827,0.0,0.0,0.0,349.0,1.0,0.0,0.4594717713483076,,0.4594717713483076,0.4594717713483076,30.676952745757774,30.676952745757774,30.676952745757774
2017-12-01,2017-12,324,3.0,0.009259259259259259,0.0,0.0,0.0,324.0,1.0,0.0,1.4847745203755494,,1.4847745203755494,1.4847745203755494,99.13200470619871,99.13200470619871,99.13200470619871
2018-01-01,2018-1,368,1.0,0.002717391304347826,0.0,0.0,0.0,368.0,1.0,0.0,0.4357490440232591,,0.4357490440232591,0.4357490440232591,29.09308833768876,29.09308833768876,29.09308833768876
2018-02-01,2018-2,275,1.0,0.0036363636363636364,0.0,0.0,0.0,275.0,1.0,0.0,0.583111448002034,,0.583111448002034,0.583111448002034,38.93184184825259,38.93184184825259,38.93184184825259
2018-03-01,2018-3,362,2.0,0.0055248618784530384,0.0,0.0,0.0,362.0,1.0,0.0,0.8859428077378969,,0.8859428077378969,0.8859428077378969,59.150588443477695,59.150588443477695,59.150588443477695
2018-04-01,2018-4,442,2.0,0.004524886877828055,0.0,0.0,0.0,442.0,1.0,0.0,0.7255911683283228,,0.7255911683283228,0.7255911683283228,48.4445995849297,48.4445995849297,48.4445995849297
2018-05-01,2018-5,377,2.0,0.005305039787798408,0.0,0.0,0.0,377.0,1.0,0.0,0.8506930939021715,,0.8506930939021715,0.8506930939021715,56.797116754745154,56.797116754745154,56.797116754745154
2018-06-01,2018-6,323,2.0,0.006191950464396285,0.0,0.0,0.0,323.0,1.0,0.0,0.9929142303440207,,0.9929142303440207,0.9929142303440207,66.29260995832485,66.29260995832485,66.29260995832485
2018-07-01,2018-7,393,2.0,0.005089058524173028,0.0,0.0,0.0,393.0,1.0,0.0,0.8160592783743479,,0.8160592783743479,0.8160592783743479,54.48476594539167,54.48476594539167,54.48476594539167
2018-08-01,2018-8,389,4.0,0.010282776349614395,0.0,0.0,0.0,389.0,1.0,0.0,1.6489012668437977,,1.6489012668437977,1.6489012668437977,110.09004121613842,110.09004121613842,110.09004121613842
2018-09-01,2018-9,297,3.0,0.010101010101010102,0.0,0.0,0.0,297.0,1.0,0.0,1.6197540222278723,,1.6197540222278723,1.6197540222278723,108.14400513403498,108.14400513403498,108.14400513403498
2018-10-01,2018-10,351,4.0,0.011396011396011397,0.0,0.0,0.0,351.0,1.0,0.0,1.8274147943083687,,1.8274147943083687,1.8274147943083687,122.00862117685998,122.00862117685998,122.00862117685998
2018-11-01,2018-11,333,7.0,0.021021021021021023,0.0,0.0,0.0,333.0,1.0,0.0,3.37083945166341,,3.37083945166341,3.37083945166341,225.0564431167755,225.0564431167755,225.0564431167755
2018-12-01,2018-12,339,3.0,0.008849557522123894,0.0,0.0,0.0,339.0,1.0,0.0,1.4190765327483128,,1.4190765327483128,1.4190765327483128,94.74563281654392,94.74563281654392,94.74563281654392
2019-01-01,2019-1,383,2.0,0.005221932114882507,0.0,0.0,0.0,383.0,1.0,0.0,0.8373663091413021,,0.8373663091413021,0.8373663091413021,55.90734469070215,55.90734469070215,55.90734469070215
2019-02-01,2019-2,277,4.0,0.01444043321299639,0.0,0.0,0.0,277.0,1.0,0.0,2.315605028166922,,2.315605028166922,2.315605028166922,154.6029820688731,154.6029820688731,154.6029820688731
2019-03-01,2019-3,347,2.0,0.005763688760806916,0.0,0.0,0.0,347.0,1.0,0.0,0.9242400472654716,,0.9242400472654716,0.9242400472654716,61.70753030702859,61.70753030702859,61.70753030702859
2019-04-01,2019-4,334,3.0,0.008982035928143712,0.0,0.0,0.0,334.0,1.0,0.0,1.4403201934181977,,1.4403201934181977,1.4403201934181977,96.16398061319877,96.16398061319877,96.16398061319877
2019-05-01,2019-5,310,2.0,0.0064516129032258064,0.0,0.0,0.0,310.0,1.0,0.0,1.0345525690358668,,1.0345525690358668,1.0345525690358668,69.07262263399653,69.07262263399653,69.07262263399653
2019-06-01,2019-6,311,3.0,0.00964630225080386,0.0,0.0,0.0,311.0,1.0,0.0,1.5468390501661673,,1.5468390501661673,1.5468390501661673,103.27578625340317,103.27578625340317,103.27578625340317
2019-07-01,2019-7,289,5.0,0.01730103806228374,0.0,0.0,0.0,289.0,1.0,0.0,2.774319173020058,,2.774319173020058,2.774319173020058,185.22935135414298,185.22935135414298,185.22935135414298
2019-08-01,2019-8,284,7.0,0.02464788732394366,0.0,0.0,0.0,284.0,1.0,0.0,3.9524279486053358,,3.9524279486053358,3.9524279486053358,263.8866040770642,263.8866040770642,263.8866040770642
2019-09-01,2019-9,287,2.0,0.006968641114982578,0.0,0.0,0.0,287.0,1.0,0.0,1.1174609630701,,1.1174609630701,1.1174609630701,74.6080592910764,74.6080592910764,74.6080592910764
2019-10-01,2019-10,287,5.0,0.017421602787456445,0.0,0.0,0.0,287.0,1.0,0.0,2.79365240767525,,2.79365240767525,2.79365240767525,186.52014822769098,186.52014822769098,186.52014822769098
2019-11-01,2019-11,266,3.0,0.011278195488721804,0.0,0.0,0.0,266.0,1.0,0.0,1.808522348126609,,1.808522348126609,1.808522348126609,120.7472538526631,120.7472538526631,120.7472538526631
2019-12-01,2019-12,249,5.0,0.020080321285140562,0.0,0.0,0.0,249.0,1.0,0.0,3.2199929357542034,,3.2199929357542034,3.2199929357542034,214.98507044717795,214.98507044717795,214.98507044717795
2020-01-01,2020-1,277,2.0,0.007220216606498195,0.0,0.0,0.0,277.0,1.0,0.0,1.157802514083461,,1.157802514083461,1.157802514083461,77.30149103443655,77.30149103443655,77.30149103443655
2020-02-01,2020-2,305,4.0,0.013114754098360656,0.0,0.0,0.0,305.0,1.0,0.0,2.103024894433565,,2.103024894433565,2.103024894433565,140.40992141992737,140.40992141992737,140.40992141992737
2020-03-01,2020-3,382,7.0,0.01832460732984293,0.0,0.0,0.0,382.0,1.0,0.0,2.938454286397684,,2.938454286397684,2.938454286397684,196.18794648661316,196.18794648661316,196.18794648661316
2020-04-01,2020-4,375,3.0,0.008,0.0,0.0,0.0,375.0,1.0,0.0,1.2828451856044747,,1.2828451856044747,1.2828451856044747,85.6500520661557,85.6500520661557,85.6500520661557
2020-05-01,2020-5,356,1.0,0.0028089887640449437,0.0,0.0,0.0,356.0,1.0,0.0,0.450437214046515,,0.450437214046515,0.450437214046515,30.073754236711974,30.073754236711974,30.073754236711974
2020-06-01,2020-6,318,7.0,0.0220125786163522,0.0,0.0,0.0,318.0,1.0,0.0,3.5298413125909285,,3.5298413125909285,3.5298413125909285,235.67231307511392,235.67231307511392,235.67231307511392
2020-07-01,2020-7,367,2.0,0.005449591280653951,0.0,0.0,0.0,367.0,1.0,0.0,0.8738727422373805,,0.8738727422373805,0.8738727422373805,58.344722115909875,58.344722115909875,58.344722115909875
2020-08-01,2020-8,350,8.0,0.022857142857142857,0.0,0.0,0.0,350.0,1.0,0.0,3.6652719588699276,,3.6652719588699276,3.6652719588699276,244.71443447473055,244.71443447473055,244.71443447473055
2020-09-01,2020-9,325,3.0,0.009230769230769232,0.0,0.0,0.0,325.0,1.0,0.0,1.4802059833897787,,1.4802059833897787,1.4802059833897787,98.82698315325659,98.82698315325659,98.82698315325659
2020-10-01,2020-10,290,4.0,0.013793103448275862,0.0,0.0,0.0,290.0,1.0,0.0,2.211802044145646,,2.211802044145646,2.211802044145646,147.6725035623374,147.6725035623374,147.6725035623374
2020-11-01,2020-11,300,9.0,0.03,0.0,0.0,0.0,300.0,1.0,0.0,4.81066944601678,,4.81066944601678,4.81066944601678,321.18769524808386,321.18769524808386,321.18769524808386
2020-12-01,2020-12,324,3.0,0.009259259259259259,0.0,0.0,0.0,324.0,1.0,0.0,1.4847745203755494,,1.4847745203755494,1.4847745203755494,99.13200470619871,99.13200470619871,99.13200470619871
2021-01-01,2021-1,292,2.0,0.00684931506849315,0.0,0.0,0.0,292.0,1.0,0.0,1.0983263575380777,,1.0983263575380777,1.0983263575380777,73.3305240292429,73.3305240292429,73.3305240292429
2021-02-01,2021-2,253,5.0,0.019762845849802372,0.0,0.0,0.0,253.0,1.0,0.0,3.1690839565327935,,3.1690839565327935,3.1690839565327935,211.5860970013728,211.5860970013728,211.5860970013728
2021-03-01,2021-3,308,3.0,0.00974025974025974,0.0,0.0,0.0,308.0,1.0,0.0,1.5619056642911624,,1.5619056642911624,1.5619056642911624,104.28171923639087,104.28171923639087,104.28171923639087
2021-04-01,2021-4,297,4.0,0.013468013468013467,0.0,0.0,0.0,297.0,1.0,0.0,2.1596720296371625,,2.1596720296371625,2.1596720296371625,144.19200684537995,144.19200684537995,144.19200684537995
2021-05-01,2021-5,275,3.0,0.01090909090909091,0.0,0.0,0.0,275.0,1.0,0.0,1.749334344006102,,1.749334344006102,1.749334344006102,116.79552554475778,116.79552554475778,116.79552554475778
2021-06-01,2021-6,328,3.0,0.009146341463414634,0.0,0.0,0.0,328.0,1.0,0.0,1.466667514029506,,1.466667514029506,1.466667514029506,97.92307781953775,97.92307781953775,97.92307781953775
2021-07-01,2021-7,318,3.0,0.009433962264150943,0.0,0.0,0.0,318.0,1.0,0.0,1.512789133967541,,1.512789133967541,1.512789133967541,101.00241988933456,101.00241988933456,101.00241988933456
2021-08-01,2021-8,311,2.0,0.006430868167202572,0.0,0.0,0.0,311.0,1.0,0.0,1.0312260334441115,,1.0312260334441115,1.0312260334441115,68.85052416893545,68.85052416893545,68.85052416893545
2021-09-01,2021-9,268,5.0,0.018656716417910446,0.0,0.0,0.0,268.0,1.0,0.0,2.991709854488047,,2.991709854488047,2.991709854488047,199.74359157219143,199.74359157219143,199.74359157219143
2021-10-01,2021-10,298,3.0,0.010067114093959731,0.0,0.0,0.0,298.0,1.0,0.0,1.6143186060458994,,1.6143186060458994,1.6143186060458994,107.78110578794761,107.78110578794761,107.78110578794761
2021-11-01,2021-11,335,5.0,0.014925373134328358,0.0,0.0,0.0,335.0,1.0,0.0,2.3933678835904377,,2.3933678835904377,2.3933678835904377,159.79487325775315,159.79487325775315,159.79487325775315
