FID,fid_1,adm2_id,adm2_src,adm2_name,adm2_name1,adm2_name2,adm1_id,adm1_src,adm1_name,adm1_name1,adm1_name2,adm0_id,adm0_src,adm0_name,adm0_name1,adm0_name2,src_lvl,src_lang,src_lang1,src_lang2,src_date,src_update,src_name,src_name1,src_lic,src_url,src_grp,iso_cd,iso_2,iso_3,iso_3_grp,region3_cd,region3_nm,region2_cd,region2_nm,region1_cd,region1_nm,status_cd,status_nm,wld_date,wld_update,wld_view,wld_notes,sqKM,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,13984,FJI-20210924-1-1,FJ102,Bua, , ,FJI-20210924-1,FJ1,Northern, , ,FJI-20220801,FJI,Fiji,Fiji,0,3,en, , ,15/01/2018 00:00:00,24/09/2021 00:00:00,"POPGIS, Fiji Islands Bureau of Statistics, Pacific Catastrophe Risk Assessment and Financing Initiative (PCRAFI)",OCHA Regional Office for Asia and the Pacific (ROAP),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-fji,COD,242,FJ,FJI,FJI,54,Melanesia,54,Melanesia,9,Oceania,1,State,22/08/2022 00:00:00,1/8/22 0:00,intl, ,1217.80835,45.8518899257,86.645184248,88.2014470979,68.9503004903,65.5618377353,75.099715325,79.0916890716,103.194962834,101.33473035,87.7121224102,83.2965759924,113.704965997,107.525027677,91.2481021667,66.9973114028,71.1617902894,68.512652222,96.6554246402,96.125810533,89.613988613,97.7813142496,109.499881385,118.963031789
1,13985,FJI-20210924-1-2,FJ103,Cakaudrove, , ,FJI-20210924-1,FJ1,Northern, , ,FJI-20220801,FJI,Fiji,Fiji,0,3,en, , ,15/01/2018 00:00:00,24/09/2021 00:00:00,"POPGIS, Fiji Islands Bureau of Statistics, Pacific Catastrophe Risk Assessment and Financing Initiative (PCRAFI)",OCHA Regional Office for Asia and the Pacific (ROAP),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-fji,COD,242,FJ,FJI,FJI,54,Melanesia,54,Melanesia,9,Oceania,1,State,22/08/2022 00:00:00,1/8/22 0:00,intl, ,2393.82982,46.2077786269,85.892993605,83.9388448699,69.4180106986,69.09566424,85.1113904195,81.6564976069,106.473012106,101.549169449,87.2646100631,94.7880786711,106.651309174,104.407372401,98.8511040502,67.2397940715,67.0386920323,77.7796726059,97.5092104734,102.913385352,95.4983509633,106.631661505,99.0650967301,110.739592969
2,13986,FJI-20210924-1-3,FJ107,Macuata, , ,FJI-20210924-1,FJ1,Northern, , ,FJI-20220801,FJI,Fiji,Fiji,0,3,en, , ,15/01/2018 00:00:00,24/09/2021 00:00:00,"POPGIS, Fiji Islands Bureau of Statistics, Pacific Catastrophe Risk Assessment and Financing Initiative (PCRAFI)",OCHA Regional Office for Asia and the Pacific (ROAP),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-fji,COD,242,FJ,FJI,FJI,54,Melanesia,54,Melanesia,9,Oceania,1,State,22/08/2022 00:00:00,1/8/22 0:00,intl, ,1742.48985,46.0619711299,89.0885183342,85.787373486,65.5205187766,67.4944693324,78.9591836735,82.8570045905,107.401471158,105.727116863,91.62477186,91.7013716056,115.193241524,104.680493336,102.831286986,68.8891101156,68.7889220729,82.4558929263,99.3263370389,103.719650462,99.9445550578,109.205851446,105.736574305,115.231679664
3,13987,FJI-20210924-2-1,FJ201,Ba, , ,FJI-20210924-2,FJ2,Western, , ,FJI-20220801,FJI,Fiji,Fiji,0,3,en, , ,15/01/2018 00:00:00,24/09/2021 00:00:00,"POPGIS, Fiji Islands Bureau of Statistics, Pacific Catastrophe Risk Assessment and Financing Initiative (PCRAFI)",OCHA Regional Office for Asia and the Pacific (ROAP),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-fji,COD,242,FJ,FJI,FJI,54,Melanesia,54,Melanesia,9,Oceania,1,State,22/08/2022 00:00:00,1/8/22 0:00,intl, ,2379.87138,51.71563138,86.0165955812,90.2115178589,60.5045784399,72.6101352307,76.7789816256,78.4845869297,98.013098583,106.317640638,94.5606921227,84.8284247337,121.414283115,105.359119484,89.0536880192,71.1185947323,71.397849245,77.5052454974,97.9783307392,96.4539831416,95.8061288432,97.8016211518,108.659133634,117.834650603
4,13988,FJI-20210924-2-2,FJ208,Nadroga/Navosa, , ,FJI-20210924-2,FJ2,Western, , ,FJI-20220801,FJI,Fiji,Fiji,0,3,en, , ,15/01/2018 00:00:00,24/09/2021 00:00:00,"POPGIS, Fiji Islands Bureau of Statistics, Pacific Catastrophe Risk Assessment and Financing Initiative (PCRAFI)",OCHA Regional Office for Asia and the Pacific (ROAP),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-fji,COD,242,FJ,FJI,FJI,54,Melanesia,54,Melanesia,9,Oceania,1,State,22/08/2022 00:00:00,1/8/22 0:00,intl, ,2063.46389,52.0587440604,88.6035125314,89.6452762508,65.2381673344,69.8659275133,73.3553293581,72.962522128,102.133909438,106.676977546,96.5667800242,79.489122333,116.718787851,104.204299823,82.5091074257,73.5703903848,68.9504565359,76.7056507966,94.9787338116,91.8946240566,90.806181869,96.0418801826,108.258082549,117.139406503
5,13989,FJI-20210924-2-3,FJ211,Ra, , ,FJI-20210924-2,FJ2,Western, , ,FJI-20220801,FJI,Fiji,Fiji,0,3,en, , ,15/01/2018 00:00:00,24/09/2021 00:00:00,"POPGIS, Fiji Islands Bureau of Statistics, Pacific Catastrophe Risk Assessment and Financing Initiative (PCRAFI)",OCHA Regional Office for Asia and the Pacific (ROAP),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-fji,COD,242,FJ,FJI,FJI,54,Melanesia,54,Melanesia,9,Oceania,1,State,22/08/2022 00:00:00,1/8/22 0:00,intl, ,1108.4008,53.2029419422,91.9039312679,94.8296450577,68.4877636032,75.7716306517,84.7853857502,85.2613468715,106.738956869,111.287511933,95.4840319361,94.161155949,126.832031589,103.15738089,93.5042523648,75.6273105962,74.097153519,82.9386878417,104.761867569,98.3233532934,99.7703722989,100.809728369,103.160244728,114.911437994
6,13990,FJI-20210924-3-1,FJ304,Kadavu, , ,FJI-20210924-3,FJ3,Eastern, , ,FJI-20220801,FJI,Fiji,Fiji,0,3,en, , ,15/01/2018 00:00:00,24/09/2021 00:00:00,"POPGIS, Fiji Islands Bureau of Statistics, Pacific Catastrophe Risk Assessment and Financing Initiative (PCRAFI)",OCHA Regional Office for Asia and the Pacific (ROAP),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-fji,COD,242,FJ,FJI,FJI,54,Melanesia,54,Melanesia,9,Oceania,1,State,22/08/2022 00:00:00,1/8/22 0:00,intl, ,411.50239,42.7538497434,69.4372375175,57.6601726552,44.8805412972,54.6843210453,49.8310779281,44.6338077462,73.443070462,81.6844377042,67.3749416706,53.2455669622,79.4785347643,88.1791880541,67.9583527765,52.8686420905,39.0269482035,50.8423938404,65.1350909939,74.5067662156,66.8567428838,73.5151656556,83.5449136724,96.4966168922
7,13991,FJI-20210924-3-2,FJ305,Lau, , ,FJI-20210924-3,FJ3,Eastern, , ,FJI-20220801,FJI,Fiji,Fiji,0,3,en, , ,15/01/2018 00:00:00,24/09/2021 00:00:00,"POPGIS, Fiji Islands Bureau of Statistics, Pacific Catastrophe Risk Assessment and Financing Initiative (PCRAFI)",OCHA Regional Office for Asia and the Pacific (ROAP),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-fji,COD,242,FJ,FJI,FJI,54,Melanesia,54,Melanesia,9,Oceania,1,State,22/08/2022 00:00:00,1/8/22 0:00,intl, ,426.4401,39.3415568323,68.4535315985,56.134617551,46.3084375352,61.1088205475,60.0157710938,46.802185423,75.2730652247,74.7607299763,61.7703052833,58.3637490143,82.9356764673,80.2784724569,78.447223161,50.0702940182,44.0422440014,56.9142728399,72.9302692351,77.9088656078,72.3904472232,77.313281514,69.6534865382,86.4944237918
8,13992,FJI-20210924-3-3,FJ306,Lomaiviti, , ,FJI-20210924-3,FJ3,Eastern, , ,FJI-20220801,FJI,Fiji,Fiji,0,3,en, , ,15/01/2018 00:00:00,24/09/2021 00:00:00,"POPGIS, Fiji Islands Bureau of Statistics, Pacific Catastrophe Risk Assessment and Financing Initiative (PCRAFI)",OCHA Regional Office for Asia and the Pacific (ROAP),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-fji,COD,242,FJ,FJI,FJI,54,Melanesia,54,Melanesia,9,Oceania,1,State,22/08/2022 00:00:00,1/8/22 0:00,intl, ,356.92085,45.2055458339,73.1150895141,75.0082110647,60.8971597792,59.167721093,71.661731054,56.2103917082,83.4979135819,82.9020056535,72.2369094091,70.7894736842,85.9724054381,91.8348364517,89.9376766725,62.6574236102,41.0841297617,63.9277157087,85.2995019518,84.5777358999,74.0818414322,89.6228294521,79.5185085476,95.7788396823
9,13993,FJI-20210924-3-4,FJ315,Rotuma, , ,FJI-20210924-3,FJ3,Eastern, , ,FJI-20220801,FJI,Fiji,Fiji,0,3,en, , ,15/01/2018 00:00:00,24/09/2021 00:00:00,"POPGIS, Fiji Islands Bureau of Statistics, Pacific Catastrophe Risk Assessment and Financing Initiative (PCRAFI)",OCHA Regional Office for Asia and the Pacific (ROAP),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-fji,COD,242,FJ,FJI,FJI,54,Melanesia,54,Melanesia,9,Oceania,1,State,22/08/2022 00:00:00,1/8/22 0:00,intl, ,37.91531,60.6887755102,102.914540816,107.543367347,91.5471938776,100.024234694,100.246173469,103.99744898,106.274234694,116.701530612,108.119897959,90.1977040816,77.9336734694,93.4897959184,120.433673469,109.357142857,83.6734693878,101.057397959,124.628826531,108.579081633,123.18877551,131.034438776,110.244897959,111.681122449
