FID,fid_1,adm2_id,adm2_src,adm2_name,adm2_name1,adm2_name2,adm1_id,adm1_src,adm1_name,adm1_name1,adm1_name2,adm0_id,adm0_src,adm0_name,adm0_name1,adm0_name2,src_lvl,src_lang,src_lang1,src_lang2,src_date,src_update,src_name,src_name1,src_lic,src_url,src_grp,iso_cd,iso_2,iso_3,iso_3_grp,region3_cd,region3_nm,region2_cd,region2_nm,region1_cd,region1_nm,status_cd,status_nm,wld_date,wld_update,wld_view,wld_notes,sqKM,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,13984,FJI-20210924-1-1,FJ102,Bua, , ,FJI-20210924-1,FJ1,Northern, , ,FJI-20220801,FJI,Fiji,Fiji,0,3,en, , ,15/01/2018 00:00:00,24/09/2021 00:00:00,"POPGIS, Fiji Islands Bureau of Statistics, Pacific Catastrophe Risk Assessment and Financing Initiative (PCRAFI)",OCHA Regional Office for Asia and the Pacific (ROAP),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-fji,COD,242,FJ,FJI,FJI,54,Melanesia,54,Melanesia,9,Oceania,1,State,22/08/2022 00:00:00,1/8/22 0:00,intl, ,1217.80835,13.1805709315,17.188834414,11.2523722916,10.4657599241,14.4207654594,10.1901391744,10.887237071,15.2652617428,13.6978491223,23.831764985,20.6010200854,16.6733749802,14.32136644,10.551597343,10.0378380516,24.7640360588,12.6497706785,24.9627550214,17.2401945279,15.7375454689,24.9069270916,21.4150719595,30.6252569983
1,13985,FJI-20210924-1-2,FJ103,Cakaudrove, , ,FJI-20210924-1,FJ1,Northern, , ,FJI-20220801,FJI,Fiji,Fiji,0,3,en, , ,15/01/2018 00:00:00,24/09/2021 00:00:00,"POPGIS, Fiji Islands Bureau of Statistics, Pacific Catastrophe Risk Assessment and Financing Initiative (PCRAFI)",OCHA Regional Office for Asia and the Pacific (ROAP),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-fji,COD,242,FJ,FJI,FJI,54,Melanesia,54,Melanesia,9,Oceania,1,State,22/08/2022 00:00:00,1/8/22 0:00,intl, ,2393.82982,14.5262035957,16.9505691188,12.4797088042,15.3110847444,11.4446366086,14.4101073885,11.8443470217,13.5317942324,13.7694968427,18.2232433737,19.3863572377,14.6918513454,14.5533121506,15.3490729196,10.3084905281,15.0691791015,14.6917507944,20.6113300889,20.8080078832,19.8208583035,27.6049149338,23.6882717291,23.8284398504
2,13986,FJI-20210924-1-3,FJ107,Macuata, , ,FJI-20210924-1,FJ1,Northern, , ,FJI-20220801,FJI,Fiji,Fiji,0,3,en, , ,15/01/2018 00:00:00,24/09/2021 00:00:00,"POPGIS, Fiji Islands Bureau of Statistics, Pacific Catastrophe Risk Assessment and Financing Initiative (PCRAFI)",OCHA Regional Office for Asia and the Pacific (ROAP),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-fji,COD,242,FJ,FJI,FJI,54,Melanesia,54,Melanesia,9,Oceania,1,State,22/08/2022 00:00:00,1/8/22 0:00,intl, ,1742.48985,15.2436812123,16.7492118799,11.9560035396,12.2315137437,10.8520269897,12.731458437,12.7882860461,14.7724683369,17.4573032465,20.3580830706,21.3911011559,16.5254410707,14.4294839887,13.6472540236,11.7474420663,16.0031801338,14.9821082905,26.1464244234,21.5639068636,20.7982965544,25.2682373763,24.5318842984,23.0869697472
3,13987,FJI-20210924-2-1,FJ201,Ba, , ,FJI-20210924-2,FJ2,Western, , ,FJI-20220801,FJI,Fiji,Fiji,0,3,en, , ,15/01/2018 00:00:00,24/09/2021 00:00:00,"POPGIS, Fiji Islands Bureau of Statistics, Pacific Catastrophe Risk Assessment and Financing Initiative (PCRAFI)",OCHA Regional Office for Asia and the Pacific (ROAP),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-fji,COD,242,FJ,FJI,FJI,54,Melanesia,54,Melanesia,9,Oceania,1,State,22/08/2022 00:00:00,1/8/22 0:00,intl, ,2379.87138,8.24109074003,12.596854723,13.4943097977,10.3494976855,17.3895211336,9.03086656829,11.2387661458,11.3956257201,13.8598168624,14.7883810717,13.1576681288,17.9151826322,19.3937458309,10.9654545087,10.8591295911,16.8241191809,12.3556224859,20.4711851388,17.4739948657,13.7022295891,20.6575367387,17.3623334883,21.3126276
4,13988,FJI-20210924-2-2,FJ208,Nadroga/Navosa, , ,FJI-20210924-2,FJ2,Western, , ,FJI-20220801,FJI,Fiji,Fiji,0,3,en, , ,15/01/2018 00:00:00,24/09/2021 00:00:00,"POPGIS, Fiji Islands Bureau of Statistics, Pacific Catastrophe Risk Assessment and Financing Initiative (PCRAFI)",OCHA Regional Office for Asia and the Pacific (ROAP),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-fji,COD,242,FJ,FJI,FJI,54,Melanesia,54,Melanesia,9,Oceania,1,State,22/08/2022 00:00:00,1/8/22 0:00,intl, ,2063.46389,10.5198220442,13.9341749744,14.9861874592,9.81037454579,18.6114320321,8.9377620423,11.9336625361,11.9564660393,14.5597689369,22.1026972887,17.0157458306,18.9504798286,17.9908692817,10.1037221653,10.026134352,16.0947079102,12.2522593869,21.066663561,18.6329078543,11.9759386937,25.3269356191,19.834971583,20.9935479363
5,13989,FJI-20210924-2-3,FJ211,Ra, , ,FJI-20210924-2,FJ2,Western, , ,FJI-20220801,FJI,Fiji,Fiji,0,3,en, , ,15/01/2018 00:00:00,24/09/2021 00:00:00,"POPGIS, Fiji Islands Bureau of Statistics, Pacific Catastrophe Risk Assessment and Financing Initiative (PCRAFI)",OCHA Regional Office for Asia and the Pacific (ROAP),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-fji,COD,242,FJ,FJI,FJI,54,Melanesia,54,Melanesia,9,Oceania,1,State,22/08/2022 00:00:00,1/8/22 0:00,intl, ,1108.4008,9.57181289595,11.5559750065,12.607133559,13.2122277185,18.1740866094,12.6510023431,11.7490236917,13.0022997483,14.3057797449,15.9857242038,14.6792068038,18.4910179641,19.1541265295,10.2354855506,10.060834852,13.9289681507,12.0060314154,23.1587260262,16.3917816541,15.0328039573,21.3897856461,23.2232491539,20.3985073332
6,13990,FJI-20210924-3-1,FJ304,Kadavu, , ,FJI-20210924-3,FJ3,Eastern, , ,FJI-20220801,FJI,Fiji,Fiji,0,3,en, , ,15/01/2018 00:00:00,24/09/2021 00:00:00,"POPGIS, Fiji Islands Bureau of Statistics, Pacific Catastrophe Risk Assessment and Financing Initiative (PCRAFI)",OCHA Regional Office for Asia and the Pacific (ROAP),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-fji,COD,242,FJ,FJI,FJI,54,Melanesia,54,Melanesia,9,Oceania,1,State,22/08/2022 00:00:00,1/8/22 0:00,intl, ,411.50239,8.4878674755,9.73495100327,9.85592627158,5.14815678955,10.4865842277,11.2147690154,8.25151656556,7.99615025665,11.7800979935,7.9846010266,7.49475034998,13.1217918805,10.3852076528,11.0645123658,9.28686420905,10.1252916472,7.43198786748,11.0026831545,11.2599160056,9.8094960336,12.9804013066,11.2610825945,13.6205086328
7,13991,FJI-20210924-3-2,FJ305,Lau, , ,FJI-20210924-3,FJ3,Eastern, , ,FJI-20220801,FJI,Fiji,Fiji,0,3,en, , ,15/01/2018 00:00:00,24/09/2021 00:00:00,"POPGIS, Fiji Islands Bureau of Statistics, Pacific Catastrophe Risk Assessment and Financing Initiative (PCRAFI)",OCHA Regional Office for Asia and the Pacific (ROAP),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-fji,COD,242,FJ,FJI,FJI,54,Melanesia,54,Melanesia,9,Oceania,1,State,22/08/2022 00:00:00,1/8/22 0:00,intl, ,426.4401,8.89219330855,8.95584093725,9.80815590853,6.40058578349,11.4838346288,9.65540159964,6.64605159401,9.22023206038,9.11163681424,9.07705305847,8.0916976456,11.8583981075,13.5208966993,12.3524839473,6.90098006083,8.00518193083,12.2936802974,11.5135744058,12.5407232173,10.8540047313,12.3727610679,12.0603807593,17.3692688971
8,13992,FJI-20210924-3-3,FJ306,Lomaiviti, , ,FJI-20210924-3,FJ3,Eastern, , ,FJI-20220801,FJI,Fiji,Fiji,0,3,en, , ,15/01/2018 00:00:00,24/09/2021 00:00:00,"POPGIS, Fiji Islands Bureau of Statistics, Pacific Catastrophe Risk Assessment and Financing Initiative (PCRAFI)",OCHA Regional Office for Asia and the Pacific (ROAP),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-fji,COD,242,FJ,FJI,FJI,54,Melanesia,54,Melanesia,9,Oceania,1,State,22/08/2022 00:00:00,1/8/22 0:00,intl, ,356.92085,9.31296271369,14.6733073092,9.65957733208,10.2523892852,12.6902678692,11.8543545565,7.61111858931,10.259523489,12.5679095437,11.6782877911,9.00390362094,12.230582851,12.6248485664,11.6921523758,9.88571813165,8.65890429398,11.8609503298,14.1537219007,14.6338672769,10.5885045094,20.50989366,15.6835374882,15.3559025441
9,13993,FJI-20210924-3-4,FJ315,Rotuma, , ,FJI-20210924-3,FJ3,Eastern, , ,FJI-20220801,FJI,Fiji,Fiji,0,3,en, , ,15/01/2018 00:00:00,24/09/2021 00:00:00,"POPGIS, Fiji Islands Bureau of Statistics, Pacific Catastrophe Risk Assessment and Financing Initiative (PCRAFI)",OCHA Regional Office for Asia and the Pacific (ROAP),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-fji,COD,242,FJ,FJI,FJI,54,Melanesia,54,Melanesia,9,Oceania,1,State,22/08/2022 00:00:00,1/8/22 0:00,intl, ,37.91531,16.7525510204,13.0114795918,10.7920918367,9.63137755102,16.2640306122,14.2091836735,15.7359693878,18.2448979592,14.3507653061,11.4846938776,9.63137755102,13.1721938776,11.9668367347,14.9094387755,12.9336734694,10.2474489796,14.9489795918,16.9808673469,17.4107142857,13.1492346939,11.4362244898,22.9336734694,22.5982142857
