,date,total,sarimax,var,lf,mean_ensemble,rpw,ols,ols_regularized
0,2019-01-01,13755.0,17570.375835288847,20184.20807078125,16361.033442287538,18038.539116119213,17092.16651897883,16413.151983210257,16377.468847997221
1,2019-02-01,9044.0,7930.166480704517,15932.104939743946,9465.47688545764,11109.249435302036,9353.820141328139,10333.485663924532,10752.846664885667
2,2019-03-01,11163.0,12410.87307529362,20461.755201449723,11002.290739625516,14624.973005456288,11657.397910079304,12121.800044454183,12691.009424826576
3,2019-04-01,14413.0,13739.291667378977,18445.62244918217,11931.8430118692,14705.585709476783,12917.952901796916,12527.935503472267,12804.884922689009
4,2019-05-01,13565.0,14903.972573798474,20408.34964544057,13791.631496812744,16367.98457201726,14436.95584083748,14381.269718890737,14649.245110393318
5,2019-06-01,16192.0,15752.873663310022,19902.931381906656,14373.53652718093,16676.4471907992,15169.789501017702,14754.827649394481,14906.588903810289
6,2019-07-01,24647.0,18258.96734721199,20765.372018656744,20901.504302505888,19975.281222791542,20068.99785151917,20394.203608543114,20024.389542956516
7,2019-08-01,17489.0,23817.36118842989,22278.46350538589,15941.663715049006,20679.16280295493,18229.570656609696,16018.326271230502,16022.994308025334
8,2019-09-01,16212.0,6435.201180030897,20109.6927885796,16796.244845823956,14447.046271478152,15704.609121237756,17428.43521669896,17671.091329156865
9,2019-10-01,14544.0,17583.9749583292,19466.30469448684,13422.372471787894,16824.217374867978,14469.406113110943,13755.37816504841,13892.38041161609
10,2019-11-01,11907.0,16638.13009404244,20160.630326057704,13904.646848973653,16901.135756357933,14748.413751027561,14338.35693226884,14525.368344326178
11,2019-12-01,17927.0,22246.645927532085,19045.985448106065,18094.772652881453,19795.801342839866,18686.293948941988,17459.161481052743,17048.18638281739
12,2020-01-01,10456.0,13328.085784413048,12855.155454330752,15624.714862684732,13935.985367142845,14894.518097538263,14858.428784680525,14352.766824418773
13,2020-02-01,7053.0,6172.384220079422,3573.7631283866385,7739.782618652911,5828.643322372991,6990.433817854615,6977.770881305643,6488.590800514906
14,2020-03-01,4164.0,1940.68536023894,1402.4615349814458,3666.198519890146,2336.4484717035107,3106.1008729927953,3354.8567488977233,3122.7089230609017
15,2020-04-01,0.0,-0.9232778354106274,1.6609211911389852,-73.96346561669031,-24.408607420320653,-52.4827007413158,9.18141693426277,9.836754520373134
16,2020-05-01,0.0,-0.528253470598123,-0.3560578304641021,-89.10970523416911,-29.99800551174378,-63.38303255219865,-4.268424455368574,-2.5828151566061166
17,2020-06-01,0.0,-0.0074700326565054,1.5439814304805122,-2.679647370762344,-0.3810453243127791,-1.7328935883587517,70.79116480439183,65.66399903603627
18,2020-07-01,0.0,3.660438296960295,0.5893525638838786,186.41328412579253,63.5543583288789,133.0167360714791,234.04708053822782,213.48794051315136
19,2020-08-01,0.0,-0.5156655628793231,-0.5984782800485187,97.3017458683606,32.062534008477584,68.89102235366812,156.99401269232163,143.6321327153736
20,2020-09-01,0.0,0.3580363899768204,-0.6357914240461326,100.4028285791332,33.375024515021295,71.2416153374559,159.6204006051736,145.98013260118367
