,Year,Month,Number_of_flights_intl,Number_of_flights_total,Seats_arrivals_intl,Seats_arrivals_total,Air,Ship,Yacht,Total,date
0,2019,1,68.0,102.0,14706.0,17698.0,4372,313.0,3.0,4688,2019-01-01
1,2019,2,45.0,80.0,9740.0,11440.0,2709,3448.0,0.0,6157,2019-02-01
2,2019,3,55.0,107.0,10236.0,12662.0,3109,5570.0,7.0,8686,2019-03-01
3,2019,4,53.0,78.0,10615.0,10919.0,4183,3508.0,13.0,7704,2019-04-01
4,2019,5,64.0,87.0,11858.0,12226.0,5166,1506.0,128.0,6800,2019-05-01
5,2019,6,67.0,92.0,12720.0,13176.0,6647,1798.0,489.0,8934,2019-06-01
6,2019,7,75.0,96.0,16810.0,17262.0,8121,0.0,194.0,8315,2019-07-01
7,2019,8,74.0,87.0,13405.0,13637.0,7890,0.0,288.0,8178,2019-08-01
8,2019,9,68.0,68.0,12168.0,12168.0,6811,636.0,382.0,7829,2019-09-01
9,2019,10,62.0,71.0,13340.0,13476.0,5649,2178.0,428.0,8255,2019-10-01
10,2019,11,58.0,87.0,12156.0,12756.0,4938,2712.0,72.0,7722,2019-11-01
11,2019,12,62.0,89.0,15364.0,16412.0,7689,2998.0,17.0,10704,2019-12-01
12,2020,1,58.0,87.0,13715.0,14819.0,4665,852.0,0.0,5517,2020-01-01
13,2020,2,42.0,43.0,10940.0,10956.0,3008,1678.0,6.0,4692,2020-02-01
14,2020,3,31.0,31.0,6906.0,6906.0,1259,0.0,0.0,1259,2020-03-01
15,2020,4,5.0,5.0,837.0,837.0,0,0.0,0.0,0,2020-04-01
16,2020,5,4.0,4.0,660.0,660.0,0,0.0,0.0,0,2020-05-01
17,2020,6,4.0,4.0,660.0,660.0,0,0.0,0.0,0,2020-06-01
18,2020,7,7.0,7.0,1716.0,1716.0,1,0.0,0.0,1,2020-07-01
19,2020,8,6.0,6.0,1506.0,1506.0,5,0.0,0.0,5,2020-08-01
20,2020,9,8.0,8.0,1726.0,1726.0,1,6.0,0.0,16,2020-09-01
21,2020,9,8.0,8.0,1726.0,1726.0,16,0.0,0.0,16,2020-09-01
22,2020,10,8.0,8.0,2016.0,2016.0,1,3.0,0.0,13,2020-10-01
23,2020,11,5.0,5.0,1357.0,1357.0,2,0.0,0.0,20,2020-11-01
24,2020,11,5.0,5.0,1357.0,1357.0,20,0.0,0.0,20,2020-11-01
25,2020,12,6.0,6.0,1753.0,1753.0,2,3.0,0.0,23,2020-12-01
26,2021,1,5.0,5.0,1330.0,1330.0,1,8.0,0.0,18,2021-01-01
27,2021,2,7.0,7.0,1747.0,1747.0,4,1.0,0.0,41,2021-02-01
28,2021,3,11.0,11.0,2366.0,2366.0,2,3.0,0.0,23,2021-03-01
29,2021,4,7.0,7.0,1768.0,1768.0,2,0.0,0.0,2,2021-04-01
30,2021,5,7.0,7.0,1622.0,1622.0,1,8.0,0.0,18,2021-05-01
31,2021,6,7.0,7.0,2012.0,2012.0,5,2.0,0.0,52,2021-06-01
32,2021,7,4.0,4.0,1208.0,1208.0,2,2.0,0.0,22,2021-07-01
33,2021,8,5.0,5.0,1202.0,1202.0,1,4.0,0.0,14,2021-08-01
34,2021,9,6.0,6.0,1673.0,1673.0,4,0.0,0.0,4,2021-09-01
35,2021,10,7.0,7.0,1611.0,1611.0,8,0.0,0.0,8,2021-10-01
36,2021,11,7.0,7.0,1783.0,1783.0,0,0.0,0.0,0,2021-11-01
37,2021,12,3.0,3.0,906.0,906.0,0,0.0,0.0,0,2021-12-01
