,original_url,print_url
0,https://matangitonga.to/2023/11/13/funeral-leading-farmer-and-exporter-afeaki,https://matangitonga.to/print/33588
1,https://matangitonga.to/2023/11/15/gale-and-strong-wind-warnings-southern-tonga-tropical-cyclone-mal,https://matangitonga.to/print/33602
2,https://matangitonga.to/2023/11/13/arizona-firefighter-donates-equipment-tonga-fire-services,https://matangitonga.to/print/33590
3,https://matangitonga.to/2023/11/13/timi-tonga-17th-pacific-games-arrives-solomon-islands,https://matangitonga.to/print/33599
4,https://matangitonga.to/2023/11/12/fire-razes-teta-tours-building-central-nukualofa,https://matangitonga.to/print/33587
5,https://matangitonga.to/2023/11/10/pm-meets-commonwealth-sg-and-pacific-leaders,https://matangitonga.to/print/33585
6,https://matangitonga.to/2023/11/14/multi-national-pacific-partnership-2023-focuses-disaster-response-public-health-and-civic,https://matangitonga.to/print/33601
7,https://matangitonga.to/2023/11/14/uk-minister-state-indo-pacific-makes-first-visit-tonga,https://matangitonga.to/print/33615
8,https://matangitonga.to/2023/11/10/nz-rugby-league-scholarships-offered-two-tupou-college-students,https://matangitonga.to/print/33584
9,https://matangitonga.to/2023/11/10/second-cruise-ship-november-arrives-nukualofa,https://matangitonga.to/print/33586
10,https://matangitonga.to/2023/11/09/tonga-athletic-team-ready-pacific-games-2023,https://matangitonga.to/print/33572
11,https://matangitonga.to/2023/11/10/samoa-agreement-first-oacps-eu-to-be-signed-pacific,https://matangitonga.to/print/33583
12,https://matangitonga.to/2023/11/08/sea-level-rise-and-climate-events-common-concern-sids,https://matangitonga.to/print/33561
13,https://matangitonga.to/2023/11/09/tonga-looks-water-supply-safety-management-and-planning,https://matangitonga.to/print/33573
14,https://matangitonga.to/2023/11/06/severe-labour-shortages-damaged-tourism-facilities-drag-tongas-recovery,https://matangitonga.to/print/33551
15,https://matangitonga.to/2023/11/08/usd30-million-boost-nuku-alofa-port-project,https://matangitonga.to/print/33560
16,https://matangitonga.to/2023/11/07/young-driver-who-grievously-injured-vava-u-police-officer-gets-suspended-jail-sentence,https://matangitonga.to/print/33559
17,https://matangitonga.to/2023/11/07/research-mother-site-helping-develop-sustainable-agriculture-tonga,https://matangitonga.to/print/33552
