FID,fid_1,adm2_id,adm2_src,adm2_name,adm2_name1,adm2_name2,adm1_id,adm1_src,adm1_name,adm1_name1,adm1_name2,adm0_id,adm0_src,adm0_name,adm0_name1,adm0_name2,src_lvl,src_lang,src_lang1,src_lang2,src_date,src_update,src_name,src_name1,src_lic,src_url,src_grp,iso_cd,iso_2,iso_3,iso_3_grp,region3_cd,region3_nm,region2_cd,region2_nm,region1_cd,region1_nm,status_cd,status_nm,wld_date,wld_update,wld_view,wld_notes,sqKM,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,13984,FJI-20210924-1-1,FJ102,Bua, , ,FJI-20210924-1,FJ1,Northern, , ,FJI-20220801,FJI,Fiji,Fiji,0,3,en, , ,15/01/2018 00:00:00,24/09/2021 00:00:00,"POPGIS, Fiji Islands Bureau of Statistics, Pacific Catastrophe Risk Assessment and Financing Initiative (PCRAFI)",OCHA Regional Office for Asia and the Pacific (ROAP),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-fji,COD,242,FJ,FJI,FJI,54,Melanesia,54,Melanesia,9,Oceania,1,State,22/08/2022 00:00:00,1/8/22 0:00,intl, ,1217.80835,23.1736517476,32.899256682,32.4404159418,58.1108650957,47.6521034319,44.1067926617,34.7918709473,51.2784674996,41.8273762455,37.7489324688,48.7625731457,34.5444013917,32.3794085086,26.3351652697,66.759172861,56.6973746639,49.4153091887,60.4939901945,76.6846433655,39.6847619801,32.145381939,38.7635616005,37.1236754705
1,13985,FJI-20210924-1-2,FJ103,Cakaudrove, , ,FJI-20210924-1,FJ1,Northern, , ,FJI-20220801,FJI,Fiji,Fiji,0,3,en, , ,15/01/2018 00:00:00,24/09/2021 00:00:00,"POPGIS, Fiji Islands Bureau of Statistics, Pacific Catastrophe Risk Assessment and Financing Initiative (PCRAFI)",OCHA Regional Office for Asia and the Pacific (ROAP),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-fji,COD,242,FJ,FJI,FJI,54,Melanesia,54,Melanesia,9,Oceania,1,State,22/08/2022 00:00:00,1/8/22 0:00,intl, ,2393.82982,24.0091903632,33.1673370068,31.8787756908,64.5171137835,39.8561919318,42.2418453123,38.0142179142,30.236194345,46.7830108997,48.1794433496,48.1016570808,31.780376463,37.4554961187,28.0253187467,81.9240035394,42.7532075775,45.8306117524,54.6891967985,65.4638619636,36.7750271488,31.044182118,39.5081245224,35.2341028838
2,13986,FJI-20210924-1-3,FJ107,Macuata, , ,FJI-20210924-1,FJ1,Northern, , ,FJI-20220801,FJI,Fiji,Fiji,0,3,en, , ,15/01/2018 00:00:00,24/09/2021 00:00:00,"POPGIS, Fiji Islands Bureau of Statistics, Pacific Catastrophe Risk Assessment and Financing Initiative (PCRAFI)",OCHA Regional Office for Asia and the Pacific (ROAP),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-fji,COD,242,FJ,FJI,FJI,54,Melanesia,54,Melanesia,9,Oceania,1,State,22/08/2022 00:00:00,1/8/22 0:00,intl, ,1742.48985,20.2684032963,32.1386814889,34.9546485261,56.7320391571,40.6469498368,41.429179802,37.2739063105,34.6308832476,43.7086997401,42.4933631989,52.0347325922,34.072949505,38.3130081301,21.9902107184,72.8320336265,43.614291245,44.028980698,58.0567169957,64.5494165146,36.6236657265,31.9308943089,38.9722913556,40.9364249765
3,13987,FJI-20210924-2-1,FJ201,Ba, , ,FJI-20210924-2,FJ2,Western, , ,FJI-20220801,FJI,Fiji,Fiji,0,3,en, , ,15/01/2018 00:00:00,24/09/2021 00:00:00,"POPGIS, Fiji Islands Bureau of Statistics, Pacific Catastrophe Risk Assessment and Financing Initiative (PCRAFI)",OCHA Regional Office for Asia and the Pacific (ROAP),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-fji,COD,242,FJ,FJI,FJI,54,Melanesia,54,Melanesia,9,Oceania,1,State,22/08/2022 00:00:00,1/8/22 0:00,intl, ,2379.87138,16.6269935922,30.3741990257,27.972327222,46.5217602232,39.260374765,41.00941966,32.5277637404,66.7021285197,39.8064926927,26.1039598957,50.2205736694,24.4047017445,28.2763639304,24.7237977805,32.982191587,39.1830365264,38.4320713145,48.7043722585,45.0387701886,33.065209921,24.8690545976,32.8988094035,46.8905015059
4,13988,FJI-20210924-2-2,FJ208,Nadroga/Navosa, , ,FJI-20210924-2,FJ2,Western, , ,FJI-20220801,FJI,Fiji,Fiji,0,3,en, , ,15/01/2018 00:00:00,24/09/2021 00:00:00,"POPGIS, Fiji Islands Bureau of Statistics, Pacific Catastrophe Risk Assessment and Financing Initiative (PCRAFI)",OCHA Regional Office for Asia and the Pacific (ROAP),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-fji,COD,242,FJ,FJI,FJI,54,Melanesia,54,Melanesia,9,Oceania,1,State,22/08/2022 00:00:00,1/8/22 0:00,intl, ,2063.46389,17.6604630579,31.2705907016,27.183336439,35.2262414982,33.3245131836,41.1661464642,31.9678561446,61.9239495015,42.3138451505,25.8311050033,68.2810258083,24.8797866393,29.2754122799,26.5836206093,31.7464362247,49.7926022547,42.5869980434,48.3848644368,40.2803503214,37.332712196,25.3086275971,29.7133373707,45.4553014069
5,13989,FJI-20210924-2-3,FJ211,Ra, , ,FJI-20210924-2,FJ2,Western, , ,FJI-20220801,FJI,Fiji,Fiji,0,3,en, , ,15/01/2018 00:00:00,24/09/2021 00:00:00,"POPGIS, Fiji Islands Bureau of Statistics, Pacific Catastrophe Risk Assessment and Financing Initiative (PCRAFI)",OCHA Regional Office for Asia and the Pacific (ROAP),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-fji,COD,242,FJ,FJI,FJI,54,Melanesia,54,Melanesia,9,Oceania,1,State,22/08/2022 00:00:00,1/8/22 0:00,intl, ,1108.4008,21.0515056843,37.1533020915,27.1981688796,38.0891260956,41.3125054239,34.8176256183,32.0578408401,47.9430269895,30.6378113339,23.7260695999,49.1231450143,24.2398246984,28.2574850299,24.5036448841,35.1935259915,33.8118111603,35.5250802742,42.0952876855,41.8897856461,35.7403453962,30.3862709364,29.1506118198,45.5901674911
6,13990,FJI-20210924-3-1,FJ304,Kadavu, , ,FJI-20210924-3,FJ3,Eastern, , ,FJI-20220801,FJI,Fiji,Fiji,0,3,en, , ,15/01/2018 00:00:00,24/09/2021 00:00:00,"POPGIS, Fiji Islands Bureau of Statistics, Pacific Catastrophe Risk Assessment and Financing Initiative (PCRAFI)",OCHA Regional Office for Asia and the Pacific (ROAP),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-fji,COD,242,FJ,FJI,FJI,54,Melanesia,54,Melanesia,9,Oceania,1,State,22/08/2022 00:00:00,1/8/22 0:00,intl, ,411.50239,23.3161455903,29.0341810546,39.3665422305,42.2597993467,48.2281847877,42.0905272982,40.7629491367,56.7657489501,37.8758749417,43.6770881941,69.7022865142,31.040130658,27.4553196454,34.9104059729,47.302729818,73.6790713952,48.1747550163,42.1815212319,36.0,46.4674521699,36.4139057396,26.7516332245,37.7946803546
7,13991,FJI-20210924-3-2,FJ305,Lau, , ,FJI-20210924-3,FJ3,Eastern, , ,FJI-20220801,FJI,Fiji,Fiji,0,3,en, , ,15/01/2018 00:00:00,24/09/2021 00:00:00,"POPGIS, Fiji Islands Bureau of Statistics, Pacific Catastrophe Risk Assessment and Financing Initiative (PCRAFI)",OCHA Regional Office for Asia and the Pacific (ROAP),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-fji,COD,242,FJ,FJI,FJI,54,Melanesia,54,Melanesia,9,Oceania,1,State,22/08/2022 00:00:00,1/8/22 0:00,intl, ,426.4401,27.1168187451,32.8598625662,35.7610679284,52.5457924975,36.3700574518,40.958319252,41.8408246029,36.9098794638,51.3981074687,38.2136983215,46.3108031993,32.1101723555,42.1516278022,30.5799256506,62.8494987045,67.7361721302,45.1805790244,39.6240847133,62.5226991101,31.8027486764,30.5017460854,30.3135068154,35.6089895235
8,13992,FJI-20210924-3-3,FJ306,Lomaiviti, , ,FJI-20210924-3,FJ3,Eastern, , ,FJI-20220801,FJI,Fiji,Fiji,0,3,en, , ,15/01/2018 00:00:00,24/09/2021 00:00:00,"POPGIS, Fiji Islands Bureau of Statistics, Pacific Catastrophe Risk Assessment and Financing Initiative (PCRAFI)",OCHA Regional Office for Asia and the Pacific (ROAP),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-fji,COD,242,FJ,FJI,FJI,54,Melanesia,54,Melanesia,9,Oceania,1,State,22/08/2022 00:00:00,1/8/22 0:00,intl, ,356.92085,25.4603580563,35.9215237582,31.7353614215,56.5212007,42.9348499125,43.0298828914,37.9242159106,60.9392919639,62.1245120474,48.7640328443,47.7813972271,39.1737784359,30.7260734958,21.8337595908,48.7846278099,62.2697536681,43.8741418764,38.7857046709,53.1397227083,37.6275407188,29.2828106071,35.4545699287,35.8334903756
9,13993,FJI-20210924-3-4,FJ315,Rotuma, , ,FJI-20210924-3,FJ3,Eastern, , ,FJI-20220801,FJI,Fiji,Fiji,0,3,en, , ,15/01/2018 00:00:00,24/09/2021 00:00:00,"POPGIS, Fiji Islands Bureau of Statistics, Pacific Catastrophe Risk Assessment and Financing Initiative (PCRAFI)",OCHA Regional Office for Asia and the Pacific (ROAP),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-fji,COD,242,FJ,FJI,FJI,54,Melanesia,54,Melanesia,9,Oceania,1,State,22/08/2022 00:00:00,1/8/22 0:00,intl, ,37.91531,19.262755102,17.1530612245,15.631377551,25.8954081633,26.0,32.0,31.5318877551,19.6505102041,14.1045918367,16.0,26.3227040816,30.3443877551,22.3711734694,19.0,25.1275510204,22.0,23.0,20.625,38.3278061224,21.2232142857,18.0,24.5892857143,23.2640306122
