,destination_country,missing,df_length,date_range,available,ratio
0,Kiribati,150,294,864,144,16.666666666666668
1,Marshall Islands (the),126,586,865,460,53.179190751445084
2,Micronesia (Federated States of),105,736,865,631,72.94797687861272
3,Nauru,166,668,865,502,58.03468208092485
4,Palau,101,625,865,524,60.578034682080926
5,Samoa,32,829,865,797,92.13872832369943
6,Solomon Islands,20,843,865,823,95.14450867052022
7,Tonga,41,822,865,781,90.28901734104046
8,Tuvalu,51,144,817,93,11.383108935128519
9,Vanuatu,19,756,836,737,88.15789473684211
