,year/month,month,australia,newzealand,usa,canada,unitedkingdom,continentaleurope,japan,southkorea,china,india,hongkong,rest ofasia,pacificislands,others,total
0,2017,,365689,184595,81198,12421,16925,34638,6350,8871,48796,5183,939,18829,53720,4730,842884
1,2018,,365660,198718,86075,13220,16297,37433,11903,8176,49271,5901,1061,19966,51654,4974,870309
2,2019,,367020,205998,96968,13269,16856,36058,14868,6806,47027,6231,2142,21532,54369,5245,894389
3,2020,,58062,25316,17198,2896,3487,6847,2252,548,9319,1185,156,6453,12097,1089,146905
4,2021,,18569,532,4233,358,188,401,233,51,2178,150,2,2557,2075,91,31618
