,year/month,month,visitors,total,year,dates
0,2020,January,65386,83624,2020,2020-01-01
1,,February,46343,56791,2020,2020-02-01
2,,March,27972,36138,2020,2020-03-01
3,,April,678,1188,2020,2020-04-01
4,,May,709,1119,2020,2020-05-01
5,,June,413,1041,2020,2020-06-01
6,,July,711,1486,2020,2020-07-01
7,,August,976,1441,2020,2020-08-01
8,,September,1005,1688,2020,2020-09-01
9,,October,1125,2099,2020,2020-10-01
10,,November,875,1501,2020,2020-11-01
11,,December,712,1321,2020,2020-12-01
12,2021,January,1011,1916,2021,2021-01-01
13,,February,1251,3105,2021,2021-02-01
14,,March,1961,2856,2021,2021-03-01
15,,April,813,1426,2021,2021-04-01
16,,May,400,508,2021,2021-05-01
17,,June,330,466,2021,2021-06-01
18,,July,452,673,2021,2021-07-01
19,,August,419,860,2021,2021-08-01
20,,September,460,791,2021,2021-09-01
21,,October,578,1176,2021,2021-10-01
22,,November,717,1536,2021,2021-11-01
23,,December,23226,26560,2021,2021-12-01
24,2022,January,16502,18405,2022,2022-01-01
25,,February,11014,12738,2022,2022-02-01
26,,March,21390,23823,2022,2022-03-01
27,,April,46680,53355,2022,2022-04-01
28,,May,47813,52183,2022,2022-05-01
29,,June,62130,66818,2022,2022-06-01
30,,July,78638,84856,2022,2022-07-01
31,,August,70110,76494,2022,2022-08-01
