,date,news_count_samoa_rnz,epu_count_samoa_rnz,ratio_samoa_rnz,z_score_samoa_rnz,news_count_samoa_observer,epu_count_samoa_observer,ratio_samoa_observer,z_score_samoa_observer,news_count_total,weight_rnz,weight_observer,z_score_weighted,z_score_unweighted,epu_score_weighted,epu_score_unweighted
0,2015-02-01,34.0,1.0,0.029411764705882353,3.33167477525962,0.0,0.0,0.0,0.0,34.0,1.0,0.0,3.33167477525962,1.66583738762981,204.05841030826315,146.6743347671582
1,2015-03-01,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,1.0,0.0,0.0,0.0,0.0,0.0
2,2015-04-01,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,1.0,0.0,0.0,0.0,0.0,0.0
3,2015-05-01,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,1.0,0.0,0.0,0.0,0.0,0.0
4,2015-06-01,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,1.0,0.0,0.0,0.0,0.0,0.0
5,2015-07-01,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,1.0,0.0,0.0,0.0,0.0,0.0
6,2015-08-01,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,1.0,0.0,0.0,0.0,0.0,0.0
7,2015-09-01,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,1.0,0.0,0.0,0.0,0.0,0.0
8,2015-10-01,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,1.0,0.0,0.0,0.0,0.0,0.0
9,2015-11-01,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,1.0,0.0,0.0,0.0,0.0,0.0
10,2015-12-01,39.0,0.0,0.0,0.0,210.0,3.0,0.014285714285714285,1.417052447294781,249.0,0.1566265060240964,0.8433734939759037,1.1951044736221046,0.7085262236473905,73.1977565309077,62.38460805975254
11,2016-01-01,42.0,0.0,0.0,0.0,286.0,3.0,0.01048951048951049,1.0404930557059582,328.0,0.12804878048780488,0.8719512195121951,0.9072591888167806,0.5202465278529791,55.56780907376834,45.806880043874244
12,2016-02-01,48.0,0.0,0.0,0.0,498.0,5.0,0.010040160642570281,0.9959203946850871,546.0,0.08791208791208792,0.9120879120879121,0.9083669533940903,0.49796019734254354,55.63565743649576,43.84460405805901
13,2016-03-01,59.0,0.0,0.0,0.0,591.0,12.0,0.02030456852791878,2.014084696662633,650.0,0.09076923076923077,0.9092307692307692,1.8312677780424862,1.0070423483313165,112.16148539197546,88.66847846056199
14,2016-04-01,58.0,1.0,0.017241379310344827,1.953050730324605,574.0,10.0,0.017421602787456445,1.7281127406033914,632.0,0.09177215189873418,0.9082278481012658,1.7487557839638823,1.8405817354639982,107.10779093533911,162.06029690441585
15,2016-05-01,57.0,0.0,0.0,0.0,628.0,4.0,0.006369426751592357,0.6318068236346158,685.0,0.08321167883211679,0.9167883211678832,0.5792331171423923,0.3159034118173079,35.4768688587757,27.81479340243744
16,2016-06-01,57.0,0.0,0.0,0.0,582.0,13.0,0.022336769759450172,2.2156661976602248,639.0,0.0892018779342723,0.9107981220657277,2.0180246119534444,1.1078330988301124,123.5999676007033,97.54294387349624
17,2016-07-01,42.0,0.0,0.0,0.0,622.0,9.0,0.014469453376205787,1.43527820224391,664.0,0.06325301204819277,0.9367469879518072,1.3444925328248674,0.717639101121955,82.34747609727114,63.18698243994228
18,2016-08-01,35.0,0.0,0.0,0.0,541.0,3.0,0.005545286506469501,0.5500573270460333,576.0,0.06076388888888889,0.9392361111111112,0.5166337047428889,0.27502866352301664,31.64278016700697,24.215836769959395
19,2016-09-01,48.0,0.0,0.0,0.0,543.0,6.0,0.011049723756906077,1.0960626664158526,591.0,0.08121827411167512,0.9187817258883249,1.0070423483313162,0.5480313332079263,61.67932783822677,48.25328800201853
20,2016-10-01,44.0,0.0,0.0,0.0,521.0,11.0,0.02111324376199616,2.094300162028755,565.0,0.07787610619469026,0.9221238938053097,1.9312042202070465,1.0471500810143775,118.28239241189152,92.19990058735019
21,2016-11-01,45.0,0.0,0.0,0.0,501.0,7.0,0.013972055888223553,1.3859395193102648,546.0,0.08241758241758242,0.9175824175824175,1.2717137347517264,0.6929697596551324,77.88992041109407,61.01488612630487
22,2016-12-01,41.0,0.0,0.0,0.0,555.0,6.0,0.010810810810810811,1.0723640141690236,596.0,0.06879194630872483,0.9312080536912751,0.9985940064828994,0.5361820070845118,61.1618838127383,47.209973666839765
23,2017-01-01,39.0,0.0,0.0,0.0,454.0,6.0,0.013215859030837005,1.3109295767925289,493.0,0.07910750507099391,0.920892494929006,1.2072252086486979,0.6554647883962644,73.94012728679924,57.71263300681954
24,2017-02-01,44.0,0.0,0.0,0.0,484.0,6.0,0.012396694214876033,1.2296736112888595,528.0,0.08333333333333333,0.9166666666666666,1.1272008103481213,0.6148368056444298,69.03879309165157,54.135403688215014
